Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,ORD,Rk,OVD,Rk,DPD,Rk,DLD,Rk,DRD,Rk,DVD,Rk
1,Florida State,13,0,3.06,4.06,1,3.43,2,4.23,1,6.23,2,1.00,2,1.00,24,1.00,1,3.96,5
2,Louisville,11,1,1.93,2.97,12,2.48,13,3.18,10,5.13,50,1.04,3,0.85,16,1.08,2,3.28,1
3,Oregon,10,2,1.81,3.35,4,2.97,5,3.47,3,5.27,38,1.54,16,1.00,25,1.65,14,4.40,16
4,Alabama,10,2,1.68,3.06,10,2.48,14,3.22,9,5.23,41,1.38,8,0.69,5,1.72,17,4.47,23
5,Baylor,10,2,1.58,3.25,5,2.47,15,3.46,4,5.73,6,1.67,22,0.81,14,1.84,26,4.45,19
6,Ohio State,11,2,1.57,3.49,2,3.88,1,3.40,5,6.30,1,1.92,44,1.02,28,2.36,70,5.02,67
7,Bowling Green,9,4,1.57,2.98,11,2.60,9,3.08,20,5.27,39,1.42,10,0.77,9,1.59,12,4.91,59
8,Central Florida,12,1,1.46,3.21,7,3.34,3,3.17,11,5.45,21,1.76,26,1.21,43,2.00,35,4.94,63
9,East Carolina,9,3,1.42,2.93,14,1.81,40,3.14,17,4.95,65,1.52,14,0.81,13,1.69,15,3.98,6
10,Ball State,9,3,1.20,3.09,9,2.77,6,3.17,13,5.44,25,1.89,38,1.55,72,2.00,36,4.80,52
11,Michigan State,12,1,1.20,2.12,65,1.74,45,2.20,71,5.06,56,0.92,1,0.31,1,1.15,3,3.83,3
12,Northern Illinois,11,2,1.15,2.83,22,2.35,17,2.95,25,5.00,60,1.69,23,0.82,15,1.92,29,4.65,33
13,Wisconsin,8,4,1.15,2.57,32,1.71,48,2.80,31,5.39,27,1.43,11,0.93,18,1.55,10,4.76,49
14,Marshall,9,4,1.15,2.93,15,1.60,57,3.25,8,5.30,35,1.78,27,1.93,95,1.75,21,5.17,84
15,Clemson,9,2,1.13,2.76,24,2.11,22,2.93,26,5.37,28,1.64,19,2.03,102,1.50,7,5.74,116
16,UCLA,10,3,1.11,2.84,21,1.79,42,3.15,15,5.11,53,1.73,25,1.71,87,1.74,20,3.86,4
17,Stanford,11,3,1.11,2.67,30,1.52,61,3.01,24,4.89,71,1.56,17,0.73,6,1.80,24,4.43,18
18,Missouri,11,2,1.09,2.89,17,1.97,30,3.14,16,5.44,24,1.80,30,0.68,4,2.07,42,4.68,35
19,Oklahoma State,9,3,1.08,2.38,45,1.69,49,2.53,49,5.54,15,1.29,5,0.59,2,1.55,9,4.33,13
20,Kansas State,8,4,1.06,2.89,16,1.80,41,3.17,12,5.32,33,1.83,33,1.50,67,1.91,28,4.45,20
21,LSU,9,3,1.05,3.14,8,2.24,19,3.36,6,5.59,13,2.09,63,1.60,76,2.24,59,4.76,48
22,North Texas,9,4,1.00,2.20,58,1.87,36,2.29,63,5.33,30,1.21,4,1.15,38,1.22,4,4.33,12
23,South Carolina,10,2,0.97,2.87,19,2.45,16,3.01,23,5.19,43,1.90,40,2.46,112,1.77,23,4.52,25
24,Fresno State,10,2,0.93,2.97,13,3.11,4,2.92,28,5.48,19,2.04,58,1.17,40,2.23,57,4.60,29
25,Cincinnati,8,4,0.91,2.43,39,1.63,55,2.56,46,4.78,77,1.52,15,1.03,29,1.69,16,4.70,38
26,Washington,8,4,0.87,2.68,27,2.58,10,2.71,35,5.46,20,1.81,31,1.14,37,2.04,40,4.76,46
27,Auburn,11,2,0.84,2.88,18,2.26,18,3.06,21,5.67,10,2.04,57,1.27,46,2.22,56,4.39,14
28,Texas A&M,8,4,0.83,3.45,3,1.91,33,3.75,2,5.71,7,2.62,98,1.93,97,2.92,102,5.63,114
29,Boise State,7,5,0.81,2.75,25,1.58,58,3.16,14,5.09,55,1.94,46,1.29,51,2.16,51,4.57,28
30,USC,10,4,0.77,2.13,63,1.45,66,2.29,62,4.92,66,1.37,7,0.98,23,1.52,8,4.11,7
31,Utah State,8,5,0.61,1.93,76,1.50,63,2.04,84,4.91,69,1.32,6,0.80,10,1.57,11,3.79,2
32,Arizona,7,5,0.61,2.49,35,2.08,24,2.65,40,5.20,42,1.88,37,0.97,20,2.12,43,5.05,71
33,South Alabama,6,5,0.58,2.48,36,1.62,56,2.71,36,4.47,104,1.91,42,1.80,88,1.93,31,5.09,77
34,Oklahoma,11,2,0.58,2.38,43,1.87,35,2.51,50,4.55,95,1.80,29,1.96,101,1.77,22,4.75,43
35,Arizona State,9,4,0.55,2.67,29,1.88,34,2.82,30,5.32,31,2.12,66,1.31,53,2.39,76,5.16,82
36,Navy,8,4,0.50,3.23,6,2.63,8,3.35,7,5.32,32,2.74,102,1.95,98,2.91,101,5.16,81
37,Colorado State,7,6,0.42,2.56,33,0.95,93,3.13,19,5.24,40,2.14,70,1.63,79,2.24,60,5.00,65
38,Notre Dame,9,4,0.42,2.36,47,2.77,7,2.26,65,4.42,106,1.94,45,1.04,30,2.13,45,4.78,50
39,Buffalo,7,5,0.40,2.37,46,0.81,99,2.67,39,5.45,23,1.97,51,1.45,61,2.12,44,4.71,41
40,Georgia,7,5,0.40,2.85,20,2.50,12,2.93,27,5.03,58,2.46,92,1.26,45,2.75,95,5.02,66
41,Houston,7,5,0.39,1.99,73,1.42,69,2.15,74,4.80,76,1.60,18,1.23,44,1.72,18,4.21,10
42,BYU,7,5,0.39,1.83,88,1.21,82,2.02,88,4.53,97,1.44,12,1.35,58,1.47,6,4.21,9
43,Iowa,7,5,0.38,1.88,84,0.67,108,2.22,69,4.51,101,1.50,13,1.09,33,1.62,13,4.76,47
44,Duke,9,4,0.35,2.38,42,1.07,89,2.70,38,5.55,14,2.03,55,1.56,74,2.16,50,5.00,64
45,Mississippi,7,5,0.35,2.31,52,1.68,50,2.55,47,4.74,78,1.96,49,0.77,8,2.28,63,5.23,94
46,Western Kentucky,7,4,0.33,2.47,37,1.82,39,2.57,43,4.51,103,2.14,68,1.28,49,2.37,72,4.89,57
47,Michigan,7,6,0.31,2.38,44,1.93,32,2.48,51,5.18,44,2.06,61,1.67,83,2.14,46,4.56,27
48,Toledo,6,5,0.31,2.82,23,1.43,67,3.13,18,5.13,49,2.51,95,2.50,113,2.51,81,5.41,101
49,Oregon State,7,5,0.31,2.39,41,2.21,20,2.44,55,4.65,90,2.09,62,1.47,65,2.31,67,5.25,96
