Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,ORD,Rk,OVD,Rk,DPD,Rk,DLD,Rk,DRD,Rk,DVD,Rk
49,Central Michigan,6,6,0.27,2.48,36,1.54,55,2.70,31,5.54,13,2.22,73,2.25,102,2.21,60,4.74,40
50,Florida,6,5,0.27,1.78,94,0.61,122,2.14,77,4.63,85,1.51,12,1.02,33,1.74,15,4.56,23
51,Louisiana Lafayette,8,4,0.27,2.43,40,1.59,49,2.66,35,5.26,42,2.17,69,2.59,118,2.01,37,5.06,75
52,North Carolina State,7,5,0.25,2.65,24,0.58,123,3.14,11,5.51,15,2.39,91,2.32,105,2.41,79,5.26,97
53,Houston,7,5,0.25,2.11,64,2.02,26,2.15,75,4.54,96,1.86,37,1.65,79,1.91,30,4.93,62
54,San Diego State,6,6,0.25,2.03,73,2.27,17,1.97,88,4.58,89,1.78,32,0.88,23,2.17,55,4.95,67
55,Utah,8,4,0.24,1.91,81,1.21,82,2.10,81,4.61,86,1.66,20,1.19,46,1.86,26,4.81,48
56,BYU,7,5,0.24,2.35,46,1.79,36,2.57,44,5.44,23,2.11,66,1.07,37,2.47,84,4.71,36
57,Minnesota,7,5,0.21,2.14,59,0.68,114,2.46,54,5.26,43,1.93,43,1.40,60,2.07,43,4.85,52
58,Boston College,6,6,0.19,2.12,62,1.14,87,2.38,61,4.87,76,1.93,46,0.84,21,2.34,67,4.87,56
59,Washington,7,6,0.19,1.85,88,1.78,37,1.88,92,4.60,88,1.66,21,1.46,67,1.73,14,4.36,16
60,Western Kentucky,8,5,0.19,3.24,6,2.06,24,3.55,3,5.44,26,3.05,121,3.00,126,3.06,114,5.13,81
61,Pittsburgh,5,7,0.18,2.56,31,2.30,15,2.63,39,4.81,79,2.38,90,1.08,38,2.94,108,5.51,117
62,Iowa,6,6,0.11,2.04,72,1.14,88,2.35,66,4.88,75,1.93,44,1.26,49,2.09,47,4.94,65
63,Rice,8,5,0.09,2.37,45,1.91,32,2.45,56,5.46,19,2.28,81,2.33,106,2.27,63,5.28,98
64,Nevada,6,6,0.08,2.34,47,1.95,30,2.40,58,5.46,20,2.26,80,1.62,77,2.43,80,4.75,41
65,West Virginia,6,6,0.04,1.99,75,0.98,97,2.36,63,4.39,103,1.95,48,1.92,94,1.96,33,5.06,74
66,Virginia Tech,6,6,0.01,1.45,112,0.62,120,1.81,96,5.15,54,1.44,10,1.58,75,1.40,2,3.59,1
67,South Carolina,6,6,0.01,2.66,23,2.65,8,2.66,34,5.07,61,2.66,106,2.54,117,2.69,98,5.04,72
68,Virginia,4,7,0.00,1.71,97,1.17,85,1.85,94,4.51,97,1.70,25,0.52,7,2.10,48,4.91,59
69,Texas,6,7,-0.01,1.51,111,0.87,107,1.77,100,4.30,108,1.52,13,1.12,43,1.63,10,4.38,17
70,Texas State,6,5,-0.02,2.20,55,1.36,69,2.48,50,5.20,47,2.22,74,1.41,65,2.37,73,4.96,69
71,Ball State,4,6,-0.04,2.19,56,0.58,124,2.60,42,4.95,72,2.23,77,0.85,22,2.52,89,4.64,29
72,UTEP,7,6,-0.05,2.13,61,1.73,40,2.24,71,5.36,31,2.18,70,1.86,91,2.24,62,4.92,60
73,Texas A&M,7,5,-0.05,2.49,35,1.89,33,2.65,37,5.72,2,2.55,100,1.97,95,2.73,101,5.19,90
