Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,ORD,Rk,OVD,Rk,DPD,Rk,DLD,Rk,DRD,Rk,DVD,Rk
1,Boise State,12,1,2.84,3.80,1,4.46,1,3.63,4,5.06,46,0.96,1,1.00,31,0.96,1,3.46,2
2,Stanford,11,1,2.33,3.68,2,4.21,2,3.49,9,5.63,7,1.35,6,0.63,7,1.47,6,4.88,59
3,TCU,12,0,2.31,3.44,5,2.40,10,3.66,3,5.65,6,1.13,4,1.27,46,1.08,2,5.11,77
4,Ohio State,12,1,2.17,3.27,7,1.96,29,3.56,5,5.38,24,1.10,3,0.90,23,1.16,3,3.91,4
5,Alabama,9,3,1.83,3.19,10,2.16,15,3.49,10,5.09,44,1.36,7,0.93,27,1.51,9,4.06,7
6,Oregon,11,1,1.76,3.21,9,2.00,25,3.69,2,5.44,16,1.45,11,1.32,51,1.49,8,3.33,1
7,Wisconsin,10,2,1.63,3.54,3,2.14,16,3.85,1,5.38,23,1.91,41,1.19,40,2.08,45,4.53,32
8,Northern Illinois,10,3,1.62,3.29,6,2.22,14,3.52,7,5.30,29,1.67,24,0.52,4,1.95,30,4.02,6
9,Nevada,12,1,1.58,3.54,4,3.45,3,3.55,6,5.47,14,1.95,49,1.68,79,2.03,39,4.51,29
10,Virginia Tech,11,2,1.42,3.06,11,3.23,4,3.01,17,5.73,2,1.64,21,1.35,56,1.70,17,4.12,9
11,Oklahoma,12,2,1.31,2.68,21,2.08,21,2.84,23,5.17,39,1.37,8,0.35,3,1.65,14,4.52,31
12,Oklahoma State,11,2,1.29,2.96,13,1.80,38,3.23,11,5.50,13,1.67,25,1.36,58,1.73,18,4.67,43
13,Central Florida,10,3,1.11,2.70,20,1.81,37,2.88,20,4.47,90,1.59,16,1.17,39,1.78,21,4.72,47
14,Auburn,13,0,1.08,3.21,8,2.07,22,3.50,8,5.60,11,2.13,61,1.49,68,2.34,65,5.06,72
15,Nebraska,9,4,0.94,2.38,38,1.74,42,2.50,40,5.63,8,1.44,10,0.30,1,1.75,19,4.20,13
16,Hawaii,9,4,0.92,2.84,14,2.48,7,2.92,18,5.27,33,1.92,45,1.33,54,2.04,40,5.19,83
17,West Virginia,8,4,0.91,1.98,70,0.97,88,2.30,61,4.37,97,1.07,2,0.63,6,1.20,4,4.21,15
18,Iowa,7,5,0.91,2.48,34,2.00,26,2.61,36,5.11,43,1.57,15,1.33,53,1.65,13,4.29,20
19,Missouri,9,3,0.88,2.16,57,1.26,69,2.39,50,5.20,38,1.29,5,1.47,66,1.22,5,4.32,22
20,Utah,10,3,0.87,2.53,30,1.52,56,2.77,27,5.27,34,1.66,22,1.64,74,1.66,15,4.11,8
21,Arkansas,9,3,0.87,2.79,17,1.74,41,3.03,14,5.93,1,1.91,43,0.87,22,2.20,53,4.93,62
22,San Diego State,8,4,0.87,2.73,19,2.42,8,2.80,25,5.52,12,1.86,39,0.80,16,2.08,46,4.54,35
23,Pittsburgh,7,5,0.70,2.36,39,0.78,100,2.64,34,4.20,104,1.66,23,0.90,24,1.92,29,4.55,36
24,Florida State,9,4,0.70,2.49,32,1.67,47,2.65,33,5.21,37,1.79,34,1.39,61,1.91,27,4.42,26
25,Air Force,8,4,0.69,2.58,25,1.41,61,2.85,21,4.98,49,1.89,40,1.74,82,1.92,28,4.23,16
26,LSU,10,2,0.68,2.28,43,1.60,50,2.36,53,4.69,77,1.59,17,1.68,78,1.56,10,5.33,95
27,Navy,8,4,0.66,3.05,12,2.64,6,3.17,12,5.12,42,2.39,82,0.94,29,2.65,89,4.78,51
28,Notre Dame,8,5,0.66,2.12,62,0.87,95,2.46,43,4.71,74,1.46,12,0.66,9,1.76,20,4.15,11
29,South Carolina,8,5,0.65,2.57,27,2.42,9,2.61,37,4.75,71,1.92,44,1.27,47,2.05,42,4.70,45
30,Georgia,5,7,0.63,2.80,16,1.81,35,3.09,13,4.74,72,2.17,65,1.65,76,2.30,63,6.00,120
31,North Carolina State,8,4,0.56,2.18,54,1.59,53,2.35,54,4.48,89,1.62,19,0.97,30,1.81,23,4.70,46
32,Michigan State,10,2,0.53,2.56,28,1.86,34,2.77,28,5.16,40,2.02,55,1.05,36,2.23,55,4.61,40
33,USC,8,5,0.53,2.54,29,2.11,18,2.65,32,4.91,60,2.01,53,1.24,41,2.25,58,4.76,50
34,Tulsa,9,3,0.53,2.83,15,1.41,60,3.02,16,5.22,36,2.30,73,1.47,64,2.52,80,5.09,74
35,Mississippi State,8,4,0.51,2.26,46,2.36,12,2.23,65,5.41,21,1.75,28,1.00,32,1.98,31,4.42,25
