Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,ORD,Rk,OVD,Rk,DPD,Rk,DLD,Rk,DRD,Rk,DVD,Rk
1,Boise State,12,1,2.20,3.48,5,2.10,20,3.74,2,5.45,11,1.28,5,0.94,31,1.58,12,4.74,56
2,Alabama,11,1,2.18,2.69,20,2.00,28,2.83,22,4.90,51,0.51,1,0.00,1,0.61,1,3.08,1
3,Wisconsin,10,3,2.16,3.99,1,2.04,26,4.47,1,6.21,1,1.83,41,1.04,41,2.04,47,5.52,110
4,Oklahoma State,12,1,1.89,3.42,6,3.04,4,3.50,5,5.37,15,1.53,17,1.65,75,1.51,9,3.86,5
5,Stanford,11,2,1.80,3.56,2,3.46,3,3.58,4,5.63,8,1.76,38,0.89,26,1.90,35,4.32,22
6,Oregon,11,2,1.74,3.48,4,3.64,2,3.44,6,5.93,2,1.74,37,0.73,14,1.98,42,4.29,20
7,Houston,12,1,1.69,3.50,3,2.74,6,3.71,3,5.67,5,1.81,40,1.17,46,1.93,37,4.47,32
8,LSU,12,1,1.69,2.65,25,1.46,62,2.99,14,5.81,3,0.95,2,0.33,4,1.22,2,4.08,13
9,TCU,10,2,1.61,3.28,8,2.52,9,3.43,7,5.37,14,1.67,30,1.00,35,1.87,34,4.32,21
10,Temple,8,4,1.42,2.66,22,2.07,24,2.75,25,5.04,42,1.24,4,0.92,28,1.33,3,4.86,69
11,Michigan,11,2,1.27,2.86,14,2.66,7,2.92,20,5.40,12,1.59,25,0.68,12,1.81,30,4.48,33
12,Oklahoma,10,3,1.24,2.76,18,1.73,42,2.95,18,5.06,41,1.52,16,1.33,54,1.59,13,4.39,25
13,USC,10,2,1.15,3.06,9,1.95,29,3.27,9,5.30,21,1.91,50,1.76,80,1.96,40,4.52,36
14,Georgia,9,4,0.93,2.26,42,1.54,53,2.51,37,4.38,91,1.33,6,0.75,15,1.48,8,4.75,57
15,Florida State,8,4,0.91,2.12,53,1.93,31,2.17,61,5.02,44,1.21,3,0.36,5,1.56,11,4.65,44
16,Southern Mississippi,11,2,0.90,2.33,39,2.03,27,2.41,43,4.68,72,1.43,10,0.58,10,1.65,17,3.98,10
17,Arkansas,10,2,0.89,2.54,28,1.81,37,2.67,31,5.27,24,1.65,28,0.93,30,1.85,33,4.39,26
18,Texas A&M,7,6,0.81,2.87,12,2.43,10,2.97,16,5.34,17,2.07,59,1.65,74,2.17,53,5.32,97
19,Michigan State,10,3,0.78,2.35,34,1.58,49,2.51,38,5.54,9,1.58,23,1.31,53,1.66,18,5.22,91
