Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
50,Washington State,8,4,0.22,2.13,62,1.10,93,2.03,60,3.83,35,1.91,45,1.00,29,1.62,35,3.05,48
51,Wyoming,7,5,0.21,1.73,103,0.39,127,1.60,98,2.74,104,1.52,14,1.13,43,1.18,11,3.29,60
52,Missouri,6,6,0.20,2.61,25,2.89,7,2.08,56,4.26,15,2.41,83,2.29,107,1.89,60,4.33,115
53,Louisiana Tech,6,6,0.20,2.32,45,2.40,18,2.00,61,3.55,49,2.13,61,1.76,79,2.05,69,2.86,37
54,Wake Forest,7,5,0.19,2.36,41,1.88,33,2.16,50,3.39,61,2.17,67,1.63,73,1.96,66,3.58,81
55,Kansas State,7,5,0.19,2.38,39,1.74,42,2.23,43,3.25,76,2.18,68,1.57,71,2.15,76,3.47,71
56,Eastern Michigan,5,7,0.17,1.86,91,1.34,76,1.67,93,2.94,97,1.69,28,0.89,23,1.58,29,3.14,51
57,Southern Mississippi,7,5,0.13,2.10,67,1.17,87,2.53,25,2.36,116,1.97,48,2.00,89,1.40,17,3.53,74
58,Oregon,6,6,0.12,2.33,44,1.25,84,2.06,58,3.88,29,2.20,71,1.48,64,1.87,58,3.64,85
59,Buffalo,5,6,0.11,2.27,51,1.84,36,1.99,63,3.62,46,2.17,66,1.13,44,2.33,85,3.05,47
60,Utah State,5,7,0.10,1.89,88,1.10,94,1.70,90,3.00,91,1.78,35,1.28,54,1.81,46,2.31,9
61,UAB,7,5,0.10,2.25,53,1.48,67,1.96,68,4.74,3,2.14,63,1.50,65,1.96,65,3.30,61
62,UTSA,5,5,0.10,1.75,102,1.60,57,1.61,96,2.29,119,1.65,25,1.77,81,1.18,10,3.20,54
63,Miami (OH),4,7,0.08,1.98,84,0.94,104,1.84,79,4.15,18,1.90,44,1.41,61,1.82,49,2.76,27
64,Middle Tennessee,7,6,0.08,1.99,82,1.67,52,1.78,85,4.00,22,1.91,46,1.19,50,1.66,38,2.90,39
65,Central Michigan,7,5,0.04,1.89,87,1.33,77,1.80,83,2.97,96,1.85,41,1.03,35,1.61,33,3.03,45
66,New Mexico State,7,6,0.03,2.05,76,2.19,25,1.72,88,3.00,91,2.01,51,1.08,41,1.93,62,2.75,25
67,Florida State,6,6,0.01,1.87,90,1.63,54,1.52,105,3.39,60,1.86,43,0.44,2,1.84,53,3.55,76
68,Georgia Tech,4,6,0.01,2.21,56,1.58,58,2.10,52,3.53,50,2.20,70,1.05,37,2.33,86,2.79,32
69,South Carolina,8,4,0.00,1.85,93,0.69,117,1.96,66,3.05,88,1.85,42,0.50,5,1.86,56,3.05,49
70,Arizona State,7,6,-0.02,2.47,34,1.56,60,2.58,23,3.26,74,2.49,91,1.96,88,2.31,84,3.35,64
71,Texas A&M,6,6,-0.02,2.14,61,1.77,41,1.75,86,3.96,26,2.16,64,2.05,97,1.87,57,3.77,95
72,Temple,6,6,-0.02,2.03,77,2.41,17,1.80,84,2.19,121,2.05,55,0.75,10,1.98,67,3.47,69
73,Indiana,4,7,-0.03,1.78,97,0.81,113,1.57,101,3.85,32,1.81,38,0.59,7,1.47,21,4.22,110
74,Western Kentucky,5,7,-0.08,2.11,66,1.52,63,1.91,74,3.61,47,2.19,69,1.72,75,2.15,77,2.96,44
75,SMU,6,6,-0.13,2.81,17,2.22,21,2.83,13,3.36,66,2.94,117,2.76,121,2.77,115,3.75,93
76,Western Michigan,5,6,-0.14,2.10,68,1.71,46,1.56,102,3.29,72,2.24,73,1.53,68,1.83,51,4.33,115
77,West Virginia,6,6,-0.16,2.30,47,1.73,44,2.19,47,3.83,34,2.46,87,2.60,117,1.93,63,4.06,107
78,UCLA,6,7,-0.16,2.61,24,2.19,24,2.45,29,4.16,17,2.78,107,2.20,103,2.49,97,4.46,120
79,Mississippi,5,6,-0.16,2.35,43,1.05,100,2.60,22,2.42,114,2.51,92,1.77,80,2.46,95,3.68,90
80,Kentucky,6,6,-0.22,2.16,59,0.57,122,2.30,38,3.17,78,2.38,80,0.93,25,2.60,106,3.48,72
81,Tulane,4,7,-0.23,2.35,42,1.39,73,2.44,31,3.40,58,2.58,100,2.96,126,2.43,93,2.54,14
82,Minnesota,5,7,-0.24,1.77,99,0.55,124,1.68,92,3.16,80,2.02,52,1.17,47,1.68,41,4.33,115
83,UNLV,5,6,-0.25,2.53,31,2.33,19,2.48,27,2.91,98,2.78,106,2.89,124,2.53,102,3.55,75
84,Florida International,7,5,-0.25,2.23,54,1.80,39,2.22,44,3.00,91,2.48,90,2.03,94,2.60,104,2.67,20
85,Colorado,4,7,-0.29,2.12,63,2.50,14,1.95,71,2.41,115,2.41,84,1.42,62,2.71,113,2.93,41
86,Texas Tech,5,7,-0.29,2.29,49,1.53,61,2.09,54,3.79,37,2.57,99,1.35,60,2.51,100,3.77,94
87,North Texas,8,5,-0.30,2.55,29,2.52,13,2.35,35,3.32,70,2.85,113,2.88,123,2.52,101,4.16,108
88,Massachusetts,3,8,-0.32,2.06,73,0.77,115,2.22,45,2.63,109,2.37,79,2.16,100,1.84,52,3.59,84
89,Pittsburgh,4,7,-0.32,1.89,86,1.42,71,1.82,81,3.46,54,2.21,72,1.55,69,2.13,75,2.93,40
90,Georgia State,7,4,-0.34,1.63,109,1.03,101,1.87,76,1.78,127,1.97,47,1.03,33,1.89,59,3.50,73
91,California,4,7,-0.35,2.12,64,0.87,109,1.96,65,4.00,22,2.47,89,0.77,15,2.41,92,4.30,113
92,Coastal Carolina,3,8,-0.44,2.11,65,2.75,9,1.54,104,3.04,89,2.55,97,1.79,82,2.47,96,3.71,91
93,Florida,4,7,-0.48,1.63,110,0.34,128,1.61,97,3.78,40,2.11,60,0.96,27,2.05,71,3.71,91
94,Virginia,5,7,-0.49,1.62,111,1.50,65,1.13,123,3.00,91,2.11,59,1.47,63,1.50,26,4.06,106
95,Louisiana Monroe,4,8,-0.56,2.55,28,1.52,62,2.31,37,4.54,6,3.11,119,2.16,101,3.49,128,3.28,59
96,Air Force,4,7,-0.59,2.55,27,1.46,70,2.66,17,4.00,22,3.15,122,2.68,119,2.90,117,3.91,100
97,Idaho,3,8,-0.62,1.65,108,1.10,94,1.26,119,3.33,68,2.26,74,1.85,83,1.63,37,4.37,118
98,Nevada,3,8,-0.63,2.20,58,1.69,50,1.96,66,4.06,21,2.83,112,2.63,118,2.68,109,3.30,62
99,BYU,3,9,-0.65,1.49,116,1.13,91,1.28,116,2.65,108,2.14,62,1.27,53,2.24,80,3.38,65
100,Louisiana Lafayette,4,7,-0.68,2.20,57,1.80,39,1.85,78,3.95,27,2.89,115,1.87,86,3.06,121,3.64,86
101,Syracuse,3,8,-0.72,1.83,96,0.94,104,1.96,69,2.62,110,2.55,95,2.45,111,2.33,87,3.57,78
102,Vanderbilt,4,7,-0.77,2.00,81,1.15,88,2.26,41,2.25,120,2.77,105,1.94,87,2.51,99,4.32,114
