Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,ORD,Rk,OVD,Rk,DPD,Rk,DLD,Rk,DRD,Rk,DVD,Rk
1,Washington,11,2,1.89,3.21,6,1.89,47,3.67,4,5.97,1,1.32,7,1.30,31,1.32,5,4.97,54
2,Michigan,10,3,1.80,2.88,18,1.95,41,3.03,20,5.70,10,1.09,2,0.69,9,1.22,3,3.71,2
3,Western Michigan,12,1,1.68,3.44,4,3.11,3,3.54,6,5.52,16,1.75,25,1.32,33,1.89,25,4.57,26
4,Alabama,13,1,1.63,2.63,30,1.97,38,2.82,29,5.08,65,1.00,1,0.58,4,1.12,1,4.13,10
5,Ohio State,11,2,1.54,2.77,25,2.09,33,3.00,22,5.52,17,1.24,4,1.53,54,1.12,2,4.67,33
6,Western Kentucky,10,3,1.50,3.55,1,2.83,4,3.73,1,5.20,49,2.04,52,1.11,26,2.17,48,4.90,45
7,Boise State,10,3,1.35,2.93,14,2.52,15,3.12,15,5.47,25,1.58,14,1.52,52,1.59,11,4.48,21
8,Clemson,13,1,1.33,2.79,23,2.43,17,2.89,26,5.31,39,1.46,8,1.03,22,1.58,10,5.00,58
9,Louisville,9,4,1.32,2.90,15,1.92,45,3.20,13,5.06,67,1.59,15,1.46,46,1.61,12,4.65,31
10,Oklahoma,11,2,1.13,3.48,2,2.82,5,3.68,3,5.96,2,2.35,75,2.19,99,2.41,71,5.30,86
11,Toledo,8,4,1.04,3.10,9,2.67,10,3.27,11,5.78,9,2.05,53,1.32,34,2.29,61,5.18,74
12,Wisconsin,11,3,1.00,2.28,54,1.60,65,2.48,51,4.46,108,1.28,5,0.59,5,1.53,6,3.76,3
13,USC,10,3,0.99,2.85,22,2.53,14,2.95,23,5.43,28,1.86,36,1.55,57,1.94,28,5.13,69
14,Temple,9,4,0.97,2.65,29,1.42,81,2.90,25,4.54,104,1.69,21,0.89,14,1.96,32,5.03,61
15,San Diego State,10,3,0.96,2.68,27,2.35,20,2.74,33,5.40,31,1.72,23,0.65,7,2.17,47,5.45,100
16,LSU,7,4,0.96,2.26,57,1.78,59,2.47,53,5.07,66,1.30,6,0.68,8,1.57,9,3.63,1
17,Appalachian State,10,3,0.95,2.43,43,2.15,27,2.50,48,4.95,78,1.49,10,1.17,28,1.55,7,4.27,13
18,Tulsa,9,3,0.93,2.87,20,2.11,32,3.10,16,5.36,34,1.94,42,1.67,65,1.99,36,4.86,42
19,Auburn,7,5,0.91,2.50,37,1.76,60,2.70,34,4.96,75,1.59,17,1.71,70,1.56,8,4.29,15
20,Washington State,8,4,0.90,2.87,19,1.94,43,3.17,14,5.15,56,1.97,44,1.85,79,2.02,38,4.95,50
21,Old Dominion,9,3,0.88,3.00,11,2.57,13,3.09,17,5.57,13,2.13,56,2.06,90,2.15,45,5.33,87
22,South Florida,10,2,0.87,3.16,7,2.61,12,3.29,8,5.87,4,2.28,69,2.05,89,2.37,67,5.25,82
23,Penn State,11,3,0.85,2.74,26,2.30,21,2.83,27,5.37,33,1.89,39,1.11,24,2.18,50,4.57,27
24,Troy,9,3,0.84,2.36,48,1.33,90,2.59,43,5.28,42,1.52,12,0.62,6,1.87,24,4.81,39
25,Oklahoma State,9,3,0.80,2.89,17,2.41,19,3.04,19,5.48,21,2.09,54,1.48,48,2.40,70,5.05,62
26,Air Force,9,3,0.76,2.99,12,1.15,100,3.45,7,5.22,47,2.23,63,0.53,3,2.76,85,5.07,65
27,Florida State,9,3,0.74,2.62,31,1.46,77,3.01,21,5.48,22,1.88,38,1.42,41,1.97,33,4.93,47
28,Virginia Tech,9,4,0.73,2.48,39,1.38,83,2.69,36,4.76,93,1.75,24,1.53,55,1.83,21,5.27,85
29,Houston,8,4,0.72,2.50,38,1.85,50,2.68,38,5.27,44,1.77,29,1.00,18,1.96,31,5.34,89
30,Miami,8,4,0.67,2.35,49,1.08,103,2.63,40,4.85,82,1.69,20,1.11,25,1.83,20,4.59,28
31,Memphis,7,5,0.65,2.98,13,3.20,2,2.93,24,5.52,18,2.32,73,1.48,50,2.58,80,4.98,57
32,Stanford,10,3,0.63,2.22,62,1.06,106,2.38,60,4.57,101,1.59,16,0.86,13,1.84,22,4.56,25
33,Florida,9,4,0.61,1.77,104,1.37,87,1.90,97,4.31,115,1.16,3,1.00,17,1.22,4,4.00,7
34,West Virginia,9,3,0.56,2.38,46,2.21,24,2.44,56,4.95,77,1.82,34,1.16,27,1.96,30,4.04,8
35,Kansas State,8,4,0.55,2.58,34,2.00,36,2.79,32,5.42,29,2.04,51,1.93,80,2.06,40,5.14,70
36,BYU,8,4,0.49,2.26,58,1.73,61,2.38,62,4.81,85,1.77,28,1.44,44,1.95,29,4.95,49
37,Louisiana Tech,8,5,0.49,3.45,3,2.79,7,3.62,5,5.47,24,2.96,117,2.21,100,3.17,114,5.50,103
38,Colorado,9,4,0.48,2.04,75,1.34,89,2.27,73,5.04,71,1.56,13,0.47,1,1.81,17,3.98,6
39,Iowa,8,4,0.47,1.98,81,1.47,75,2.06,86,5.17,55,1.51,11,0.82,12,1.74,14,4.86,43
40,Tennessee,8,4,0.44,2.47,41,2.70,9,2.42,58,5.53,15,2.03,49,1.36,36,2.29,60,4.82,41
41,Arkansas State,8,4,0.41,1.89,88,1.07,104,2.09,84,4.33,114,1.47,9,1.03,21,1.64,13,4.18,12
42,Northwestern,7,5,0.41,2.20,63,1.94,42,2.28,70,4.55,103,1.79,32,1.68,68,1.81,18,4.08,9
43,Notre Dame,4,8,0.38,2.47,40,2.46,16,2.47,52,5.30,40,2.09,55,0.70,10,2.35,66,4.80,38
44,Utah,8,4,0.37,2.18,65,1.83,51,2.27,72,4.80,87,1.81,33,1.39,39,1.99,34,5.15,71
45,Minnesota,8,4,0.35,2.02,77,1.03,108,2.25,74,4.75,94,1.67,18,1.46,45,1.74,15,4.66,32
46,Georgia Tech,8,4,0.32,2.61,32,2.67,11,2.60,42,5.48,23,2.30,71,1.70,69,2.42,72,5.22,78
47,Nebraska,9,4,0.31,2.26,56,1.21,97,2.53,47,5.33,35,1.96,43,1.47,47,2.09,43,4.71,35
48,Baylor,6,6,0.26,2.53,35,2.78,8,2.45,55,5.19,50,2.27,68,2.00,87,2.38,69,4.82,40
49,North Carolina,6,5,0.23,2.41,44,1.96,39,2.54,46,5.13,60,2.18,60,1.65,64,2.30,62,4.50,22
50,Navy,8,5,0.20,3.43,5,1.89,46,3.70,2,5.79,7,3.22,124,2.37,108,3.47,127,5.51,105
51,Colorado State,6,6,0.19,2.78,24,3.47,1,2.70,35,5.56,14,2.60,90,1.68,67,2.90,97,5.65,115
