Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,ORD,Rk,OVD,Rk,DPD,Rk,DLD,Rk,DRD,Rk,DVD,Rk
1,Boise State,13,0,2.14,3.27,1,1.93,24,3.60,1,5.23,24,1.14,10,0.75,18,1.23,9,4.76,59
2,Florida,12,1,1.97,3.05,7,2.21,12,3.21,5,4.70,63,1.08,8,0.92,28,1.12,6,4.21,24
3,TCU,11,1,1.87,2.68,15,3.00,4,2.63,24,4.93,45,0.81,2,0.29,1,0.98,2,4.14,20
4,Alabama,13,0,1.64,2.57,22,2.04,17,2.69,22,5.40,15,0.93,3,0.33,2,1.09,4,4.08,18
5,Texas,13,1,1.54,2.61,19,1.79,31,2.82,18,5.33,16,1.07,7,1.20,55,1.03,3,4.31,30
6,Penn State,10,2,1.40,2.38,29,1.17,74,2.67,23,5.19,27,0.98,5,0.43,5,1.14,7,3.50,3
7,Virginia Tech,10,3,1.36,2.61,20,1.96,19,2.75,21,4.92,47,1.25,11,1.17,52,1.27,11,3.70,5
8,BYU,11,2,1.34,3.09,4,1.37,54,3.54,2,5.30,18,1.76,38,1.90,94,1.73,26,4.50,44
9,Ohio State,11,2,1.21,2.18,43,1.48,42,2.33,47,4.62,71,0.97,4,0.52,7,1.15,8,3.58,4
10,Cincinnati,11,1,1.18,3.27,2,2.32,8,3.52,3,5.81,3,2.09,60,1.42,70,2.25,56,5.28,98
11,Nebraska,10,4,1.17,1.93,71,0.79,98,2.26,57,4.38,87,0.76,1,0.53,8,0.86,1,2.83,1
12,Central Michigan,11,2,1.16,2.77,11,2.18,13,2.98,11,4.80,57,1.60,25,0.67,14,1.81,29,3.87,13
13,Texas Tech,8,4,1.11,2.70,14,1.92,25,2.97,13,5.02,40,1.59,23,1.43,71,1.64,20,4.31,31
14,Pittsburgh,9,3,1.01,2.74,12,0.83,95,3.17,6,4.74,61,1.73,35,0.94,30,1.99,39,4.50,45
15,Oregon,10,3,0.93,2.68,17,1.93,21,2.85,17,5.75,4,1.75,37,0.63,12,2.03,43,4.16,21
16,Oklahoma,7,5,0.92,2.04,61,1.43,46,2.25,62,4.68,64,1.13,9,0.56,9,1.25,10,4.00,15
17,Navy,9,4,0.87,2.52,26,1.41,50,2.81,19,5.20,25,1.65,31,1.50,78,1.69,24,3.86,11
18,Wisconsin,9,3,0.86,2.57,21,2.32,9,2.62,27,5.31,17,1.71,33,0.81,21,1.93,36,4.58,48
19,Temple,9,3,0.86,2.34,31,1.82,30,2.42,40,5.13,30,1.48,17,0.93,29,1.62,19,3.95,14
20,Utah,10,3,0.81,2.19,40,1.68,34,2.32,48,4.83,56,1.38,14,0.97,33,1.48,15,4.39,36
21,Air Force,7,5,0.81,2.07,58,0.61,104,2.52,34,4.58,75,1.27,12,0.62,11,1.40,12,4.23,26
22,Iowa,10,2,0.80,1.82,81,1.04,80,1.97,76,4.55,78,1.02,6,0.72,16,1.11,5,3.86,10
23,Tennessee,7,6,0.67,2.31,33,1.06,79,2.47,38,4.51,81,1.64,29,1.00,35,1.82,30,4.49,42
24,Stanford,8,5,0.67,3.07,5,3.48,2,2.97,12,5.59,9,2.40,86,2.37,109,2.41,66,5.13,90
25,Nevada,8,5,0.62,3.16,3,1.91,26,3.42,4,5.82,2,2.54,95,1.93,95,2.70,90,5.52,113
26,Houston,9,4,0.61,3.07,6,3.48,1,2.95,14,4.91,48,2.46,90,1.24,58,2.70,91,5.00,76
27,Middle Tennessee,10,3,0.58,2.12,51,1.03,81,2.39,42,4.87,51,1.54,19,0.43,4,1.83,32,4.13,19
28,LSU,9,4,0.58,1.97,65,1.00,84,2.25,61,4.87,52,1.39,15,1.06,42,1.48,16,3.41,2
29,Miami,8,4,0.57,2.34,32,2.29,10,2.35,44,5.59,8,1.76,39,1.56,80,1.83,33,4.00,16
30,Clemson,8,5,0.56,2.17,45,0.39,114,2.41,41,4.32,89,1.61,26,1.35,65,1.69,23,4.82,64
31,Georgia Tech,10,3,0.54,2.95,8,2.56,5,3.08,9,5.11,31,2.42,88,2.16,102,2.46,73,5.58,115
32,Notre Dame,6,6,0.53,2.68,16,1.31,58,3.02,10,4.83,55,2.15,64,1.44,74,2.31,62,4.75,57
33,Mississippi,7,4,0.53,1.88,76,1.43,47,2.01,75,4.92,46,1.35,13,0.70,15,1.47,14,3.83,8
34,USC,9,4,0.52,2.09,56,1.49,39,2.29,52,4.60,74,1.58,21,0.67,13,1.73,25,4.67,50
35,Troy,9,4,0.50,2.72,13,2.22,11,2.85,16,5.17,28,2.22,75,1.36,67,2.46,72,5.14,91
36,West Virginia,8,4,0.49,2.09,55,1.42,48,2.20,65,4.94,43,1.61,27,0.72,17,1.83,34,3.74,6
37,Oregon State,7,5,0.46,2.65,18,1.27,59,2.94,15,5.24,22,2.19,72,1.52,79,2.43,69,5.48,111
38,Arkansas,7,5,0.45,2.52,25,1.19,69,2.80,20,5.71,5,2.07,57,2.00,97,2.08,50,4.78,61
39,Northern Illinois,6,6,0.32,2.26,35,0.89,91,2.50,36,5.07,35,1.94,47,1.48,77,2.08,48,4.22,25
40,Boston College,7,5,0.31,1.70,87,1.22,66,1.79,94,5.29,19,1.39,16,1.00,34,1.51,17,4.18,22
41,Central Florida,7,5,0.27,2.06,60,1.27,61,2.30,51,4.27,94,1.79,40,1.21,56,2.05,44,4.68,54
42,Oklahoma State,8,4,0.27,1.85,79,1.45,45,1.96,79,4.86,53,1.58,22,0.75,19,1.82,31,4.32,32
43,SMU,7,5,0.24,2.20,39,1.83,29,2.29,53,5.69,6,1.95,49,1.46,75,2.07,47,4.83,65
44,East Carolina,8,5,0.24,1.95,67,0.43,111,2.32,49,4.32,90,1.71,34,1.43,73,1.78,28,4.28,29
45,Fresno State,7,5,0.22,2.81,10,1.20,67,3.11,8,5.11,32,2.59,97,1.17,53,3.12,112,5.35,102
46,Connecticut,7,5,0.21,2.14,49,1.48,43,2.26,58,4.54,79,1.93,43,1.16,51,2.22,54,5.04,82
47,Missouri,7,5,0.13,2.21,37,2.05,16,2.27,54,4.78,58,2.09,61,1.37,68,2.29,60,5.00,75
48,Auburn,7,5,0.11,2.10,53,1.62,35,2.21,64,5.41,13,1.99,54,1.60,82,2.08,51,5.04,84
49,Rutgers,7,4,0.10,1.74,84,1.41,49,1.81,90,5.06,36,1.64,30,2.00,96,1.54,18,5.00,74
50,Arizona,7,5,0.08,2.04,62,1.27,62,2.26,56,4.24,96,1.96,50,1.73,87,2.01,40,5.27,97
51,Texas A&M,6,7,0.06,2.57,24,2.52,6,2.57,29,5.05,39,2.51,94,1.87,92,2.68,87,4.67,52
52,North Carolina,6,5,0.04,1.58,96,1.25,64,1.66,104,4.16,102,1.53,18,2.11,98,1.44,13,3.81,7
53,Southern Mississippi,6,6,0.04,2.34,30,1.46,44,2.56,31,4.88,50,2.30,77,1.76,90,2.50,77,5.04,80
54,Georgia,7,5,0.01,2.19,42,1.19,68,2.48,37,5.65,7,2.17,67,1.08,45,2.41,65,4.68,53
55,Bowling Green,7,6,0.01,2.21,38,1.10,77,2.50,35,4.57,76,2.20,74,1.65,85,2.36,64,4.95,69
56,Purdue,5,7,0.00,2.10,52,0.68,102,2.52,32,4.63,70,2.10,62,1.13,48,2.29,59,4.93,68
57,Kentucky,6,6,-0.01,1.92,72,1.27,60,2.06,71,5.06,38,1.93,44,1.08,43,2.14,53,4.35,33
58,Ohio,8,5,-0.02,1.72,85,0.81,96,1.97,78,4.17,101,1.74,36,1.04,39,1.89,35,4.35,34
59,UCLA,7,6,-0.03,1.53,99,0.88,92,1.70,101,4.14,104,1.55,20,1.03,38,1.68,22,4.45,38
60,South Florida,6,5,-0.03,1.93,70,1.41,51,2.09,67,5.00,41,1.96,51,2.15,99,1.94,37,5.06,85
61,Louisiana Tech,3,8,-0.05,2.13,50,1.48,41,2.32,50,5.94,1,2.18,68,0.76,20,2.47,76,4.48,40
62,South Carolina,6,6,-0.07,1.58,95,0.77,99,1.86,85,3.76,113,1.65,32,1.09,47,1.76,27,4.67,51
63,California,7,5,-0.07,2.01,63,2.42,7,1.89,83,4.64,68,2.08,59,1.41,69,2.25,55,5.04,83
64,Northwestern,7,5,-0.09,1.85,77,1.26,63,2.04,74,4.62,73,1.94,45,1.08,44,2.13,52,5.07,88
65,Arizona State,3,8,-0.11,1.48,102,0.34,115,1.80,93,4.30,91,1.60,24,1.31,61,1.68,21,4.38,35
66,Michigan,4,7,-0.12,2.08,57,1.23,65,2.34,45,5.26,20,2.20,73,1.32,63,2.47,75,5.16,92
67,Michigan State,5,7,-0.13,2.16,46,2.13,15,2.17,66,5.41,14,2.29,76,0.96,32,2.61,84,5.52,114
68,Marshall,6,6,-0.13,1.84,80,1.93,22,1.81,89,4.64,66,1.97,52,0.40,3,2.35,63,4.50,46
69,Iowa State,6,6,-0.16,1.66,92,1.13,76,1.84,86,4.50,82,1.82,42,1.09,46,2.08,49,3.83,9
70,Buffalo,4,7,-0.18,1.89,74,0.94,89,2.25,60,4.27,93,2.07,56,1.21,57,2.28,57,4.24,27
71,Tulsa,4,7,-0.19,1.96,66,1.54,38,2.04,72,4.73,62,2.14,63,1.16,50,2.46,74,4.89,66
72,Kansas,4,7,-0.19,2.15,47,1.48,40,2.34,46,4.68,65,2.34,80,1.32,62,2.59,82,5.07,87
73,Wake Forest,4,7,-0.21,2.26,34,1.00,82,2.52,33,5.42,12,2.47,91,1.33,64,2.68,89,4.93,67
74,Washington,5,7,-0.24,2.15,48,1.33,56,2.43,39,4.47,83,2.39,83,1.60,83,2.60,83,4.19,23
75,UTEP,4,8,-0.25,2.50,27,1.75,33,2.63,25,4.75,59,2.75,105,2.70,115,2.76,96,5.25,96
76,Western Michigan,4,7,-0.26,1.92,73,1.18,70,2.04,73,4.33,88,2.18,69,1.36,66,2.43,67,4.76,58
77,Florida State,6,6,-0.27,2.57,23,3.31,3,2.38,43,5.20,26,2.83,109,0.95,31,3.21,113,5.40,106
78,Idaho,8,5,-0.36,2.88,9,2.03,18,3.15,7,5.58,10,3.24,118,3.00,119,3.28,116,5.68,116
79,Kent State,4,7,-0.38,1.44,106,0.80,97,1.62,106,3.85,111,1.82,41,0.87,25,2.02,41,3.86,12
80,Mississippi State,4,7,-0.40,1.67,91,1.58,37,1.69,102,4.13,105,2.07,58,0.58,10,2.43,68,4.95,71
81,UAB,5,7,-0.41,2.25,36,1.17,72,2.57,30,4.96,42,2.66,101,2.16,104,2.78,99,4.56,47
82,Minnesota,5,7,-0.41,1.61,93,0.76,101,1.88,84,4.24,97,2.01,55,1.89,93,2.05,45,4.49,43
83,Louisiana Monroe,5,6,-0.41,1.75,83,1.35,55,1.83,87,3.98,108,2.17,65,1.74,89,2.29,58,4.80,63
84,Army,4,7,-0.47,1.16,115,0.10,119,1.47,112,3.59,117,1.63,28,0.50,6,1.96,38,4.47,39
85,Kansas State,4,6,-0.48,1.71,86,1.18,71,1.82,88,3.93,109,2.19,70,0.87,26,2.77,98,5.37,104
86,Colorado,3,9,-0.48,1.46,104,0.08,120,1.91,82,4.56,77,1.94,46,1.43,72,2.06,46,4.95,70
87,Duke,4,6,-0.51,1.80,82,1.76,32,1.80,91,4.43,86,2.31,78,1.14,49,2.59,81,5.19,93
88,Florida Atlantic,5,7,-0.55,2.44,28,1.93,23,2.58,28,5.23,23,2.98,114,2.71,116,3.06,109,5.70,118
89,Indiana,3,8,-0.55,1.85,78,0.83,93,2.09,68,4.25,95,2.40,85,2.16,100,2.44,70,4.73,56
90,Virginia,3,8,-0.56,1.40,110,1.08,78,1.47,111,4.64,67,1.95,48,1.61,84,2.03,42,4.27,28
91,North Texas,2,10,-0.59,2.06,59,1.33,57,2.23,63,5.06,37,2.65,100,1.68,86,3.00,108,5.06,86
92,Utah State,3,8,-0.60,2.01,64,2.17,14,1.94,80,5.10,33,2.60,98,1.57,81,3.00,107,6.09,120
93,Syracuse,3,8,-0.64,1.55,97,1.00,85,1.70,100,4.22,99,2.19,71,0.88,27,2.68,88,4.79,62
94,Arkansas State,3,8,-0.67,1.50,101,0.45,110,1.73,99,3.67,114,2.17,66,1.00,36,2.53,78,4.61,49
95,Toledo,5,7,-0.71,2.17,44,1.88,27,2.27,55,4.63,69,2.88,110,2.37,110,2.97,106,5.13,89
96,North Carolina State,3,7,-0.73,2.19,41,0.97,86,2.63,26,5.45,11,2.92,111,2.83,117,2.93,105,5.41,107
97,Hawaii,5,7,-0.75,1.94,68,1.85,28,1.97,77,3.65,115,2.69,102,0.86,24,3.27,115,5.39,105
98,Louisiana Lafayette,5,6,-0.77,1.68,89,0.58,106,2.08,70,5.25,21,2.45,89,1.28,59,2.65,85,4.78,60
99,UNLV,4,7,-0.84,2.10,54,1.00,83,2.25,59,4.45,84,2.94,112,2.16,103,3.09,111,5.47,110
100,Colorado State,2,9,-0.88,1.94,69,1.94,20,1.93,81,4.62,72,2.81,106,2.21,106,2.90,104,5.33,101
101,Ball State,2,9,-0.88,1.52,100,0.58,105,1.74,98,4.29,92,2.40,84,1.04,40,2.77,97,4.98,72
102,San Diego State,3,8,-0.88,1.68,90,1.40,53,1.77,97,5.09,34,2.56,96,0.81,23,2.83,102,5.00,77
103,Maryland,1,10,-0.89,1.47,103,0.91,90,1.58,108,4.14,103,2.36,82,0.81,22,2.58,80,4.98,73
