Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,ORD,Rk,OVD,Rk,DPD,Rk,DLD,Rk,DRD,Rk,DVD,Rk
1,Alabama,12,1,2.48,3.36,3,2.45,15,3.53,3,5.62,10,0.88,1,0.84,23,0.89,1,3.62,5
2,Oregon,11,1,2.12,3.53,2,2.17,24,3.98,1,6.03,3,1.40,14,0.73,17,1.59,17,3.90,9
3,Georgia,11,2,1.61,3.03,9,3.06,4,3.02,16,5.95,5,1.42,16,0.62,9,1.70,25,4.20,16
4,Boise State,11,2,1.59,2.68,27,1.76,45,2.87,27,4.98,54,1.09,3,0.70,16,1.22,3,3.38,3
5,Texas A&M,9,2,1.58,3.33,4,3.07,3,3.40,6,5.22,32,1.75,31,2.00,89,1.70,24,4.53,37
6,Utah State,10,2,1.52,2.66,28,1.83,42,2.94,24,5.57,11,1.14,4,0.33,1,1.60,18,3.45,4
7,Florida State,10,2,1.49,2.74,24,2.03,33,2.97,20,5.13,40,1.25,9,0.83,21,1.43,10,4.25,18
8,Northern Illinois,11,2,1.46,3.21,6,1.47,63,3.49,4,5.52,15,1.76,33,2.14,94,1.62,19,4.14,11
9,Kansas State,10,2,1.44,3.16,7,2.13,26,3.33,8,5.34,21,1.72,30,1.28,41,1.87,34,4.18,13
10,San Jose State,10,2,1.15,2.80,21,1.68,51,3.15,12,5.29,25,1.65,26,1.45,51,1.72,26,4.95,70
11,Central Florida,10,4,1.12,2.82,19,2.32,19,2.97,19,6.12,1,1.69,28,0.83,22,2.02,42,4.14,12
12,Penn State,8,4,1.09,2.43,40,2.22,23,2.47,54,4.65,81,1.34,10,1.31,44,1.34,7,3.64,6
13,Notre Dame,12,1,1.09,2.25,61,1.98,34,2.38,64,4.27,100,1.16,5,1.19,34,1.15,2,3.69,8
14,Ohio State,12,0,1.08,2.65,29,0.84,103,3.05,14,6.10,2,1.58,23,1.75,78,1.52,13,4.35,23
15,Oklahoma State,7,5,1.08,3.01,11,1.62,52,3.42,5,5.13,39,1.93,46,2.20,96,1.86,33,4.35,24
16,Cincinnati,8,3,1.06,2.53,33,2.04,31,2.65,37,5.26,29,1.47,19,1.55,62,1.44,11,4.02,10
17,Fresno State,8,4,1.06,2.45,37,1.97,35,2.59,43,4.82,70,1.39,13,1.00,27,1.51,12,4.69,48
18,South Carolina,10,2,1.05,2.51,34,1.31,78,2.83,28,5.24,30,1.45,17,0.37,2,1.73,28,4.30,20
19,BYU,7,5,1.04,2.04,72,0.56,117,2.42,63,4.00,113,1.01,2,0.43,4,1.27,5,3.66,7
20,Louisiana Tech,9,3,0.99,3.68,1,3.21,1,3.77,2,5.42,19,2.69,92,2.47,105,2.76,87,5.69,114
21,Clemson,10,2,0.96,3.07,8,2.04,32,3.30,9,5.77,9,2.11,59,1.67,71,2.24,54,4.80,58
22,Oklahoma,9,3,0.94,2.84,17,2.41,18,2.95,23,5.28,27,1.90,42,1.78,79,1.95,38,4.67,46
23,Florida,10,2,0.85,2.04,73,1.39,71,2.27,70,4.73,76,1.19,8,1.00,26,1.26,4,3.36,2
24,Michigan,8,5,0.85,2.61,32,2.42,17,2.68,34,5.45,17,1.77,34,0.63,10,1.93,36,4.21,17
25,Wisconsin,7,6,0.82,2.23,63,1.19,84,2.45,57,5.32,23,1.41,15,0.69,15,1.75,30,4.97,73
26,San Diego State,8,4,0.82,2.63,31,1.55,56,2.98,17,5.56,12,1.81,37,1.10,32,1.95,39,4.53,38
27,Louisville,10,2,0.71,2.78,23,3.13,2,2.67,36,5.43,18,2.07,55,2.04,91,2.08,46,4.73,52
28,North Carolina,7,4,0.71,2.90,13,2.52,14,3.02,15,5.17,35,2.19,61,1.79,82,2.32,60,4.59,42
29,Stanford,12,2,0.68,2.08,71,1.62,53,2.20,74,4.90,62,1.39,12,1.50,58,1.35,9,4.95,69
