Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
50,Southern Mississippi,5,5,0.29,1.73,104,1.03,101,1.65,98,2.96,93,1.44,10,0.44,3,1.12,9,2.86,27
51,Miami,6,6,0.29,1.83,97,1.97,34,1.53,107,2.65,112,1.55,16,1.15,29,1.23,12,2.33,5
52,Oklahoma State,6,6,0.27,2.82,17,1.13,93,2.78,15,5.63,2,2.55,97,1.96,101,2.66,112,2.79,22
53,Toledo,6,6,0.26,2.67,27,2.00,29,2.46,27,3.48,63,2.41,83,2.85,124,1.86,50,4.09,105
54,Eastern Michigan,6,6,0.26,1.93,90,1.96,36,1.34,115,3.18,81,1.67,21,1.56,67,1.33,15,3.00,36
55,Arkansas State,7,5,0.22,2.15,70,1.88,39,2.14,55,2.46,117,1.93,43,1.51,60,1.67,37,3.85,99
56,Michigan State,7,6,0.21,1.45,118,0.92,110,1.30,116,2.57,114,1.23,3,0.81,15,1.11,7,1.95,1
57,Boston College,6,5,0.19,2.07,75,2.22,20,1.59,103,3.23,79,1.88,40,1.12,27,1.97,57,2.83,24
58,Nevada,7,5,0.16,2.00,86,1.20,87,1.93,73,3.00,89,1.84,36,1.10,24,1.62,31,3.12,46
59,Northwestern,9,5,0.15,1.82,99,0.85,114,1.56,105,3.43,66,1.67,22,1.16,30,1.68,40,2.35,7
60,Minnesota,7,6,0.13,2.19,64,1.52,69,2.16,52,2.86,99,2.06,56,1.69,77,1.68,41,4.09,104
61,Middle Tennessee,7,6,0.12,2.18,66,2.53,15,1.75,86,3.09,86,2.06,57,1.90,94,1.63,33,3.68,85
62,Duke,7,5,0.12,2.17,68,0.85,115,2.24,45,2.79,104,2.05,55,1.76,83,1.92,55,3.04,41
63,Purdue,6,7,0.02,2.37,45,2.14,25,2.10,60,3.75,46,2.34,75,2.09,105,2.00,61,3.81,95
64,Air Force,4,7,-0.02,2.52,31,1.00,102,2.95,11,2.53,116,2.54,96,1.48,56,2.84,117,2.95,35
65,Georgia Tech,6,6,-0.03,2.88,15,2.21,21,2.40,32,5.30,3,2.92,116,1.95,98,2.67,113,4.67,123
66,South Carolina,6,6,-0.04,2.40,42,2.14,26,2.45,29,2.44,118,2.44,85,2.39,112,2.37,89,2.84,25
67,Vanderbilt,5,7,-0.05,2.34,51,1.80,47,1.99,66,3.85,37,2.40,78,2.74,121,2.17,75,3.08,43
68,Texas Tech,4,7,-0.05,2.45,36,1.41,75,2.44,30,3.65,52,2.51,94,1.59,70,2.70,114,3.20,49
69,California,6,6,-0.10,1.33,126,0.75,118,1.14,123,2.39,121,1.43,9,0.90,18,1.34,16,2.73,20
70,Colorado,4,7,-0.10,2.05,79,1.83,44,2.12,59,2.00,124,2.15,65,1.33,41,2.10,71,3.61,79
71,Maryland,5,7,-0.11,2.13,73,2.00,29,1.96,70,3.00,89,2.24,69,1.79,85,2.00,61,3.61,79
72,San Diego State,6,6,-0.13,1.73,105,1.00,102,1.69,95,3.10,85,1.85,38,1.50,58,1.47,23,3.06,42
73,Louisiana Tech,7,5,-0.14,1.81,100,0.77,116,1.75,87,2.73,106,1.95,46,1.37,48,1.77,44,2.94,34
74,Wyoming,5,6,-0.17,1.69,107,0.67,121,1.73,89,2.68,108,1.87,39,1.66,74,1.62,32,2.87,28
75,Florida Atlantic,4,7,-0.18,2.18,67,1.65,57,2.10,61,3.60,58,2.36,77,1.90,95,2.19,77,3.22,51
76,USC,5,7,-0.18,1.96,88,1.28,83,1.71,93,4.15,22,2.14,64,1.85,90,1.78,45,3.76,91
77,Tulane,6,6,-0.20,1.89,93,1.42,73,1.73,90,2.83,101,2.09,59,1.32,40,2.04,68,3.00,36
78,Kansas State,4,7,-0.21,2.13,71,1.79,49,1.88,75,3.50,62,2.33,74,2.23,109,2.13,72,3.24,53
79,Arizona,4,7,-0.22,2.19,65,2.19,22,2.05,63,2.79,103,2.41,82,1.62,71,2.38,91,3.55,75
80,Northern Illinois,8,6,-0.23,1.47,115,0.96,106,1.23,121,3.04,88,1.70,23,1.70,78,1.50,25,2.26,4
81,Indiana,5,7,-0.27,2.20,62,3.04,7,1.80,82,2.91,96,2.47,89,1.25,35,2.57,104,3.41,63
82,Nebraska,3,8,-0.31,2.20,61,1.86,43,2.24,44,2.71,107,2.51,95,2.72,119,2.31,86,2.93,33
83,TCU,6,6,-0.32,1.47,116,1.09,96,0.94,128,3.27,75,1.79,30,0.44,3,1.87,51,3.24,54
84,South Florida,6,6,-0.33,2.02,85,1.81,46,2.01,65,2.38,122,2.35,76,1.91,96,2.22,80,3.38,61
85,Louisiana Lafayette,6,7,-0.35,2.79,19,3.00,8,2.54,22,3.39,70,3.15,121,1.64,73,3.33,124,4.25,112
86,Wake Forest,6,6,-0.37,2.05,77,1.04,100,1.98,68,3.75,46,2.42,84,1.87,92,2.20,79,3.79,92
87,Pittsburgh,6,7,-0.37,2.02,84,1.68,55,1.80,83,3.52,61,2.40,80,1.55,63,2.41,93,2.90,29
88,Baylor,6,6,-0.42,2.35,48,1.41,75,2.22,46,5.07,5,2.77,106,1.58,68,2.84,116,3.68,84
89,Louisiana Monroe,5,6,-0.42,2.19,63,1.22,85,2.15,53,4.33,16,2.62,101,2.71,118,2.45,95,3.18,48
90,Virginia Tech,5,7,-0.44,2.03,81,1.67,56,2.16,51,1.96,125,2.47,90,0.68,12,2.61,105,4.22,111
91,Tulsa,2,9,-0.45,1.86,95,1.21,86,1.82,79,2.83,102,2.31,72,0.79,14,2.19,78,3.62,82
92,Mississippi,4,7,-0.46,2.42,39,2.58,14,2.22,47,3.80,39,2.88,112,3.24,128,2.56,102,3.74,88
93,Hawaii,7,6,-0.49,2.41,40,0.86,113,2.46,26,3.82,38,2.89,115,1.81,88,2.64,110,3.87,101
94,Liberty,4,6,-0.51,2.05,78,1.14,92,1.76,85,4.32,17,2.56,98,1.58,69,2.29,84,4.14,109
95,Western Michigan,6,6,-0.51,2.36,47,2.79,12,1.77,84,3.77,44,2.87,110,1.83,89,2.25,82,4.74,125
96,SMU,4,7,-0.51,1.88,94,1.48,71,1.64,99,3.32,74,2.40,79,1.69,76,2.09,70,4.33,113
97,Texas State,2,9,-0.58,1.45,119,0.42,127,1.22,122,3.07,87,2.02,52,1.52,61,1.98,58,2.64,17
98,Western Kentucky,3,8,-0.59,1.67,109,1.30,82,1.49,108,2.67,109,2.26,70,1.90,93,2.30,85,2.53,14
99,Charlotte,4,7,-0.67,1.74,103,0.91,111,1.97,69,2.64,113,2.41,81,1.43,52,2.17,74,3.58,77
100,North Carolina,1,9,-0.68,1.82,98,2.15,24,1.66,96,1.86,127,2.49,92,2.68,117,1.95,56,3.85,100
101,Kansas,3,8,-0.77,1.68,108,0.94,107,1.81,80,1.82,129,2.45,87,1.41,50,2.57,103,3.75,89
102,Tennessee,4,7,-0.78,1.67,110,1.90,38,1.35,114,2.88,98,2.45,86,1.71,79,2.35,88,4.06,103
103,Old Dominion,3,8,-0.79,2.08,74,1.17,89,2.15,54,2.67,109,2.87,109,2.45,115,2.63,108,4.12,108
104,Florida State,4,7,-0.82,1.46,117,0.50,125,1.49,110,3.59,59,2.28,71,2.92,125,1.88,53,2.91,30
105,UNLV,3,8,-0.85,2.02,83,1.39,78,1.80,81,3.57,60,2.87,111,1.62,72,2.53,99,4.48,117
106,UCLA,3,9,-0.92,1.90,91,1.32,81,1.59,101,4.63,12,2.82,107,1.54,62,2.86,118,3.81,95
107,Ball State,3,8,-0.98,1.85,96,1.00,102,1.41,111,4.43,14,2.83,108,1.95,99,2.44,94,5.53,130
108,Akron,3,8,-0.99,1.07,127,0.42,126,1.01,126,2.42,119,2.05,54,1.56,65,1.85,49,2.73,21
109,East Carolina,3,8,-1.00,1.65,112,1.41,74,1.59,102,2.67,109,2.65,103,2.75,122,1.99,60,4.69,124
110,UTEP,1,10,-1.08,1.42,121,0.94,108,1.29,117,3.00,89,2.50,93,1.33,41,2.27,83,3.62,81
111,Illinois,3,8,-1.09,2.02,82,1.54,66,1.63,100,3.78,42,3.11,120,2.27,111,3.02,120,4.56,119
112,Coastal Carolina,4,7,-1.15,2.13,72,1.71,53,2.03,64,3.80,39,3.28,124,3.71,129,3.10,121,3.54,74
113,New Mexico,2,9,-1.17,1.57,113,0.58,122,1.26,118,3.74,48,2.74,105,1.78,84,2.61,106,4.12,107
114,Colorado State,3,8,-1.18,1.71,106,1.86,42,1.37,112,3.38,71,2.89,114,2.00,102,2.96,119,3.33,58
115,Navy,2,10,-1.20,2.06,76,0.53,124,2.12,58,3.25,77,3.26,123,2.26,110,3.28,123,4.44,116
116,San Jose State,1,10,-1.20,1.43,120,0.30,128,1.05,125,3.16,82,2.63,102,1.37,49,3.15,122,2.92,32
117,Massachusetts,3,8,-1.24,2.20,60,1.05,99,1.92,74,4.83,8,3.44,126,2.40,113,3.58,127,3.85,98
118,Central Michigan,0,11,-1.26,0.87,130,0.22,129,0.84,129,1.86,128,2.13,63,1.56,65,1.51,26,3.42,64
119,Arkansas,1,10,-1.35,1.36,124,0.71,120,1.49,109,1.67,130,2.71,104,2.10,106,2.45,96,3.51,73
120,Bowling Green,2,9,-1.43,1.78,102,1.58,64,1.58,104,2.94,94,3.20,122,2.67,116,2.65,111,4.96,127
121,Rutgers,1,11,-1.45,1.02,128,0.20,130,1.00,127,2.94,95,2.47,88,1.28,37,2.63,109,3.26,55
122,UTSA,3,9,-1.47,1.02,129,0.55,123,0.38,130,3.70,50,2.48,91,1.68,75,2.52,98,3.65,83
123,Kent State,1,10,-1.51,1.53,114,1.58,63,1.23,120,3.62,56,3.03,118,2.44,114,2.23,81,4.16,110
124,New Mexico State,2,9,-1.53,1.42,122,1.17,91,1.35,113,2.10,123,2.95,117,1.20,32,2.73,115,4.58,121
125,Georgia State,1,10,-1.61,1.90,92,1.94,37,1.72,92,3.33,73,3.50,127,2.78,123,3.35,125,4.58,122
126,South Alabama,2,9,-1.62,1.79,101,1.00,102,1.72,91,2.89,97,3.42,125,2.11,108,3.43,126,4.09,105
127,Rice,1,11,-1.64,1.40,123,0.76,117,1.25,119,2.57,115,3.05,119,3.11,126,2.63,107,4.50,118
128,Oregon State,1,10,-1.79,1.97,87,0.93,109,1.95,71,3.68,51,3.76,128,2.74,120,3.60,128,5.09,128
129,Louisville,1,10,-2.43,1.33,125,1.10,95,1.06,124,3.13,83,3.76,129,1.96,100,3.69,129,5.34,129
130,Connecticut,0,11,-2.86,1.66,111,1.33,80,1.71,94,1.92,126,4.51,130,4.06,130,4.62,130,4.56,119
