Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,ORD,Rk,OVD,Rk,DPD,Rk,DLD,Rk,DRD,Rk,DVD,Rk
49,Oregon,8,4,0.28,2.96,11,1.38,73,3.38,5,5.25,36,2.68,107,1.45,54,2.88,105,5.29,90
50,Air Force,7,6,0.27,2.52,36,2.76,6,2.47,54,5.25,34,2.24,75,1.56,64,2.40,75,5.32,93
51,Louisville,7,5,0.23,1.94,78,1.53,56,2.06,81,4.74,87,1.71,31,1.24,43,1.87,30,4.90,57
52,Utah State,5,7,0.22,2.22,56,1.00,98,2.48,49,4.96,70,2.00,54,0.81,23,2.34,70,5.83,123
53,Middle Tennessee,6,6,0.20,2.16,60,0.77,107,2.52,48,4.87,75,1.96,49,1.40,50,2.07,44,4.19,15
54,Central Michigan,6,6,0.20,2.09,62,1.03,96,2.41,59,4.74,84,1.89,37,0.45,8,2.28,64,4.83,51
55,Florida,10,4,0.19,1.62,104,1.45,67,1.68,110,4.47,100,1.43,12,0.69,14,1.72,20,4.98,63
56,California,7,5,0.17,2.78,20,2.67,10,2.81,28,4.86,77,2.61,102,2.20,105,2.68,96,5.16,85
57,Georgia State,6,6,0.17,2.06,69,1.57,54,2.29,63,5.04,63,1.89,38,1.20,42,2.04,40,4.40,22
58,Auburn,6,6,0.15,2.40,44,1.20,85,2.68,36,5.05,61,2.25,76,2.39,111,2.22,57,4.15,12
59,Cincinnati,6,6,0.12,2.43,41,2.44,14,2.43,58,4.95,71,2.31,79,1.80,82,2.42,76,4.98,66
60,Northern Illinois,7,6,0.12,2.01,73,2.24,21,1.95,89,5.58,10,1.89,39,1.18,39,2.07,42,4.40,23
61,Akron,7,5,0.10,1.80,93,1.52,58,1.87,99,5.05,60,1.70,29,0.41,6,2.13,51,5.42,102
62,Penn State,7,6,0.10,1.73,99,0.65,114,2.07,79,5.15,50,1.63,25,1.55,63,1.65,15,5.00,69
63,Texas Tech,6,6,0.07,3.10,7,2.50,12,3.28,8,5.49,17,3.03,117,2.48,114,3.17,115,5.77,121
64,Arizona State,5,7,0.07,2.26,52,0.73,111,2.69,35,4.86,76,2.19,69,1.61,71,2.34,71,5.41,100
65,Ohio,7,5,0.01,1.86,86,1.17,89,2.05,83,4.64,96,1.85,34,1.67,77,1.92,34,4.97,62
66,Virginia Tech,6,6,0.01,2.04,71,1.58,53,2.17,71,4.64,95,2.04,59,1.81,84,2.07,43,5.73,119
67,Northwestern,9,3,0.00,1.28,117,0.43,120,1.49,118,4.29,110,1.28,7,0.00,1,1.52,8,4.03,10
68,East Carolina,4,7,0.00,2.07,67,1.68,47,2.17,70,5.40,26,2.07,62,1.78,80,2.18,55,4.77,45
69,Indiana,5,7,-0.01,2.53,34,1.97,34,2.67,37,5.03,65,2.54,96,1.84,86,2.70,99,5.47,105
70,Duke,7,5,-0.05,1.96,75,0.90,105,2.13,73,3.87,120,2.01,56,2.12,101,1.97,36,5.41,101
71,Colorado State,6,6,-0.09,2.24,53,2.04,30,2.29,64,4.67,92,2.33,82,2.05,99,2.43,77,5.48,106
72,Minnesota,6,7,-0.11,1.80,94,0.74,109,2.07,80,5.47,20,1.91,42,1.35,46,2.11,48,4.88,54
73,Connecticut,5,7,-0.12,1.44,114,1.00,99,1.55,113,4.09,116,1.56,19,1.18,40,1.70,18,3.97,8
74,Pittsburgh,7,5,-0.13,2.20,58,1.86,40,2.27,66,4.74,88,2.32,81,1.93,94,2.44,80,5.40,98
75,Nevada,6,6,-0.13,2.08,65,0.93,104,2.41,60,5.42,24,2.21,71,0.92,26,2.51,86,4.42,25
76,San Jose State,5,7,-0.15,2.39,46,0.96,103,2.73,31,5.17,47,2.54,97,1.65,74,2.83,102,5.14,83
77,Arizona,6,6,-0.20,2.53,33,2.22,22,2.59,42,5.09,57,2.72,109,1.36,48,3.11,112,5.65,116
78,Texas,5,7,-0.24,1.95,76,1.49,61,2.13,74,5.30,32,2.19,70,2.75,120,2.08,45,5.27,89
79,Miami,7,5,-0.27,1.97,74,1.71,45,2.04,84,4.68,90,2.24,74,1.89,89,2.37,73,4.69,39
80,Troy,3,8,-0.28,2.02,72,1.79,43,2.09,77,5.25,35,2.30,78,1.80,83,2.43,78,5.57,110
81,Kentucky,4,7,-0.34,1.84,88,1.50,60,1.95,91,5.15,49,2.18,68,0.30,5,2.62,92,4.52,30
82,Tulsa,6,7,-0.37,2.39,45,1.27,77,2.62,40,5.03,64,2.76,110,1.65,73,2.99,110,5.04,76
83,Kansas State,5,7,-0.37,2.24,55,1.16,90,2.55,45,5.24,37,2.60,101,1.82,85,2.85,103,5.08,78
84,New Mexico,6,6,-0.38,2.08,63,0.62,116,2.54,46,5.02,66,2.46,89,2.09,100,2.53,88,4.61,34
85,Illinois,4,7,-0.39,1.46,113,0.70,112,1.69,109,3.88,119,1.85,35,0.80,21,2.09,47,4.90,55
86,Missouri,4,7,-0.42,1.04,121,0.14,128,1.55,114,3.37,123,1.46,14,1.17,36,1.53,10,4.03,11
87,Florida Atlantic,3,9,-0.43,1.60,105,1.00,100,1.74,103,3.33,124,2.03,57,0.81,22,2.45,81,5.11,81
88,Georgia Tech,2,9,-0.46,1.86,85,1.68,46,1.91,96,5.66,8,2.32,80,1.76,79,2.44,79,5.22,86
89,Virginia,3,8,-0.53,1.95,77,1.39,71,2.14,72,4.93,74,2.48,91,1.90,91,2.59,89,4.98,65
90,Boston College,1,9,-0.55,0.64,128,0.24,127,0.75,127,3.56,122,1.18,4,1.00,30,1.25,2,3.67,2
91,Buffalo,4,7,-0.55,1.58,107,1.08,93,1.70,107,4.18,112,2.13,67,1.46,56,2.30,68,5.09,79
92,Army,1,9,-0.62,1.89,82,2.11,28,1.82,100,5.06,58,2.51,93,1.89,88,2.64,94,5.46,104
93,UTSA,3,9,-0.63,1.72,100,1.03,97,1.94,92,4.11,115,2.35,83,1.16,35,2.68,97,4.93,60
94,Colorado,3,9,-0.63,1.79,95,1.05,94,1.90,97,4.25,111,2.43,86,2.85,122,2.30,67,5.02,74
95,Louisiana Lafayette,3,8,-0.64,1.81,92,0.85,106,2.06,82,4.75,83,2.45,87,2.91,123,2.30,66,5.37,96
96,Vanderbilt,3,8,-0.67,0.84,126,0.38,123,0.99,125,3.00,127,1.51,15,0.77,18,1.78,24,3.56,1
97,South Carolina,3,8,-0.69,1.82,91,1.20,86,1.94,93,4.42,105,2.50,92,2.21,106,2.60,90,5.31,91
98,Florida International,4,7,-0.70,1.88,83,1.38,72,2.03,85,5.00,67,2.58,99,1.05,32,2.91,108,4.54,31
99,Massachusetts,3,9,-0.74,1.67,102,0.65,115,1.94,94,4.13,114,2.41,84,2.00,96,2.47,82,5.02,72
100,Iowa State,2,9,-0.79,1.84,90,1.00,101,2.03,86,4.52,98,2.63,104,2.61,118,2.64,93,5.43,103
101,Syracuse,3,8,-0.80,1.84,89,1.20,87,1.96,88,4.94,73,2.64,105,2.12,102,2.83,101,5.39,97
102,South Alabama,4,7,-0.86,1.78,96,1.46,63,1.90,98,4.67,93,2.65,106,2.26,107,2.71,100,5.93,126
103,UTEP,4,7,-0.88,1.58,106,1.23,81,1.70,106,4.95,72,2.47,90,1.58,68,2.70,98,4.92,58
104,Wake Forest,2,9,-0.91,1.14,120,0.75,108,1.29,120,4.29,109,2.06,61,1.46,55,2.29,65,5.12,82
105,New Mexico State,3,9,-1.05,1.91,81,1.80,42,1.95,90,5.35,27,2.96,116,2.19,104,3.13,113,5.09,80
106,Idaho,3,8,-1.06,2.24,54,1.25,79,2.48,53,4.60,97,3.30,123,3.30,126,3.30,119,5.56,109
107,Maryland,2,9,-1.08,1.52,111,1.09,92,1.66,112,4.74,85,2.60,100,1.13,33,2.91,107,4.81,47
108,Old Dominion,4,7,-1.08,1.88,84,0.70,113,2.28,65,4.64,94,2.95,115,1.36,49,3.28,118,4.94,61
109,UNLV,2,9,-1.09,1.74,98,1.66,49,1.77,101,5.24,40,2.83,112,2.59,117,2.89,106,5.87,124
110,Tulane,2,9,-1.11,1.40,115,1.23,82,1.49,117,4.78,81,2.51,94,2.74,119,2.47,83,5.15,84
111,Purdue,1,10,-1.14,1.72,101,0.32,125,1.98,87,5.09,56,2.85,113,1.93,93,3.10,111,4.98,68
112,Miami (OH),2,9,-1.19,1.22,118,1.12,91,1.27,121,4.42,104,2.41,85,1.92,92,2.52,87,4.98,64
113,Rice,4,7,-1.20,1.92,79,1.33,75,2.10,76,4.44,101,3.12,120,2.38,110,3.34,121,5.89,125
114,Fresno State,2,9,-1.23,1.56,108,1.21,84,1.66,111,4.68,91,2.79,111,1.40,51,3.16,114,5.68,117
115,Kent State,2,9,-1.28,0.65,127,0.43,119,0.73,128,3.27,125,1.93,44,0.65,12,2.23,58,4.63,35
116,Rutgers,3,8,-1.32,1.86,87,0.74,110,2.18,68,4.78,80,3.18,121,2.42,112,3.32,120,4.98,67
117,Louisiana Monroe,1,11,-1.34,1.29,116,0.34,124,1.51,116,4.74,86,2.63,103,1.15,34,2.95,109,5.02,73
118,SMU,2,9,-1.34,2.08,66,1.58,52,2.20,67,5.47,21,3.42,125,1.56,65,3.74,128,6.45,128
119,Ball State,2,9,-1.39,1.55,109,1.00,102,1.69,108,4.42,106,2.95,114,2.04,98,3.18,116,5.59,113
120,Eastern Michigan,1,11,-1.46,2.06,68,1.56,55,2.18,69,5.21,45,3.52,127,3.52,128,3.52,124,5.54,108
121,Hawaii,2,10,-1.55,1.15,119,0.45,117,1.41,119,5.12,54,2.70,108,2.29,108,2.85,104,5.61,114
122,Wyoming,2,9,-1.55,1.55,110,1.04,95,1.71,105,4.51,99,3.10,119,1.35,47,3.41,122,5.72,118
123,Texas State,2,9,-1.58,1.65,103,1.27,76,1.73,104,4.05,117,3.24,122,3.17,125,3.25,117,5.73,120
124,Charlotte,1,10,-1.63,0.88,124,0.29,126,1.07,123,3.80,121,2.51,95,2.52,115,2.51,85,4.92,59
125,Oregon State,1,10,-2.02,1.47,112,1.24,80,1.54,115,4.41,107,3.50,126,2.78,121,3.68,127,5.41,99
126,North Texas,1,10,-2.18,0.90,123,0.40,121,1.04,124,3.26,126,3.09,118,1.97,95,3.52,123,5.49,107
127,Central Florida,0,11,-2.45,0.86,125,0.43,118,0.97,126,2.85,128,3.32,124,2.54,116,3.57,125,6.00,127
128,Kansas,0,11,-2.62,0.97,122,0.40,122,1.11,122,4.30,108,3.58,128,3.42,127,3.61,126,5.35,94
