team,conference,w-l,fpi,fpi_rank,fpi_trend,proj_w-l,win_out_perc,six_win_perc,win_div_perc,win_conf_perc,playoff_perc,nc_perc,win_nc
Alabama Crimson Tide,SEC,13-1,28.4,1,--,13.0-1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ohio State Buckeyes,Big Ten,12-2,26.9,2,--,12.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Georgia Bulldogs,SEC,13-2,25.1,3,2,13.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Penn State Nittany Lions,Big Ten,11-2,25.0,4,--,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Clemson Tigers,ACC,12-2,24.2,5,2,12.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Oklahoma Sooners,Big 12,12-2,22.3,6,1,12.0-2.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Wisconsin Badgers,Big Ten,13-1,21.7,7,2,13.0-1.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Washington Huskies,Pac-12,10-3,21.7,8,--,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Auburn Tigers,SEC,10-4,21.6,9,3,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Notre Dame Fighting Irish,FBS Indep.,10-3,18.9,50,--,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Oklahoma State Cowboys,Big 12,10-3,17.0,11,1,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
TCU Horned Frogs,Big 12,11-3,16.8,12,1,11.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Stanford Cardinal,Pac-12,9-5,15.8,13,--,9.0-5.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
LSU Tigers,SEC,9-4,13.9,14,3,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UCF Knights,American,13-0,13.8,15,6,13.0-0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
USC Trojans,Pac-12,11-3,13.6,16,2,11.0-3.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Miami Hurricanes,ACC,10-3,13.5,17,2,10.0-3.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Virginia Tech Hokies,ACC,9-4,13.4,18,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Mississippi State Bulldogs,SEC,9-4,13.3,19,--,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Florida State Seminoles,ACC,7-6,13.3,20,--,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
NC State Wolfpack,ACC,9-4,13.1,21,1,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Louisville Cardinals,ACC,8-5,13.0,22,4,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Iowa Hawkeyes,Big Ten,8-5,11.6,23,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Michigan Wolverines,Big Ten,8-5,11.2,24,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas Longhorns,Big 12,7-6,10.6,25,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Iowa State Cyclones,Big 12,8-5,10.0,26,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Northwestern Wildcats,Big Ten,10-3,9.9,27,1,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Oregon Ducks,Pac-12,7-6,9.4,28,3,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Kansas State Wildcats,Big 12,8-5,8.9,29,3,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Memphis Tigers,American,10-3,8.9,30,1,10.0-3.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Wake Forest Demon Deacons,ACC,8-5,8.9,31,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Michigan State Spartans,Big Ten,10-3,8.0,32,5,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Georgia Tech Yellow Jackets,ACC,5-6,7.6,33,--,5.0-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Carolina Gamecocks,SEC,9-4,7.4,34,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Boston College Eagles,ACC,7-6,7.2,35,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Washington State Cougars,Pac-12,9-4,7.1,36,5,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Duke Blue Devils,ACC,7-6,6.6,37,3,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Utah Utes,Pac-12,7-6,6.3,38,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Missouri Tigers,SEC,7-6,5.9,39,4,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas A&M Aggies,SEC,7-6,5.9,40,4,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Boise State Broncos,Mountain West,11-3,5.7,41,4,11.0-3.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Texas Tech Red Raiders,Big 12,6-7,5.6,42,1,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arizona Wildcats,Pac-12,7-6,5.3,43,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
South Florida Bulls,American,10-2,5.0,44,3,10.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UCLA Bruins,Pac-12,6-7,4.8,45,7,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
West Virginia Mountaineers,Big 12,7-6,4.7,46,4,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arizona State Sun Devils,Pac-12,7-6,4.1,47,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Purdue Boilermakers,Big Ten,7-6,3.9,48,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Indiana Hoosiers,Big Ten,5-7,3.7,49,--,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida Gators,SEC,4-7,3.6,50,1,4.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Diego State Aztecs,Mountain West,10-3,2.6,51,1,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Florida Atlantic Owls,C-USA,11-3,2.2,52,9,11.0-3.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Ole Miss Rebels,SEC,6-6,2.1,53,2,6.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Navy Midshipmen,American,7-6,2.1,54,9,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
California Golden Bears,Pac-12,5-7,2.0,55,2,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Houston Cougars,American,7-5,1.9,56,2,7.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Pittsburgh Panthers,ACC,5-7,1.8,57,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kentucky Wildcats,SEC,7-6,1.4,58,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Toledo Rockets,MAC,11-3,1.2,59,11,11.0-3.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Fresno State Bulldogs,Mountain West,10-4,1.1,60,--,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Ohio Bobcats,MAC,9-4,1.1,61,1,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
North Carolina Tar Heels,ACC,3-9,0.9,62,5,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appalachian State Mountaineers,Sun Belt,9-4,0.9,63,6,9.0-4.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Syracuse Orange,ACC,4-8,0.7,64,6,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Army Black Knights,FBS Indep.,10-3,0.7,65,1,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Minnesota Golden Gophers,Big Ten,5-7,-0.2,66,--,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado Buffaloes,Pac-12,5-7,-0.5,67,2,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
