team,conference,w-l,fpi,fpi_rank,fpi_trend,proj_w-l,win_out_perc,six_win_perc,win_div_perc,win_conf_perc,playoff_perc,nc_perc,win_nc
Florida State Seminoles,ACC,14-0,33.2,1,--,14.0-0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Alabama Crimson Tide,SEC,11-2,28.9,2,--,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Oregon Ducks,Pac-12,11-2,27.2,3,1,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Baylor Bears,Big 12,11-2,25.5,4,1,11.0-2.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Stanford Cardinal,Pac-12,11-3,23.5,5,--,11.0-3.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Oklahoma State Cowboys,Big 12,10-3,22.4,6,1,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ohio State Buckeyes,Big Ten,12-2,22.1,7,1,12.0-2.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Arizona State Sun Devils,Pac-12,10-4,21.9,8,2,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Missouri Tigers,SEC,12-2,21.2,9,--,12.0-2.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
South Carolina Gamecocks,SEC,11-2,20.7,10,--,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Clemson Tigers,ACC,11-2,20.0,11,--,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Auburn Tigers,SEC,12-2,19.9,12,3,12.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Washington Huskies,Pac-12,9-4,19.8,13,1,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UCLA Bruins,Pac-12,10-3,19.7,14,4,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
LSU Tigers,SEC,10-3,19.4,15,1,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas A&M Aggies,SEC,9-4,18.8,16,3,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Wisconsin Badgers,Big Ten,9-4,18.5,17,1,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Georgia Bulldogs,SEC,8-5,18.4,18,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Oklahoma Sooners,Big 12,11-2,18.3,19,--,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Michigan State Spartans,Big Ten,13-1,17.0,20,--,13.0-1.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Louisville Cardinals,American,12-1,16.1,21,2,12.0-1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
USC Trojans,Pac-12,10-4,15.7,22,--,10.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas Longhorns,Big 12,8-5,14.8,23,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Kansas State Wildcats,Big 12,8-5,14.3,24,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ole Miss Rebels,SEC,8-5,14.1,25,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arizona Wildcats,Pac-12,8-5,13.2,26,3,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Oregon State Beavers,Pac-12,7-6,12.8,27,5,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Notre Dame Fighting Irish,FBS Indep.,9-4,12.6,50,1,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Georgia Tech Yellow Jackets,ACC,7-6,12.4,29,3,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
BYU Cougars,FBS Indep.,8-5,11.9,30,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Mississippi State Bulldogs,SEC,7-6,11.8,31,4,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
North Carolina Tar Heels,ACC,7-6,11.2,32,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Michigan Wolverines,Big Ten,7-6,11.2,33,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UCF Knights,American,12-1,10.8,34,5,12.0-1.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Miami Hurricanes,ACC,9-4,10.8,35,5,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Florida Gators,SEC,4-8,9.8,36,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nebraska Cornhuskers,Big Ten,9-4,9.7,37,7,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Utah State Aggies,Mountain West,9-5,9.6,38,1,9.0-5.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Texas Tech Red Raiders,Big 12,8-5,9.5,39,7,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Utah Utes,Pac-12,5-7,9.4,40,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa Hawkeyes,Big Ten,8-5,8.9,41,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Virginia Tech Hokies,ACC,8-5,8.8,42,8,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Boise State Broncos,Mountain West,8-5,8.8,43,5,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
TCU Horned Frogs,Big 12,4-8,8.7,44,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bowling Green Falcons,MAC,10-4,8.6,45,5,10.0-4.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Fresno State Bulldogs,Mountain West,11-2,8.1,46,4,11.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Marshall Thundering Herd,C-USA,10-4,7.7,47,--,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Duke Blue Devils,ACC,10-4,6.5,48,4,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
East Carolina Pirates,C-USA,10-3,6.5,49,--,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Houston Cougars,American,8-5,6.4,50,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Vanderbilt Commodores,SEC,9-4,5.7,51,5,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Cincinnati Bearcats,American,9-4,5.7,52,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Northern Illinois Huskies,MAC,12-2,5.5,53,2,12.0-2.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Pittsburgh Panthers,ACC,7-6,5.3,54,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Penn State Nittany Lions,Big Ten,7-5,5.2,55,2,7.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Washington State Cougars,Pac-12,6-7,4.8,56,2,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Indiana Hoosiers,Big Ten,5-7,4.6,57,--,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northwestern Wildcats,Big Ten,5-7,4.0,58,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee Volunteers,SEC,5-7,4.0,59,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota Golden Gophers,Big Ten,8-5,3.7,60,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Navy Midshipmen,FBS Indep.,9-4,3.6,61,1,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
North Texas Mean Green,C-USA,9-4,2.8,62,1,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Boston College Eagles,ACC,7-6,2.5,63,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ball State Cardinals,MAC,10-3,1.4,64,--,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Toledo Rockets,MAC,7-5,1.3,65,1,7.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Colorado State Rams,Mountain West,8-6,0.7,66,2,8.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Maryland Terrapins,ACC,7-6,0.3,67,--,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Rice Owls,C-USA,10-4,0.0,68,3,10.0-4.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
West Virginia Mountaineers,Big 12,4-8,-0.1,69,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syracuse Orange,ACC,7-6,-0.5,70,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arkansas Razorbacks,SEC,3-9,-0.7,71,--,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana Ragin' Cajuns,Sun Belt,9-4,-2.0,72,1,9.0-4.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Buffalo Bulls,MAC,8-5,-2.2,73,3,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Iowa State Cyclones,Big 12,3-9,-2.7,74,--,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Illinois Fighting Illini,Big Ten,4-8,-2.9,75,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida Atlantic Owls,C-USA,6-6,-3.1,76,--,6.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
San Diego State Aztecs,Mountain West,8-5,-3.2,77,8,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
San Jose State Spartans,Mountain West,6-6,-3.5,78,--,6.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Wake Forest Demon Deacons,ACC,4-8,-3.5,79,2,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rutgers Scarlet Knights,American,6-7,-3.7,80,2,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Kentucky Wildcats,SEC,2-10,-3.7,81,1,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMU Mustangs,American,5-7,-3.9,82,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Kentucky Hilltoppers,Sun Belt,8-4,-4.1,83,--,8.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
