team,conference,w-l,fpi,fpi_rank,fpi_trend,proj_w-l,win_out_perc,six_win_perc,win_div_perc,win_conf_perc,playoff_perc,nc_perc,win_nc
Middle Tennessee Blue Raiders,C-USA,8-5,-4.3,84,5,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UT San Antonio Roadrunners,C-USA,7-5,-4.8,85,1,7.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arkansas State Red Wolves,Sun Belt,8-5,-5.2,86,4,8.0-5.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
UNLV Rebels,Mountain West,7-6,-5.3,87,3,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
NC State Wolfpack,ACC,3-9,-5.5,88,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Alabama Jaguars,Sun Belt,6-6,-5.5,89,1,6.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Colorado Buffaloes,Pac-12,4-8,-5.7,90,2,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nevada Wolf Pack,Mountain West,4-8,-6.0,91,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia Cavaliers,ACC,2-10,-6.1,92,3,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulane Green Wave,C-USA,7-6,-6.5,93,--,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Temple Owls,American,2-10,-6.5,94,--,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Memphis Tigers,American,3-9,-6.8,95,--,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old Dominion Monarchs,FBS Indep.,8-4,-7.7,96,--,8.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
California Golden Bears,Pac-12,1-11,-7.9,97,2,1.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio Bobcats,MAC,7-6,-8.0,98,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Connecticut Huskies,American,3-9,-8.1,99,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent State Golden Flashes,MAC,4-8,-9.1,100,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawai'i Rainbow Warriors,Mountain West,1-11,-9.2,101,--,1.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy Trojans,Sun Belt,6-6,-10.0,102,3,6.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Tulsa Golden Hurricane,C-USA,3-9,-10.1,103,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kansas Jayhawks,Big 12,3-9,-10.1,104,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wyoming Cowboys,Mountain West,5-7,-10.2,105,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana Monroe Warhawks,Sun Belt,6-6,-10.5,106,--,6.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
South Florida Bulls,American,2-10,-11.5,107,--,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akron Zips,MAC,5-7,-12.1,108,--,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Michigan Chippewas,MAC,6-6,-12.6,109,--,6.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
New Mexico Lobos,Mountain West,3-9,-13.0,110,--,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purdue Boilermakers,Big Ten,1-11,-13.5,111,--,1.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas State Bobcats,Sun Belt,6-6,-13.7,112,--,6.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Army Black Knights,FBS Indep.,3-9,-14.1,113,--,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana Tech Bulldogs,C-USA,4-8,-16.7,114,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Air Force Falcons,Mountain West,2-10,-16.7,115,--,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UAB Blazers,C-USA,2-10,-17.2,116,--,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Michigan Broncos,MAC,1-11,-19.3,117,--,1.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTEP Miners,C-USA,2-10,-21.5,118,--,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia State Panthers,Sun Belt,0-12,-23.1,119,1,0.0-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UMass Minutemen,MAC,1-11,-23.2,120,1,1.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Mississippi Golden Eagles,C-USA,1-11,-23.7,121,--,1.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico State Aggies,FBS Indep.,2-10,-25.5,122,--,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eastern Michigan Eagles,MAC,2-10,-26.1,123,--,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miami (OH) RedHawks,MAC,0-12,-26.4,124,--,0.0-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho Vandals,FBS Indep.,1-11,-26.6,125,--,1.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida Intl Golden Panthers,C-USA,1-11,-27.5,126,--,1.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
