team,conference,w-l,fpi,fpi_rank,fpi_trend,proj_w-l,win_out_perc,six_win_perc,win_div_perc,win_conf_perc,playoff_perc,nc_perc,win_nc
Georgia Tech Yellow Jackets,ACC,7-7,7.4,43,8,7.0-7.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Miami Hurricanes,ACC,7-5,7.0,44,1,7.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Syracuse Orange,Big East,8-5,7.0,45,8,8.0-5.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Arizona Wildcats,Pac-12,8-5,6.9,46,3,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Utah Utes,Pac-12,5-7,6.6,47,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia Tech Hokies,ACC,7-6,6.5,48,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Louisiana Tech Bulldogs,WAC,9-3,6.5,49,1,9.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Louisville Cardinals,Big East,11-2,6.1,50,6,11.0-2.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Fresno State Bulldogs,Mountain West,9-4,5.8,51,10,9.0-4.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Tulsa Golden Hurricane,C-USA,11-3,5.5,52,5,11.0-3.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Pittsburgh Panthers,Big East,6-7,5.4,53,6,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Washington Huskies,Pac-12,7-6,5.4,54,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Iowa State Cyclones,Big 12,6-7,5.2,55,7,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
San Jose State Spartans,WAC,11-2,5.1,56,1,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Rutgers Scarlet Knights,Big East,9-4,5.1,57,3,9.0-4.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
NC State Wolfpack,ACC,7-6,3.5,58,--,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arkansas Razorbacks,SEC,4-8,3.1,59,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas State Red Wolves,Sun Belt,10-3,2.6,60,2,10.0-3.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
San Diego State Aztecs,Mountain West,9-4,2.2,61,2,9.0-4.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
California Golden Bears,Pac-12,3-9,1.8,62,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent State Golden Flashes,MAC,11-3,1.2,63,1,11.0-3.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Purdue Boilermakers,Big Ten,6-7,1.1,64,3,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Iowa Hawkeyes,Big Ten,4-8,1.1,65,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana Ragin' Cajuns,Sun Belt,9-4,0.4,66,1,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Auburn Tigers,SEC,3-9,0.3,67,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Florida Bulls,Big East,3-9,-0.2,68,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMU Mustangs,C-USA,7-6,-0.9,69,9,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Minnesota Golden Gophers,Big Ten,6-7,-1.2,70,2,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ball State Cardinals,MAC,9-4,-1.2,71,1,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Nevada Wolf Pack,Mountain West,7-6,-1.3,72,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Duke Blue Devils,ACC,6-7,-1.7,73,--,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Connecticut Huskies,Big East,5-7,-2.0,74,2,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia Cavaliers,ACC,4-8,-2.0,75,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana Monroe Warhawks,Sun Belt,8-5,-2.1,76,8,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Boston College Eagles,ACC,2-10,-2.6,77,--,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toledo Rockets,MAC,9-4,-3.0,78,4,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ohio Bobcats,MAC,9-4,-3.0,79,7,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Bowling Green Falcons,MAC,8-5,-3.1,80,--,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Maryland Terrapins,ACC,4-8,-3.2,81,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Kentucky Hilltoppers,Sun Belt,7-6,-3.8,82,3,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Indiana Hoosiers,Big Ten,4-8,-4.1,83,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Carolina Pirates,C-USA,8-5,-4.2,84,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Kentucky Wildcats,SEC,2-10,-4.6,85,--,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temple Owls,Big East,4-7,-4.9,86,1,4.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Houston Cougars,C-USA,5-7,-5.0,87,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navy Midshipmen,FBS Indep.,8-5,-5.0,88,4,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Rice Owls,C-USA,7-6,-5.1,89,3,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Troy Trojans,Sun Belt,5-7,-5.4,90,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Michigan Broncos,MAC,4-8,-5.8,91,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington State Cougars,Pac-12,3-9,-6.2,92,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marshall Thundering Herd,C-USA,5-7,-6.5,93,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kansas Jayhawks,Big 12,1-11,-6.8,94,1,1.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wake Forest Demon Deacons,ACC,5-7,-7.6,95,--,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida Intl Golden Panthers,Sun Belt,3-9,-8.0,96,--,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Middle Tennessee Blue Raiders,Sun Belt,8-4,-8.2,97,--,8.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Illinois Fighting Illini,Big Ten,2-10,-8.6,98,--,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTEP Miners,C-USA,3-9,-9.4,99,2,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wyoming Cowboys,Mountain West,4-8,-9.9,100,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Air Force Falcons,Mountain West,6-7,-10.1,101,2,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Central Michigan Chippewas,MAC,7-6,-10.3,102,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
North Texas Mean Green,Sun Belt,4-8,-10.4,103,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buffalo Bulls,MAC,4-8,-10.6,104,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas State Bobcats,WAC,4-8,-11.4,105,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Army Black Knights,FBS Indep.,2-10,-11.6,106,1,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miami (OH) RedHawks,MAC,4-8,-11.6,107,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico Lobos,Mountain West,4-9,-12.5,108,--,4.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Memphis Tigers,C-USA,4-8,-13.2,109,2,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida Atlantic Owls,Sun Belt,3-9,-13.6,110,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado State Rams,Mountain West,4-8,-13.7,111,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UAB Blazers,C-USA,3-9,-13.9,112,--,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT San Antonio Roadrunners,WAC,8-4,-13.9,113,--,8.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UNLV Rebels,Mountain West,2-11,-14.5,114,--,2.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Mississippi Golden Eagles,C-USA,0-12,-15.5,115,--,0.0-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akron Zips,MAC,1-11,-15.7,116,--,1.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eastern Michigan Eagles,MAC,2-10,-16.5,117,--,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Alabama Jaguars,Sun Belt,2-11,-16.9,118,--,2.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawai'i Rainbow Warriors,Mountain West,3-9,-17.7,119,--,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulane Green Wave,C-USA,2-10,-18.1,120,1,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado Buffaloes,Pac-12,1-11,-18.6,121,1,1.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico State Aggies,WAC,1-11,-23.9,122,--,1.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho Vandals,WAC,1-11,-24.4,123,--,1.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UMass Minutemen,MAC,1-11,-25.6,124,--,1.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
