team,conference,w-l,fpi,fpi_rank,fpi_trend,proj_w-l,win_out_perc,six_win_perc,win_div_perc,win_conf_perc,playoff_perc,nc_perc,win_nc
Alabama Crimson Tide,SEC,13-1,30.6,1,--,13.0-1.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Oregon Ducks,Pac-12,12-1,25.0,2,--,12.0-1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas A&M Aggies,SEC,11-2,24.2,3,1,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Georgia Bulldogs,SEC,12-2,22.7,4,3,12.0-2.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Florida State Seminoles,ACC,12-2,22.7,5,1,12.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Oklahoma Sooners,Big 12,10-3,21.7,6,3,10.0-3.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Notre Dame Fighting Irish,FBS Indep.,12-1,20.8,50,2,12.0-1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Oklahoma State Cowboys,Big 12,8-5,20.6,8,3,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Kansas State Wildcats,Big 12,11-2,20.3,9,1,11.0-2.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
LSU Tigers,SEC,10-3,19.3,10,--,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
South Carolina Gamecocks,SEC,11-2,19.2,11,1,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Florida Gators,SEC,11-2,19.0,12,3,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Stanford Cardinal,Pac-12,12-2,18.5,13,--,12.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Clemson Tigers,ACC,11-2,17.2,14,1,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
USC Trojans,Pac-12,7-6,16.1,15,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Michigan Wolverines,Big Ten,8-5,15.9,16,--,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ohio State Buckeyes,Big Ten,12-0,15.8,17,--,12.0-0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas Longhorns,Big 12,9-4,15.6,18,--,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Baylor Bears,Big 12,8-5,15.1,19,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Oregon State Beavers,Pac-12,9-4,14.7,20,1,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Wisconsin Badgers,Big Ten,8-6,14.0,21,--,8.0-6.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Arizona State Sun Devils,Pac-12,8-5,13.0,22,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UCLA Bruins,Pac-12,9-5,12.4,23,1,9.0-5.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Nebraska Cornhuskers,Big Ten,10-4,12.2,24,1,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
TCU Horned Frogs,Big 12,7-6,11.1,25,--,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Vanderbilt Commodores,SEC,9-4,11.1,26,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
BYU Cougars,FBS Indep.,8-5,10.9,27,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
North Carolina Tar Heels,ACC,8-4,10.6,28,1,8.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ole Miss Rebels,SEC,7-6,10.4,29,6,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas Tech Red Raiders,Big 12,8-5,10.3,30,3,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Penn State Nittany Lions,Big Ten,8-4,9.5,31,--,8.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Utah State Aggies,WAC,11-2,9.5,32,6,11.0-2.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Michigan State Spartans,Big Ten,7-6,9.3,33,--,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UCF Knights,C-USA,10-4,9.2,34,6,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Tennessee Volunteers,SEC,5-7,8.9,35,2,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cincinnati Bearcats,Big East,10-3,8.9,36,3,10.0-3.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Boise State Broncos,Mountain West,11-2,8.7,37,1,11.0-2.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Northern Illinois Huskies,MAC,12-2,8.7,38,6,12.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Missouri Tigers,SEC,5-7,8.4,39,3,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mississippi State Bulldogs,SEC,8-5,8.3,40,6,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Northwestern Wildcats,Big Ten,10-3,8.0,41,3,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
West Virginia Mountaineers,Big 12,7-6,7.9,42,12,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
