team,conference,w-l,fpi,fpi_rank,fpi_trend,proj_w-l,win_out_perc,six_win_perc,win_div_perc,win_conf_perc,playoff_perc,nc_perc,win_nc
Clemson Tigers,ACC,15-0,32.7,1,1,15.0-0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
Alabama Crimson Tide,SEC,14-1,30.1,2,1,14.0-1.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0
Georgia Bulldogs,SEC,11-3,24.9,3,--,11.0-3.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Ohio State Buckeyes,Big Ten,13-1,21.6,4,1,13.0-1.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Oklahoma Sooners,Big 12,12-2,21.3,5,1,12.0-2.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0
Michigan Wolverines,Big Ten,10-3,20.1,6,2,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Notre Dame Fighting Irish,FBS Indep.,12-1,19.3,50,--,12.0-1.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
Penn State Nittany Lions,Big Ten,9-4,18.5,8,--,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Mississippi State Bulldogs,SEC,8-5,18.4,9,--,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Washington Huskies,Pac-12,10-4,17.3,10,--,10.0-4.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Florida Gators,SEC,10-3,17.1,11,2,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Auburn Tigers,SEC,8-5,16.0,12,8,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas A&M Aggies,SEC,9-4,15.9,13,5,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Missouri Tigers,SEC,8-5,15.3,14,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
West Virginia Mountaineers,Big 12,8-4,15.1,15,4,8.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Iowa Hawkeyes,Big Ten,9-4,15.1,16,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
LSU Tigers,SEC,10-3,14.9,17,1,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Washington State Cougars,Pac-12,11-2,13.6,18,1,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas Longhorns,Big 12,10-4,13.5,19,3,10.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Utah Utes,Pac-12,9-5,13.3,20,5,9.0-5.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Stanford Cardinal,Pac-12,9-4,13.0,21,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Fresno State Bulldogs,Mountain West,12-2,12.4,22,2,12.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Utah State Aggies,Mountain West,11-2,11.8,23,7,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Wisconsin Badgers,Big Ten,8-5,11.8,24,8,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UCF Knights,American,12-1,11.5,25,2,12.0-1.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Kentucky Wildcats,SEC,10-3,11.4,26,--,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Miami Hurricanes,ACC,7-6,11.2,27,6,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Syracuse Orange,ACC,10-3,10.8,28,5,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Boise State Broncos,Mountain West,10-3,10.4,29,2,10.0-3.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Oklahoma State Cowboys,Big 12,7-6,10.3,30,4,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Oregon Ducks,Pac-12,9-4,9.9,31,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Michigan State Spartans,Big Ten,7-6,9.8,32,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
NC State Wolfpack,ACC,9-4,9.7,33,8,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas Tech Red Raiders,Big 12,5-7,9.1,34,2,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Carolina Gamecocks,SEC,7-6,8.3,35,7,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Boston College Eagles,ACC,7-5,7.9,36,2,7.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Northwestern Wildcats,Big Ten,9-5,7.7,37,4,9.0-5.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Iowa State Cyclones,Big 12,8-5,7.5,38,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Georgia Tech Yellow Jackets,ACC,7-6,6.9,39,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Purdue Boilermakers,Big Ten,6-7,6.9,40,5,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arizona State Sun Devils,Pac-12,7-6,6.7,41,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Virginia Cavaliers,ACC,8-5,6.4,42,5,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
