team,conference,w-l,fpi,fpi_rank,fpi_trend,proj_w-l,win_out_perc,six_win_perc,win_div_perc,win_conf_perc,playoff_perc,nc_perc,win_nc
Oregon Ducks,Pac-12,13-2,28.3,1,--,13.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Alabama Crimson Tide,SEC,12-2,26.8,2,--,12.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
TCU Horned Frogs,Big 12,12-1,26.1,3,--,12.0-1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ohio State Buckeyes,Big Ten,14-1,25.7,4,1,14.0-1.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Georgia Bulldogs,SEC,10-3,24.3,5,1,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Baylor Bears,Big 12,11-2,23.9,6,2,11.0-2.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Michigan State Spartans,Big Ten,11-2,23.1,7,2,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Auburn Tigers,SEC,8-5,21.9,8,--,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ole Miss Rebels,SEC,9-4,20.5,9,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Mississippi State Bulldogs,SEC,10-3,20.1,10,--,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UCLA Bruins,Pac-12,10-3,19.2,11,4,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Stanford Cardinal,Pac-12,8-5,19.2,12,4,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
USC Trojans,Pac-12,9-4,19.2,13,1,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Florida State Seminoles,ACC,13-1,19.0,14,2,13.0-1.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
LSU Tigers,SEC,8-5,19.0,15,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Oklahoma Sooners,Big 12,8-5,18.9,16,5,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arkansas Razorbacks,SEC,7-6,17.5,17,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Kansas State Wildcats,Big 12,9-4,17.3,18,1,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Wisconsin Badgers,Big Ten,11-3,17.1,19,--,11.0-3.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Clemson Tigers,ACC,10-3,16.5,20,2,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Georgia Tech Yellow Jackets,ACC,11-3,16.0,21,--,11.0-3.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Florida Gators,SEC,7-5,15.7,22,2,7.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas A&M Aggies,SEC,8-5,15.0,23,--,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arizona State Sun Devils,Pac-12,10-3,14.2,24,1,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arizona Wildcats,Pac-12,10-4,14.1,25,1,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Missouri Tigers,SEC,11-3,13.7,26,1,11.0-3.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Utah Utes,Pac-12,9-4,13.5,27,3,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Nebraska Cornhuskers,Big Ten,9-4,13.2,28,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Marshall Thundering Herd,C-USA,13-1,13.0,29,--,13.0-1.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Notre Dame Fighting Irish,FBS Indep.,8-5,12.6,50,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Tennessee Volunteers,SEC,7-6,12.3,31,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
West Virginia Mountaineers,Big 12,7-6,12.1,32,4,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
South Carolina Gamecocks,SEC,7-6,11.4,33,3,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Washington Huskies,Pac-12,8-6,11.3,34,3,8.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Louisville Cardinals,ACC,9-4,11.0,35,1,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Miami Hurricanes,ACC,6-7,10.8,36,1,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Boise State Broncos,Mountain West,12-2,10.7,37,--,12.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Texas Longhorns,Big 12,6-7,8.8,38,--,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Minnesota Golden Gophers,Big Ten,8-5,8.3,39,--,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Memphis Tigers,American,10-3,7.9,40,1,10.0-3.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Virginia Tech Hokies,ACC,7-6,7.9,41,5,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Duke Blue Devils,ACC,9-4,7.7,42,--,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
BYU Cougars,FBS Indep.,8-5,7.5,43,3,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Michigan Wolverines,Big Ten,5-7,7.2,44,4,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pittsburgh Panthers,ACC,6-7,7.2,45,2,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Virginia Cavaliers,ACC,5-7,6.9,46,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California Golden Bears,Pac-12,5-7,6.5,47,2,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oklahoma State Cowboys,Big 12,7-6,6.5,48,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Iowa Hawkeyes,Big Ten,7-6,6.4,49,5,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Cincinnati Bearcats,American,9-4,6.3,50,3,9.0-4.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Boston College Eagles,ACC,7-6,6.0,51,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Maryland Terrapins,Big Ten,7-6,5.8,52,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Louisiana Tech Bulldogs,C-USA,9-5,5.0,53,3,9.0-5.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Houston Cougars,American,8-5,4.9,54,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UCF Knights,American,9-4,4.7,55,1,9.0-4.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Penn State Nittany Lions,Big Ten,7-6,4.6,56,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
North Carolina Tar Heels,ACC,6-7,4.4,57,4,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
NC State Wolfpack,ACC,8-5,3.9,58,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
East Carolina Pirates,American,8-5,3.8,59,--,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Kentucky Wildcats,SEC,5-7,3.3,60,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oregon State Beavers,Pac-12,5-7,3.2,61,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington State Cougars,Pac-12,3-9,2.8,62,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado State Rams,Mountain West,10-3,2.4,63,5,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas Tech Red Raiders,Big 12,4-8,2.1,64,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utah State Aggies,Mountain West,10-4,1.9,65,1,10.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Northwestern Wildcats,Big Ten,5-7,1.8,66,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rutgers Scarlet Knights,Big Ten,8-5,1.5,67,5,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Toledo Rockets,MAC,9-4,1.1,68,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Navy Midshipmen,FBS Indep.,8-5,0.6,69,--,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Northern Illinois Huskies,MAC,11-3,0.2,70,3,11.0-3.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Georgia Southern Eagles,Sun Belt,9-3,0.1,71,--,9.0-3.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Nevada Wolf Pack,Mountain West,7-6,-0.3,72,4,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Syracuse Orange,ACC,3-9,-0.8,73,--,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana Hoosiers,Big Ten,4-8,-0.8,74,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado Buffaloes,Pac-12,2-10,-1.0,75,1,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temple Owls,American,6-6,-1.4,76,1,6.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
San Diego State Aztecs,Mountain West,7-6,-2.0,77,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Western Michigan Broncos,MAC,8-5,-2.2,78,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Illinois Fighting Illini,Big Ten,6-7,-2.5,79,1,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Louisiana Ragin' Cajuns,Sun Belt,9-4,-2.6,80,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Air Force Falcons,Mountain West,10-3,-2.6,81,2,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arkansas State Red Wolves,Sun Belt,7-6,-2.7,82,4,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Western Kentucky Hilltoppers,C-USA,8-5,-3.0,83,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Rice Owls,C-USA,8-5,-3.2,84,3,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Iowa State Cyclones,Big 12,2-10,-3.9,85,1,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purdue Boilermakers,Big Ten,3-9,-4.0,86,--,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Michigan Chippewas,MAC,7-6,-5.0,87,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Fresno State Bulldogs,Mountain West,6-8,-5.3,88,3,6.0-8.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Appalachian State Mountaineers,Sun Belt,7-5,-5.6,89,--,7.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UAB Blazers,C-USA,6-6,-6.1,90,--,6.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Kansas Jayhawks,Big 12,3-9,-6.5,91,--,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Middle Tennessee Blue Raiders,C-USA,6-6,-6.9,92,--,6.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas State Bobcats,Sun Belt,7-5,-8.2,93,--,7.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Vanderbilt Commodores,SEC,3-9,-8.2,94,--,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball State Cardinals,MAC,5-7,-8.4,95,--,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawai'i Rainbow Warriors,Mountain West,4-9,-9.1,96,--,4.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTEP Miners,C-USA,7-6,-9.2,97,--,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
South Alabama Jaguars,Sun Belt,6-7,-9.4,98,--,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Bowling Green Falcons,MAC,8-6,-9.4,99,2,8.0-6.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Tulane Green Wave,American,3-9,-9.7,100,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana Monroe Warhawks,Sun Belt,4-8,-9.9,101,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Florida Bulls,American,4-8,-10.1,102,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT San Antonio Roadrunners,C-USA,4-8,-10.4,103,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wake Forest Demon Deacons,ACC,3-9,-10.4,104,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akron Zips,MAC,5-7,-10.7,105,--,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio Bobcats,MAC,6-6,-10.8,106,--,6.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Buffalo Bulls,MAC,5-6,-10.9,107,--,5.0-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old Dominion Monarchs,C-USA,6-6,-11.4,108,2,6.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Wyoming Cowboys,Mountain West,4-8,-11.5,109,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Jose State Spartans,Mountain West,3-9,-11.7,110,2,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
