team,conference,w-l,fpi,fpi_rank,fpi_trend,proj_w-l,win_out_perc,six_win_perc,win_div_perc,win_conf_perc,playoff_perc,nc_perc,win_nc
Ohio State Buckeyes,Big Ten,13-1,33.7,1,--,13.0-1.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0
Clemson Tigers,ACC,14-1,31.5,2,--,14.0-1.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0
LSU Tigers,SEC,15-0,30.3,3,--,15.0-0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
Alabama Crimson Tide,SEC,11-2,29.4,4,--,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Georgia Bulldogs,SEC,12-2,24.0,5,--,12.0-2.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Oregon Ducks,Pac-12,12-2,21.7,6,--,12.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Penn State Nittany Lions,Big Ten,11-2,21.5,7,--,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Wisconsin Badgers,Big Ten,10-4,21.3,8,--,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Florida Gators,SEC,11-2,21.3,9,--,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Auburn Tigers,SEC,9-4,21.3,10,--,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Notre Dame Fighting Irish,FBS Indep.,11-2,20.9,50,--,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Michigan Wolverines,Big Ten,9-4,20.0,12,--,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Oklahoma Sooners,Big 12,12-2,19.9,13,--,12.0-2.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0
Utah Utes,Pac-12,11-3,17.6,14,--,11.0-3.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Iowa Hawkeyes,Big Ten,10-3,14.9,15,--,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Washington Huskies,Pac-12,8-5,14.5,16,--,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Baylor Bears,Big 12,11-3,14.1,17,--,11.0-3.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Minnesota Golden Gophers,Big Ten,11-2,13.8,18,--,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
