team,conference,w-l,fpi,fpi_rank,fpi_trend,proj_w-l,win_out_perc,six_win_perc,win_div_perc,win_conf_perc,playoff_perc,nc_perc,win_nc
Georgia Bulldogs,SEC,14-1,30.0,1,--,13.6-1.4,0.0,100.0,100.0,0.0,100.0,100.0,100.0
Alabama Crimson Tide,SEC,13-2,25.4,2,--,13.4-1.6,0.0,100.0,100.0,100.0,100.0,100.0,0.0
Ohio State Buckeyes,Big Ten,11-2,24.0,3,--,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Michigan Wolverines,Big Ten,12-2,20.7,4,--,12.0-2.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0
Oklahoma Sooners,Big 12,11-2,17.6,5,1,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Notre Dame Fighting Irish,FBS Indep.,11-2,16.7,6,1,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Oklahoma State Cowboys,Big 12,12-2,16.2,7,1,12.0-2.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Clemson Tigers,ACC,10-3,15.8,8,3,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Iowa State Cyclones,Big 12,7-6,15.3,9,--,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Cincinnati Bearcats,American,13-1,15.3,10,3,13.0-1.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0
Utah Utes,Pac-12,10-4,14.5,11,1,10.0-4.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Pittsburgh Panthers,ACC,11-3,14.2,12,2,11.0-3.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Wisconsin Badgers,Big Ten,9-4,13.3,13,--,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas A&M Aggies,SEC,8-4,12.5,14,1,8.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Baylor Bears,Big 12,12-2,12.4,15,3,12.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
NC State Wolfpack,ACC,9-3,12.1,16,--,9.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Penn State Nittany Lions,Big Ten,7-6,11.8,17,3,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ole Miss Rebels,SEC,10-3,11.0,18,1,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Michigan State Spartans,Big Ten,11-2,10.8,19,2,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Auburn Tigers,SEC,6-7,9.9,20,1,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arkansas Razorbacks,SEC,9-4,9.8,21,7,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Wake Forest Demon Deacons,ACC,11-3,9.6,22,7,11.0-3.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Miami Hurricanes,ACC,7-5,9.5,23,3,7.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas Longhorns,Big 12,5-7,9.5,24,3,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purdue Boilermakers,Big Ten,9-4,9.4,25,--,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Tennessee Volunteers,SEC,7-6,9.3,26,4,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Minnesota Golden Gophers,Big Ten,9-4,9.1,27,6,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Kentucky Wildcats,SEC,10-3,8.8,28,2,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Nebraska Cornhuskers,Big Ten,3-9,8.5,29,5,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oregon Ducks,Pac-12,10-4,8.4,30,4,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
UCLA Bruins,Pac-12,8-4,8.4,31,--,8.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Iowa Hawkeyes,Big Ten,10-4,8.3,32,3,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Appalachian State Mountaineers,Sun Belt,10-4,7.9,33,9,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Florida Gators,SEC,6-7,7.6,34,2,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Kansas State Wildcats,Big 12,8-5,7.2,35,7,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Mississippi State Bulldogs,SEC,7-6,7.1,36,13,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Houston Cougars,American,12-2,6.9,37,4,12.0-2.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Boise State Broncos,Mountain West,7-5,6.5,38,2,7.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arizona State Sun Devils,Pac-12,8-5,6.4,39,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
BYU Cougars,FBS Indep.,10-3,5.9,40,1,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Western Kentucky Hilltoppers,C-USA,9-5,5.9,41,6,9.0-5.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
LSU Tigers,SEC,6-7,5.8,42,5,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
North Carolina Tar Heels,ACC,6-7,5.8,43,7,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
SMU Mustangs,American,8-4,5.1,44,2,8.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Coastal Carolina Chanticleers,Sun Belt,11-2,5.1,45,2,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Louisville Cardinals,ACC,6-7,4.9,46,1,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Virginia Cavaliers,ACC,6-6,4.8,47,3,6.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Louisiana Ragin' Cajuns,Sun Belt,13-1,4.8,48,3,13.0-1.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
West Virginia Mountaineers,Big 12,6-7,4.2,49,--,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas Tech Red Raiders,Big 12,7-6,4.0,50,9,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Florida State Seminoles,ACC,5-7,3.8,51,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oregon State Beavers,Pac-12,7-6,3.5,52,4,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Fresno State Bulldogs,Mountain West,10-3,2.8,53,2,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Washington State Cougars,Pac-12,7-6,2.7,54,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UCF Knights,American,9-4,2.3,55,7,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Liberty Flames,FBS Indep.,8-5,1.9,56,12,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UTSA Roadrunners,C-USA,12-2,1.8,57,1,12.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
