team,conference,w-l,fpi,fpi_rank,fpi_trend,proj_w-l,win_out_perc,six_win_perc,win_div_perc,win_conf_perc,playoff_perc,nc_perc,win_nc
Georgia Bulldogs,SEC,15-0,29.9,1,--,15.0-0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
Alabama Crimson Tide,SEC,11-2,27.3,2,--,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ohio State Buckeyes,Big Ten,11-2,25.8,3,--,11.0-2.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
Michigan Wolverines,Big Ten,13-1,23.6,4,--,13.0-1.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0
Tennessee Volunteers,SEC,11-2,22.7,5,--,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Penn State Nittany Lions,Big Ten,11-2,19.5,6,2,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas Longhorns,Big 12,8-5,19.4,7,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Utah Utes,Pac-12,10-4,19.1,8,1,10.0-4.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Clemson Tigers,ACC,11-3,17.6,9,--,11.0-3.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
LSU Tigers,SEC,10-4,17.4,10,3,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Florida State Seminoles,ACC,10-3,15.5,11,1,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Kansas State Wildcats,Big 12,10-4,14.8,12,1,10.0-4.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
TCU Horned Frogs,Big 12,13-2,14.4,13,3,13.0-2.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
Oregon Ducks,Pac-12,10-3,14.2,14,--,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Mississippi State Bulldogs,SEC,9-4,13.2,15,3,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
USC Trojans,Pac-12,11-3,13.2,16,1,11.0-3.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Notre Dame Fighting Irish,FBS Indep.,9-4,12.6,17,--,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ole Miss Rebels,SEC,8-5,12.3,18,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Oregon State Beavers,Pac-12,10-3,12.2,19,3,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Washington Huskies,Pac-12,11-2,11.5,20,3,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Minnesota Golden Gophers,Big Ten,9-4,11.4,21,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Louisville Cardinals,ACC,8-5,10.7,22,3,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Oklahoma Sooners,Big 12,6-7,10.0,23,1,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Illinois Fighting Illini,Big Ten,8-5,9.9,24,4,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Tulane Green Wave,American,12-2,9.5,25,1,12.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Baylor Bears,Big 12,6-7,9.0,26,5,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UCLA Bruins,Pac-12,9-4,8.6,27,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas Tech Red Raiders,Big 12,8-5,8.3,28,4,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Wisconsin Badgers,Big Ten,7-6,8.1,29,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Pittsburgh Panthers,ACC,9-4,7.9,30,3,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Maryland Terrapins,Big Ten,8-5,7.8,31,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Wake Forest Demon Deacons,ACC,8-5,7.6,32,7,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Florida Gators,SEC,6-7,7.6,33,6,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Iowa Hawkeyes,Big Ten,8-5,7.4,34,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas A&M Aggies,SEC,5-7,7.2,35,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas Razorbacks,SEC,7-6,6.9,36,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UCF Knights,American,9-5,6.9,37,6,9.0-5.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Oklahoma State Cowboys,Big 12,7-6,6.7,38,3,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
NC State Wolfpack,ACC,8-5,6.5,39,4,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Cincinnati Bearcats,American,9-4,6.5,40,6,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Iowa State Cyclones,Big 12,4-8,6.3,41,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auburn Tigers,SEC,5-7,6.2,42,2,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Carolina Tar Heels,ACC,9-5,6.2,43,2,9.0-5.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Kentucky Wildcats,SEC,7-6,5.8,44,4,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Duke Blue Devils,ACC,9-4,5.3,45,7,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Michigan State Spartans,Big Ten,5-7,5.3,46,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syracuse Orange,ACC,7-6,5.1,47,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Western Kentucky Hilltoppers,C-USA,9-5,5.1,48,5,9.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
South Carolina Gamecocks,SEC,8-5,4.4,49,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Purdue Boilermakers,Big Ten,8-6,4.3,50,13,8.0-6.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Memphis Tigers,American,7-6,4.2,51,5,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
West Virginia Mountaineers,Big 12,5-7,4.1,52,3,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Houston Cougars,American,8-5,4.1,53,2,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Boise State Broncos,Mountain West,10-4,3.8,54,1,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Washington State Cougars,Pac-12,7-6,3.8,55,9,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Air Force Falcons,Mountain West,10-3,3.8,56,3,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Fresno State Bulldogs,Mountain West,10-4,3.7,57,5,10.0-4.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Kansas Jayhawks,Big 12,6-7,3.4,58,1,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UTSA Roadrunners,C-USA,11-3,3.3,59,5,11.0-3.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Missouri Tigers,SEC,6-7,2.6,60,2,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
James Madison Dukes,Sun Belt,8-3,2.4,61,--,8.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
SMU Mustangs,American,7-6,2.3,62,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Troy Trojans,Sun Belt,12-2,1.9,63,--,12.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
East Carolina Pirates,American,8-5,1.8,64,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
BYU Cougars,FBS Indep.,8-5,0.8,65,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Appalachian State Mountaineers,Sun Belt,6-6,0.4,66,1,6.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UAB Blazers,C-USA,7-6,0.2,67,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Marshall Thundering Herd,Sun Belt,9-4,-0.4,68,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Miami Hurricanes,ACC,5-7,-0.5,69,2,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nebraska Cornhuskers,Big Ten,4-8,-0.7,70,2,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California Golden Bears,Pac-12,4-8,-1.4,71,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
