Rk,Team,Rec,FBS,FEI,OFEI,Rk,DFEI,Rk,NDE,Rk,NPD,Rk,NAY,Rk,NPP,Rk,ELS,Rk,GLS,Rk,ALS,Rk
1,Alabama,12-2,11-2,1.21,1.51,4,1.22,4,1.61,5,1.51,5,.165,9,1.72,6,2.34,2,6.43,2,10.06,1
2,Oregon,13-2,12-2,1.14,1.91,1,.59,30,1.85,3,1.81,3,.185,7,1.61,9,1.46,16,4.84,9,9.41,4
3,Ohio State,14-1,14-1,1.14,1.52,3,.95,13,1.85,2,1.85,2,.274,1,2.10,3,1.72,10,4.73,13,9.31,6
4,Georgia,10-3,9-3,1.05,1.41,5,.68,23,1.35,7,1.31,7,.208,4,1.72,5,1.45,17,4.84,10,8.56,14
5,TCU,12-1,11-1,1.03,.91,12,1.18,6,1.69,4,1.72,4,.233,2,1.84,4,1.07,41,3.70,35,7.26,44
6,Ole Miss,9-4,8-4,.89,.29,43,1.60,1,.74,23,.68,24,.081,26,1.32,14,2.31,4,5.92,3,9.35,5
7,Arkansas,7-6,6-6,.88,.77,16,1.09,9,.76,22,.65,25,.110,19,.16,57,2.32,3,5.80,4,9.23,7
8,Auburn,8-5,7-5,.88,1.40,6,.46,37,.59,29,.55,32,.070,31,.36,45,2.67,1,6.80,1,10.04,2
9,Mississippi State,10-3,9-3,.84,.75,18,.95,14,1.04,11,1.05,10,.136,13,.93,22,2.03,7,5.05,7,8.02,23
10,Michigan State,11-2,10-2,.82,.93,9,.63,24,1.25,8,1.24,8,.192,6,1.01,19,1.47,15,3.65,39,6.71,56
11,Georgia Tech,11-3,10-3,.79,1.52,2,.04,58,1.02,12,.92,14,.070,32,.28,53,1.16,32,4.18,21,8.63,11
12,Baylor,11-2,10-2,.76,1.23,7,.40,43,1.40,6,1.42,6,.195,5,.84,25,1.16,33,3.49,45,6.61,58
13,Kansas State,9-4,8-4,.71,1.02,8,.37,45,.85,20,.92,16,.108,20,.96,20,1.33,24,4.04,26,7.64,30
14,Wisconsin,11-3,10-3,.67,.75,17,.71,21,1.14,10,1.13,9,.183,8,2.13,2,1.25,27,3.75,32,7.54,33
15,LSU,8-5,7-5,.63,.19,48,1.05,11,.32,46,.31,43,.052,40,.35,46,2.20,6,5.70,5,8.81,10
16,USC,9-4,9-4,.62,.81,15,.50,35,.91,17,.90,18,.060,37,.67,31,.73,59,3.60,40,8.32,17
17,Marshall,13-1,12-1,.61,.82,14,.40,42,1.86,1,1.95,1,.220,3,2.69,1,.20,112,.86,120,3.65,107
18,Oklahoma,8-5,8-5,.60,.74,19,.57,31,.87,18,.89,19,.114,18,1.22,17,1.27,25,4.21,20,8.18,19
19,Stanford,8-5,7-5,.58,.26,45,1.11,8,.92,16,.90,17,.136,14,1.63,8,1.05,43,3.68,36,7.69,29
20,Nebraska,9-4,8-4,.56,.39,35,.54,33,.62,28,.79,22,.125,16,.73,30,.79,56,3.12,54,6.93,52
21,Florida State,13-1,12-1,.56,.72,21,.46,38,.46,34,.56,31,.040,47,.93,21,1.24,28,4.37,18,8.93,8
22,Missouri,11-3,10-3,.56,.16,49,.94,15,.55,31,.54,33,.065,34,.85,24,1.72,9,4.75,12,8.81,9
23,Clemson,10-3,9-3,.55,-.19,71,1.58,2,1.00,13,.87,21,.162,10,1.37,12,1.17,31,3.85,28,7.46,37
24,UCLA,10-3,10-3,.52,.73,20,.24,49,.33,45,.30,44,.046,45,.82,27,1.34,23,4.84,8,9.60,3
25,Tennessee,7-6,6-6,.48,.20,47,.72,20,.17,60,.28,48,.050,41,-.17,71,1.78,8,4.75,11,8.40,15
26,Arizona,10-4,10-4,.43,.41,33,.41,41,.39,41,.35,40,.048,43,.29,52,1.57,13,4.48,16,8.63,12
27,Florida,7-5,6-5,.43,-.47,87,1.24,3,.21,55,.29,46,.019,59,.10,58,1.61,12,4.36,19,7.46,36
28,Arizona State,10-3,9-3,.43,.30,42,.60,27,.57,30,.63,26,.067,33,.48,41,.70,63,3.35,47,7.60,32
29,Louisiana Tech,9-5,9-4,.42,-.01,58,.72,19,.92,15,.94,12,.091,22,1.06,18,.70,62,2.30,69,5.46,69
30,Louisville,9-4,8-4,.42,-.01,59,1.13,7,.67,26,.59,27,.047,44,.47,42,.90,52,3.41,46,7.52,35
31,Texas A&M,8-5,7-5,.42,.93,10,-.31,86,-.22,74,.04,67,-.056,84,-.09,64,2.21,5,5.62,6,8.61,13
32,West Virginia,7-6,6-6,.36,-.02,60,.70,22,.03,64,.02,69,.039,48,.31,50,1.70,11,4.51,15,8.04,22
33,Minnesota,8-5,7-5,.36,.21,46,.44,40,.18,59,.21,59,.011,64,-.29,76,1.44,18,3.95,27,7.37,39
34,Utah,9-4,8-4,.36,-.24,75,.86,16,.12,62,.22,57,-.003,68,-.21,73,1.15,35,3.78,31,7.71,26
35,Miami,6-7,5-7,.35,.38,36,.60,29,.52,32,.42,38,.090,23,1.69,7,.76,57,3.59,41,8.10,21
36,Notre Dame,8-5,8-5,.33,.71,22,.12,55,.42,39,.47,35,.078,29,.55,39,.81,55,3.58,43,8.12,20
37,South Carolina,7-6,6-6,.33,.90,13,-.34,89,-.07,67,.06,64,-.023,71,-.25,75,1.34,21,4.41,17,8.32,18
38,Boise State,12-2,12-2,.33,.53,29,.38,44,1.17,9,1.00,11,.148,11,1.22,16,.52,75,1.98,74,5.58,66
39,Boston College,7-6,6-6,.27,.48,30,.20,52,.30,49,.21,58,.044,46,.58,36,.60,68,3.02,56,7.14,48
40,Virginia Tech,7-6,6-6,.27,-.86,111,1.21,5,-.10,69,.03,68,-.035,74,-.54,92,.96,48,3.31,49,7.40,38
41,Duke,9-4,8-4,.25,.27,44,.12,54,.43,38,.54,34,.036,52,.09,59,.51,76,2.27,71,5.75,65
42,Washington,8-6,7-6,.25,-.43,81,.77,17,.24,54,.14,61,.002,66,.07,60,1.00,46,3.28,51,7.13,50
43,Memphis,10-3,9-3,.24,-.21,72,.50,36,.73,24,.92,15,.119,17,.80,28,.53,73,1.74,78,4.24,91
44,Virginia,5-7,4-7,.19,-.42,80,.77,18,-.11,70,.00,70,.037,50,-.02,63,.73,60,3.31,48,7.20,46
45,Penn State,7-6,7-6,.14,-.64,100,1.05,10,.29,50,.24,53,.080,28,.65,32,.91,50,2.74,60,6.45,61
46,Colorado State,10-3,9-3,.13,.65,23,-.28,81,.80,21,.93,13,.061,35,1.32,13,.23,109,1.36,95,4.42,85
47,Texas,6-7,6-7,.12,-.55,94,.96,12,.00,65,.04,66,-.018,69,.23,55,1.53,14,4.61,14,8.35,16
48,Iowa,7-6,6-6,.12,-.03,63,.27,47,.20,57,.12,62,.078,30,.35,47,.55,71,2.55,66,6.51,60
49,Pittsburgh,6-7,5-7,.09,.59,24,-.37,91,.12,61,.19,60,.082,25,.19,56,.49,79,2.50,67,6.56,59
50,NC State,8-5,7-5,.08,.54,27,-.20,73,.21,56,.22,55,.022,57,.45,44,.68,64,2.73,61,6.30,62
