Rk,Team,Rec,FBS,FEI,OFEI,Rk,DFEI,Rk,NDE,Rk,NPD,Rk,NAY,Rk,NPP,Rk,ELS,Rk,GLS,Rk,ALS,Rk
82,Louisiana Tech,7-6,6-6,-.23,-.17,75,-.39,92,.19,56,.21,52,.012,62,-.09,71,.34,93,1.36,99,3.70,103
83,Western Michigan,6-6,5-6,-.23,-.26,83,-.43,95,-.17,81,-.14,76,.025,59,-.63,93,.27,100,1.26,103,3.79,99
84,Eastern Michigan,5-7,5-7,-.23,-.66,111,.19,49,.17,59,.17,56,.046,47,.20,55,.12,124,.85,116,3.73,100
85,Utah State,6-7,5-7,-.25,-.76,113,.18,51,.01,68,.09,62,-.033,82,.22,53,.66,73,1.75,84,4.10,94
86,Buffalo,6-6,5-6,-.25,-.16,74,-.36,88,.17,58,.11,59,.036,51,.65,32,.15,119,.98,112,3.58,106
87,Central Michigan,8-5,7-5,-.27,-.46,98,.02,59,.12,62,.03,65,-.027,79,.51,38,.20,111,1.15,107,4.13,93
88,Tennessee,4-8,3-8,-.28,-.55,103,-.01,61,-1.09,110,-1.04,111,-.142,110,-1.20,105,1.53,23,3.46,50,6.57,60
89,Vanderbilt,5-7,4-7,-.30,.12,49,-.53,97,-.64,99,-.78,102,-.107,103,-.38,85,1.43,29,3.14,58,6.18,64
90,Rutgers,4-8,3-8,-.34,-.63,109,.04,58,-1.21,114,-1.27,116,-.230,124,-1.54,115,1.73,15,4.25,24,7.38,42
91,Air Force,5-7,4-7,-.37,.25,43,-1.05,119,-.55,96,-.59,96,-.070,95,-1.73,121,.27,103,1.60,86,4.95,81
92,Tulsa,2-10,2-10,-.38,.09,50,-.97,117,-.86,104,-.90,106,-.140,109,-1.58,117,.47,88,2.29,76,5.84,67
93,Miami (OH),5-7,4-7,-.39,-.44,95,-.25,79,.01,67,.08,63,-.005,68,.23,51,.42,89,1.15,106,3.15,117
94,Middle Tennessee,7-6,7-6,-.40,-.65,110,-.18,73,.06,64,.08,64,.007,63,.85,27,.17,116,.85,115,3.36,109
95,Southern Mississippi,8-5,7-5,-.40,-.54,102,-.23,77,.17,57,.13,57,.015,61,.29,48,.18,113,.75,120,2.95,121
96,North Texas,9-5,8-5,-.43,-.06,68,-.84,113,-.34,88,-.32,88,.003,65,.08,63,.38,92,1.78,83,4.88,84
97,Massachusetts,4-8,3-8,-.43,-.35,89,-.36,86,-.07,76,-.30,86,-.023,77,.03,67,.26,105,1.06,111,3.31,111
98,Nevada,3-9,3-8,-.43,-.18,78,-.80,110,-.58,97,-.63,98,-.113,105,.13,58,.25,107,1.61,85,4.77,85
99,Florida International,8-5,7-5,-.43,-.16,72,-.79,109,-.26,83,-.25,83,-.052,90,-.47,89,.42,90,1.36,100,3.67,105
100,UNLV,5-7,5-6,-.44,.02,57,-1.00,118,-.25,82,-.26,84,-.057,93,-.37,82,.66,74,1.41,94,3.27,112
101,UTSA,6-5,5-5,-.44,-.86,116,-.04,63,.28,49,.10,61,.103,22,.12,60,.10,130,.28,130,1.80,130
102,New Mexico State,7-6,7-6,-.47,-.35,90,-.39,91,.19,55,.02,66,.032,55,.55,36,.13,120,.78,119,3.19,115
103,Illinois,2-10,2-10,-.51,-.90,118,-.36,87,-1.54,121,-1.45,121,-.217,122,-1.54,114,1.45,27,3.92,36,7.20,47
104,UL Monroe,4-8,4-8,-.52,.41,32,-1.39,126,-.51,94,-.53,95,-.035,84,-.74,96,.71,69,1.96,80,4.17,91
105,BYU,4-9,3-9,-.53,-.92,119,-.18,72,-.67,101,-.65,99,-.078,98,-.40,87,.86,55,2.67,67,5.48,77
106,Akron,7-7,6-7,-.55,-.81,115,-.31,83,-.79,103,-.85,105,-.185,118,-1.46,112,.79,61,2.43,72,5.72,73
107,Georgia State,7-5,7-4,-.60,-.77,114,-.27,81,-.14,79,-.34,90,.031,56,-.13,73,.63,78,1.29,102,2.74,125
108,Cincinnati,4-8,3-8,-.61,-.31,86,-.90,116,-1.11,112,-1.12,114,-.166,113,-.89,102,.51,87,2.09,78,5.25,80
109,Connecticut,3-9,2-9,-.61,-.44,96,-.88,115,-1.38,119,-1.43,119,-.121,107,-1.27,106,.57,84,2.40,73,5.71,74
110,UAB,8-5,7-5,-.62,-.45,97,-.43,94,.31,44,.10,60,-.017,70,.13,59,.12,123,.42,129,2.25,129
111,Georgia Southern,2-10,2-9,-.62,-.62,108,-.65,102,-.96,106,-.92,107,-.122,108,-2.03,125,.58,83,1.57,88,3.86,97
112,Idaho,4-8,3-8,-.64,-1.00,123,-.33,85,-.59,98,-.62,97,-.110,104,-.95,103,.12,122,.69,123,2.94,122
113,Bowling Green,2-10,2-9,-.65,-.43,94,-1.09,122,-1.22,116,-1.06,113,-.181,117,-1.43,110,.27,98,1.38,97,4.34,90
114,Western Kentucky,6-7,5-7,-.65,-.57,106,-.57,99,-.01,69,-.08,74,.029,58,-.27,79,.16,118,.57,125,2.47,127
115,Coastal Carolina,3-9,3-8,-.66,-.42,93,-.84,112,-.53,95,-.42,92,-.046,88,-.01,68,.11,127,.55,126,2.67,126
116,Kansas,1-11,0-11,-.71,-.76,112,-.77,108,-2.12,127,-2.12,127,-.263,129,-2.34,129,1.15,44,3.95,35,7.73,34
117,New Mexico,3-9,2-9,-.72,-.96,122,-.72,106,-1.36,118,-1.34,118,-.100,101,-1.30,107,.16,117,1.16,105,4.45,89
118,South Alabama,4-8,3-8,-.74,-1.27,126,-.47,96,-1.22,115,-1.04,110,-.217,121,-1.57,116,.33,95,1.14,108,3.39,108
119,East Carolina,3-9,3-8,-.79,.02,58,-1.86,130,-1.86,125,-1.78,124,-.181,116,-2.31,128,.62,79,2.55,69,5.84,68
120,Old Dominion,5-7,4-7,-.81,-1.12,125,-.67,104,-1.02,108,-.97,109,-.107,102,-.89,101,.28,97,1.06,110,3.27,113
121,Louisiana,5-7,4-7,-.82,-.34,88,-1.07,121,-.67,100,-.70,100,-.082,99,-.65,94,.13,121,.70,122,2.95,120
122,Oregon State,1-11,0-11,-.84,-.57,105,-1.29,125,-2.21,129,-2.26,130,-.262,128,-1.80,122,.65,75,2.93,61,6.96,53
123,Hawaii,3-9,2-9,-.94,-.55,104,-1.58,129,-1.43,120,-1.45,120,-.158,111,-1.65,119,.12,125,.78,118,3.52,107
124,Texas State,2-10,1-10,-1.01,-.96,120,-.84,111,-1.17,113,-1.28,117,-.176,114,-1.68,120,.11,128,.61,124,3.01,119
125,Kent State,2-10,1-10,-1.04,-1.51,130,-.53,98,-1.80,124,-1.76,123,-.221,123,-2.02,124,.72,67,1.85,82,4.55,86
126,Charlotte,1-11,1-10,-1.14,-1.33,127,-1.05,120,-1.70,122,-1.58,122,-.258,127,-1.86,123,.19,112,.84,117,3.16,116
127,Rice,1-11,1-11,-1.22,-1.10,124,-1.52,128,-1.98,126,-1.99,126,-.231,125,-1.61,118,.25,108,1.17,104,3.89,96
128,San Jose State,2-11,1-11,-1.24,-1.44,128,-1.25,124,-2.32,130,-2.25,129,-.248,126,-2.11,126,.22,110,1.48,92,4.94,83
129,Ball State,2-10,1-10,-1.27,-.96,121,-1.45,127,-1.78,123,-1.90,125,-.205,120,-2.52,130,.11,129,.50,127,2.92,124
130,UTEP,0-12,0-12,-1.37,-1.50,129,-1.21,123,-2.15,128,-2.21,128,-.287,130,-2.13,127,.52,86,1.33,101,3.69,104
