Rk,Team,Rec,FBS,FEI,OFEI,Rk,DFEI,Rk,NDE,Rk,NPD,Rk,NAY,Rk,NPP,Rk,ELS,Rk,GLS,Rk,ALS,Rk
1,Alabama,13-1,12-1,1.29,1.22,8,1.61,2,1.92,2,1.88,2,.244,3,2.17,4,2.03,6,4.84,10,8.60,15
2,Georgia,13-2,12-2,1.28,1.33,5,1.52,4,1.73,5,1.81,4,.198,8,2.19,3,2.58,2,6.02,2,9.99,1
3,Ohio State,12-2,12-2,1.18,1.40,3,1.30,5,2.02,1,2.04,1,.255,2,2.60,1,1.94,8,5.05,6,9.02,6
4,Penn State,11-2,11-2,1.16,1.36,4,.98,9,1.83,3,1.82,3,.259,1,2.14,5,1.43,28,4.17,29,7.92,28
5,Clemson,12-2,11-2,1.13,.90,14,1.61,1,1.58,8,1.50,8,.208,6,1.47,12,1.94,9,5.64,3,9.80,2
6,Auburn,10-4,9-4,1.07,.90,15,1.54,3,1.38,11,1.45,10,.166,11,1.65,10,3.03,1,6.13,1,9.20,5
7,Wisconsin,13-1,13-1,1.06,.71,20,1.30,6,1.53,9,1.56,7,.199,7,1.80,9,1.26,38,4.18,28,8.62,14
8,Oklahoma,12-2,12-2,1.02,2.11,1,.09,57,1.59,7,1.48,9,.193,9,2.35,2,2.12,4,5.49,4,9.31,4
9,Notre Dame,10-3,10-3,.90,1.03,12,.85,15,1.04,14,1.12,14,.079,31,1.46,14,1.54,22,4.99,8,9.43,3
10,Washington,10-3,9-3,.90,1.07,11,.90,12,1.78,4,1.72,5,.212,4,2.02,7,.80,59,2.83,63,6.71,57
11,UCF,13-0,12-0,.82,1.08,9,.63,24,1.61,6,1.65,6,.188,10,2.11,6,.78,62,2.57,68,5.80,69
12,Oklahoma State,10-3,10-3,.75,1.55,2,.21,46,1.48,10,1.41,11,.210,5,1.97,8,1.08,50,3.84,42,7.78,32
13,TCU,11-3,10-3,.71,.46,29,.75,22,.71,22,.82,18,.100,23,.66,31,1.49,24,4.67,12,8.78,10
14,Iowa,8-5,8-5,.67,.24,44,.79,18,.35,42,.45,37,-.028,81,.21,54,2.02,7,5.03,7,8.74,12
15,Mississippi State,9-4,8-4,.62,.35,37,.97,10,.65,25,.67,26,.111,19,-.21,77,2.05,5,4.37,18,7.45,39
16,Virginia Tech,9-4,8-4,.58,.07,52,.94,11,.62,27,.69,25,.126,15,.07,65,1.09,49,3.58,47,7.17,48
17,Stanford,9-5,9-5,.56,.81,17,.13,52,.60,30,.69,23,.055,40,.65,33,1.16,43,4.35,20,8.81,9
18,Louisville,8-5,7-5,.56,1.25,6,.01,60,.70,23,.73,21,.089,27,1.31,16,1.14,45,3.88,38,7.76,33
19,Miami,10-3,9-3,.56,.35,35,.88,13,.57,31,.43,39,.058,37,1.47,11,1.60,18,4.54,15,8.47,17
20,LSU,9-4,8-4,.56,.75,19,.63,23,.73,21,.51,34,.116,18,1.01,23,1.66,17,4.00,33,7.40,41
21,Iowa State,8-5,7-5,.53,.43,31,.53,28,.53,33,.53,32,.058,38,.41,43,1.30,34,4.33,21,8.01,24
22,NC State,9-4,8-4,.52,.95,13,.33,38,.60,28,.40,40,.098,24,.36,44,1.29,35,4.21,26,8.36,18
23,Michigan,8-5,8-5,.50,-.08,69,1.07,8,.45,38,.52,33,.107,21,.70,29,1.81,13,4.36,19,7.99,25
24,Michigan State,10-3,10-3,.47,.16,47,.86,14,.47,37,.46,36,.108,20,.06,66,1.88,11,4.82,11,8.50,16
25,Memphis,10-3,9-3,.47,.81,18,.13,53,.83,16,.77,20,.119,17,1.47,13,.77,63,2.74,66,6.01,66
26,Northwestern,10-3,10-3,.46,.00,63,.77,19,.54,32,.55,31,.059,35,.16,56,1.42,30,3.85,41,7.49,38
27,USC,11-3,11-3,.46,.64,24,.36,36,.60,29,.58,29,.091,26,1.01,22,1.33,33,4.29,23,8.81,8
28,Wake Forest,8-5,7-5,.45,.69,21,.30,41,.24,52,.19,53,.001,66,.68,30,1.36,31,4.51,16,8.75,11
29,Boston College,7-6,7-6,.45,.06,53,.84,16,.22,54,.28,47,.037,50,-.05,70,1.60,19,4.87,9,8.88,7
30,Florida State,7-6,6-6,.42,.02,59,.82,17,-.01,70,.01,68,-.002,67,.50,39,1.76,14,4.63,13,8.24,21
31,Texas,7-6,7-6,.40,-.52,100,1.15,7,.30,46,.28,46,.050,42,-.32,80,1.20,40,4.16,30,8.10,23
32,Purdue,7-6,7-6,.39,.03,56,.75,21,.43,39,.43,38,.057,39,.42,42,1.07,51,3.91,37,8.28,20
33,Florida Atlantic,11-3,10-3,.33,.83,16,-.32,84,1.15,13,1.26,12,.086,29,.97,25,.59,82,1.39,96,3.79,98
34,Kansas State,8-5,7-5,.32,.04,54,.22,45,-.04,72,.18,54,-.022,76,-.15,74,1.12,48,3.67,45,7.08,49
35,Boise State,11-3,11-3,.29,.35,36,.20,48,.78,18,.82,19,.120,16,1.01,24,.18,115,1.54,90,5.80,70
36,South Carolina,9-4,8-4,.29,-.01,64,.55,26,.06,65,.00,69,-.021,74,.43,41,1.46,25,3.65,46,7.25,45
37,Duke,7-6,6-6,.28,.01,60,.59,25,.29,48,.23,48,.048,44,-.33,81,.61,81,3.16,57,7.61,35
38,Navy,7-6,7-6,.26,.60,26,-.14,69,.26,50,.30,44,.048,45,-.21,76,.83,56,3.01,59,6.99,51
39,Georgia Tech,5-6,4-6,.26,.65,23,.20,47,.17,60,-.01,71,.039,49,.09,62,1.56,20,3.88,39,6.92,55
40,South Florida,10-2,9-2,.26,.29,41,.33,37,1.20,12,1.15,13,.160,12,1.35,15,.39,91,1.39,95,3.72,101
41,Indiana,5-7,4-7,.25,.01,61,.51,30,-.05,73,-.01,72,.035,53,-.03,69,1.83,12,4.09,31,6.80,56
42,Washington State,9-4,8-4,.22,-.17,77,.76,20,.36,40,.22,51,.059,36,.31,47,.77,64,3.26,54,7.25,46
43,Texas A&M,7-6,6-6,.22,.13,48,.30,42,-.09,77,-.01,70,-.006,69,-.21,78,1.56,21,4.03,32,7.33,43
44,Missouri,7-6,6-6,.21,.68,22,-.22,75,.26,51,.17,55,.036,52,1.10,19,1.33,32,3.21,56,6.39,62
45,West Virginia,7-6,6-6,.21,.41,33,-.13,68,-.07,75,-.14,77,-.022,75,.34,46,1.28,36,4.30,22,7.92,29
46,Utah,7-6,6-6,.20,-.28,85,.52,29,.16,61,.30,43,.031,57,.23,52,.68,72,3.00,60,6.93,54
47,Texas Tech,6-7,5-7,.20,.56,28,-.17,71,-.09,78,-.27,85,-.034,83,-.10,72,1.17,42,4.20,27,8.24,22
48,Oregon,7-6,6-6,.18,-.01,65,.24,44,.08,63,.12,58,.005,64,.11,61,.62,80,2.85,62,6.97,52
49,San Diego State,10-3,9-3,.16,-.05,67,.18,50,.64,26,.65,27,.096,25,1.10,20,.27,101,1.47,93,4.45,88
50,Houston,7-5,7-5,.15,-.12,70,.54,27,.50,35,.58,30,.033,54,.60,34,.27,102,1.90,81,5.64,76
51,Arizona,7-6,6-6,.14,1.07,10,-.71,105,.36,41,.22,49,.047,46,1.17,18,.30,96,2.25,77,6.27,63
52,Arizona State,7-6,7-6,.10,.37,34,-.10,67,.04,66,.01,67,-.018,71,-.38,84,.80,60,3.48,49,7.87,30
53,Fresno State,10-4,9-4,.08,-.20,80,.38,33,.51,34,.50,35,.044,48,.49,40,1.14,46,2.81,64,5.67,75
54,Pittsburgh,5-7,4-7,.08,.00,62,.12,54,-.43,89,-.33,89,-.058,94,-.42,88,1.24,39,3.88,40,7.27,44
55,Appalachian State,9-4,8-4,.08,-.19,79,.36,35,.68,24,.71,22,.080,30,.73,28,.81,57,1.58,87,3.34,110
56,Troy,11-2,10-2,.07,-.16,73,.32,40,.89,15,.83,16,.067,34,1.02,21,.27,104,.95,114,2.94,123
57,Army,10-3,9-3,.07,1.22,7,-.88,114,.74,20,.69,24,.071,33,-.38,83,.72,68,1.99,79,4.94,82
58,Toledo,11-3,10-3,.05,.43,30,-.28,82,.78,19,.88,15,.140,13,1.17,17,.25,106,1.11,109,4.10,95
59,UCLA,6-7,6-7,.05,.59,27,-.38,90,-.16,80,-.16,79,-.038,86,.16,57,.81,58,3.69,44,8.31,19
60,Minnesota,5-7,5-7,.05,-.25,81,.10,55,-.26,84,-.23,81,-.027,80,-.60,92,1.04,53,3.33,52,6.69,59
61,Ole Miss,6-6,5-6,.03,.31,40,-.25,80,-.29,87,-.15,78,-.037,85,.36,45,1.46,26,3.46,51,6.18,65
62,Ohio,9-4,8-4,.02,.22,45,-.21,74,.78,17,.83,17,.087,28,.94,26,.18,114,.74,121,3.08,118
63,Syracuse,4-8,3-8,.00,.09,51,-.15,70,-.79,102,-.71,101,-.041,87,-1.49,113,1.28,37,4.24,25,7.94,27
64,California,5-7,4-7,.00,-.17,76,.10,56,-.28,86,-.35,91,-.020,73,-.54,91,.65,76,2.78,65,6.44,61
65,Kentucky,7-6,6-6,-.01,.04,55,-.22,76,-.46,90,-.22,80,-.074,96,-.51,90,1.13,47,3.32,53,7.04,50
66,Florida,4-7,4-7,-.04,-.33,87,.28,43,-.47,92,-.48,94,-.057,92,-.81,99,1.06,52,3.23,55,6.71,58
67,Virginia,6-7,5-7,-.04,-.26,82,.33,39,-.46,91,-.47,93,-.054,91,-.67,95,.69,70,3.53,48,7.99,26
68,SMU,7-6,6-6,-.05,.62,25,-.63,101,-.02,71,-.10,75,-.027,78,-.39,86,.68,71,2.47,70,5.74,72
69,Temple,7-6,6-6,-.07,-.49,99,.36,34,-.06,74,-.02,73,.016,60,.24,50,.75,66,2.44,71,5.39,79
70,Northern Illinois,8-5,7-5,-.09,-.58,107,.43,31,.34,43,.29,45,.048,43,.27,49,.23,109,1.36,98,4.46,87
71,Nebraska,4-8,4-8,-.11,.26,42,-.61,100,-.92,105,-.81,103,-.097,100,-.88,100,1.93,10,4.56,14,7.87,31
72,Arkansas,4-8,3-8,-.12,.33,38,-.66,103,-1.10,111,-1.05,112,-.185,119,-1.36,109,1.69,16,4.37,17,7.52,37
73,Maryland,4-8,3-8,-.12,.17,46,-.37,89,-1.25,117,-1.23,115,-.162,112,-.80,98,2.20,3,5.41,5,8.69,13
74,Tulane,5-7,4-7,-.14,-.13,71,-.09,65,-.27,85,-.25,82,-.076,97,-.80,97,.65,77,2.31,75,5.43,78
75,Marshall,8-5,8-5,-.15,-.53,101,-.06,64,.22,53,.33,41,.050,41,.53,37,.27,99,.98,113,3.25,114
76,Colorado,5-7,4-7,-.15,-.03,66,-.41,93,-.47,93,-.31,87,-.052,89,-.98,104,.54,85,2.39,74,5.78,71
77,Wyoming,8-5,7-5,-.15,-.90,117,.43,32,.29,47,.22,50,-.020,72,.08,64,.33,94,1.48,91,4.14,92
78,Baylor,1-11,1-10,-.17,-.28,84,-.25,78,-1.06,109,-.97,108,-.120,106,-1.33,108,1.17,41,4.00,34,7.53,36
79,Arkansas State,7-5,6-5,-.17,-.36,92,-.03,62,.48,36,.59,28,.134,14,.56,35,.11,126,.45,128,2.28,128
80,North Carolina,3-9,2-9,-.19,-.35,91,-.10,66,-1.01,107,-.84,104,-.176,115,-1.46,111,.94,54,3.70,43,7.43,40
81,Colorado State,7-6,6-6,-.19,.33,39,-.75,107,.30,45,.31,42,.076,32,-.19,75,.77,65,1.57,89,3.72,102
