Rk,Team,Rec,FBS,FEI,OFEI,Rk,DFEI,Rk,NDE,Rk,NPD,Rk,NAY,Rk,NPP,Rk,ELS,Rk,GLS,Rk,ALS,Rk
1,Florida State,14-0,13-0,1.55,1.76,1,1.28,1,2.95,1,3.04,1,.344,1,3.45,1,.76,64,2.94,59,6.94,52
2,Alabama,11-2,10-2,1.20,1.19,6,1.12,7,1.66,4,1.73,4,.222,4,2.15,4,1.24,33,4.12,30,7.71,32
3,Oregon,11-2,10-2,1.07,1.52,3,.87,16,2.01,3,1.86,3,.244,3,2.63,2,1.19,37,4.02,31,7.89,21
4,Baylor,11-2,10-2,.99,1.40,5,.70,24,1.64,5,1.57,6,.203,5,2.11,5,.86,59,3.46,47,7.35,44
5,Stanford,11-3,11-3,.95,.71,21,.96,9,.92,24,1.05,21,.124,19,1.50,10,2.04,4,5.96,2,10.02,2
6,Auburn,12-2,11-2,.92,1.10,9,.70,23,.77,28,.83,27,.067,41,.82,30,2.51,1,5.79,3,9.43,3
7,Ohio State,12-2,11-2,.87,1.45,4,.32,43,1.48,6,1.63,5,.183,8,1.76,7,.83,61,3.35,53,7.46,39
8,Missouri,12-2,11-2,.87,.95,13,.93,11,1.17,14,1.11,15,.112,22,1.29,16,1.40,24,4.80,14,9.09,4
9,Arizona State,10-4,9-4,.84,.98,11,.59,29,.59,33,.61,34,.109,27,.50,43,1.93,7,6.07,1,10.41,1
10,Washington,9-4,8-4,.80,.78,17,.76,19,.81,26,.91,25,.088,36,.78,31,1.64,16,4.74,15,8.43,12
11,LSU,10-3,9-3,.79,1.19,7,.51,32,1.05,20,1.08,16,.112,23,1.30,14,1.61,17,4.68,18,8.13,16
12,South Carolina,11-2,10-2,.78,1.12,8,.76,20,1.08,19,.97,24,.118,20,.82,29,1.27,31,4.58,20,8.70,11
13,Wisconsin,9-4,8-4,.78,.61,23,.97,8,1.17,13,1.14,13,.173,11,1.94,6,1.06,49,3.73,38,7.32,45
14,UCLA,10-3,10-3,.77,.94,14,.62,27,.96,23,1.07,17,.090,34,.96,27,1.73,13,4.86,13,8.37,14
15,Oklahoma State,10-3,9-3,.76,.61,24,1.22,3,1.14,15,1.05,20,.110,26,1.19,19,1.28,30,4.20,25,8.10,17
16,Louisville,12-1,11-1,.75,.76,18,.90,14,2.12,2,1.93,2,.263,2,2.16,3,.31,101,1.42,100,4.41,90
17,Clemson,11-2,9-2,.71,.75,19,.82,17,1.12,16,1.07,19,.182,9,1.63,9,1.60,19,3.70,39,6.84,55
18,Texas A&M,9-4,8-4,.68,1.55,2,-.15,78,.74,30,.83,28,.126,18,.86,28,1.77,11,4.70,16,8.00,20
19,Michigan State,13-1,12-1,.66,.10,51,1.28,2,1.27,11,1.18,11,.172,12,1.18,20,.94,55,3.47,46,7.37,43
20,Oklahoma,11-2,11-2,.64,.59,25,.62,25,.60,32,.66,31,.100,31,.48,44,1.57,21,4.35,23,8.02,19
21,Kansas State,8-5,8-4,.63,.90,16,.52,31,1.04,21,1.07,18,.103,29,1.34,11,1.00,52,3.44,50,7.03,51
22,Georgia,8-5,7-5,.59,1.02,10,.06,63,.26,56,.42,40,.057,46,1.01,26,1.53,22,4.94,11,8.94,6
23,UCF,12-1,12-1,.56,.97,12,.32,44,1.35,9,1.46,8,.178,10,1.74,8,.99,53,2.75,63,5.70,68
24,USC,10-4,10-4,.56,.25,44,.93,13,.74,29,.76,30,.083,38,1.04,25,1.26,32,4.48,22,9.08,5
25,Ole Miss,8-5,7-5,.52,.50,30,.72,21,.54,35,.35,47,.085,37,.73,33,1.90,8,5.10,9,8.29,15
26,Arizona,8-5,7-5,.52,.67,22,.58,30,.79,27,.62,32,.096,32,.58,40,1.47,23,4.15,27,7.54,35
27,Mississippi State,7-6,6-6,.48,.43,34,.89,15,.37,49,.07,63,.046,51,.06,64,2.02,5,5.25,6,8.41,13
