Rk,Team,Rec,FBS,FEI,OFEI,Rk,DFEI,Rk,NDE,Rk,NPD,Rk,NAY,Rk,NPP,Rk,ELS,Rk,GLS,Rk,ALS,Rk
1,Alabama,14-1,13-1,1.65,2.20,2,1.39,3,2.55,1,2.68,1,.351,1,3.20,2,3.20,1,6.79,1,9.93,1
2,Clemson,15-0,14-0,1.37,1.30,5,1.47,2,2.30,2,2.26,2,.272,2,3.21,1,1.62,18,4.53,19,9.09,5
3,Georgia,11-3,10-3,1.30,1.86,3,.97,9,1.68,4,1.68,4,.210,5,2.19,4,2.36,8,5.97,2,9.73,2
4,Mississippi State,8-5,7-5,1.00,.70,20,1.51,1,1.12,14,.96,15,.084,30,1.34,13,2.34,9,5.45,8,8.60,12
5,Oklahoma,12-2,12-2,.96,2.32,1,-.49,97,1.17,12,1.26,11,.166,8,2.93,3,1.63,17,4.75,15,9.57,3
6,Michigan,10-3,10-3,.87,.83,15,.83,16,1.09,15,1.20,13,.215,4,1.35,11,1.08,36,4.07,25,8.21,23
7,LSU,10-3,9-3,.86,.75,18,1.00,6,.69,29,.76,27,.121,21,.58,31,2.90,2,5.92,3,8.59,13
8,Florida,10-3,8-3,.82,.85,13,.89,13,.73,25,.67,30,.094,27,.57,32,2.23,11,5.45,7,8.39,17
9,Texas A&M,9-4,8-4,.82,.99,10,.52,26,.31,48,.40,42,.111,22,.24,60,2.82,3,5.85,5,8.93,8
10,Missouri,8-5,7-5,.80,1.07,9,.79,18,.91,20,.77,26,.106,25,.53,36,2.21,12,5.03,13,8.74,10
11,Ohio State,13-1,13-1,.77,1.42,4,.24,40,1.25,10,1.22,12,.176,7,.74,27,.83,52,3.74,33,8.50,14
12,Auburn,8-5,7-5,.75,.64,26,.90,12,.58,32,.67,29,.037,47,.34,51,2.68,5,5.43,9,8.39,16
13,Iowa,9-4,8-4,.72,.42,41,1.09,5,.96,19,.86,21,.133,18,.81,24,.87,49,3.56,39,7.85,32
14,Notre Dame,12-1,12-1,.70,.61,28,.76,20,1.17,13,1.30,10,.152,11,1.46,9,1.27,24,3.59,38,7.55,35
15,West Virginia,8-4,7-4,.68,.90,11,.28,37,.70,28,.78,25,.127,19,1.09,16,.76,57,3.36,44,7.54,36
16,Penn State,9-4,9-4,.65,.49,35,.83,15,.86,21,.96,16,.102,26,1.38,10,1.16,29,4.24,21,8.21,24
17,Kentucky,10-3,9-3,.64,.32,46,.85,14,.39,43,.43,40,.037,48,.35,50,2.18,13,5.42,10,8.40,15
18,Fresno State,12-2,11-2,.64,.56,32,.90,10,1.66,5,1.61,6,.218,3,1.98,6,.34,101,1.79,88,5.44,73
19,UCF,12-1,11-1,.63,1.18,7,.09,54,1.52,6,1.62,5,.083,31,1.35,12,.46,81,1.87,84,5.00,79
20,Washington,10-4,9-4,.55,.54,33,.98,7,1.04,16,.87,19,.134,17,1.17,14,.86,50,3.75,32,8.26,21
21,Army,11-2,9-2,.55,.84,14,.26,39,1.44,8,1.33,9,.157,10,-.39,85,.47,77,1.55,97,4.32,97
22,Utah State,11-2,10-2,.53,.79,17,.45,28,1.78,3,1.75,3,.165,9,2.15,5,.24,114,1.24,112,4.00,104
23,Texas,10-4,10-4,.52,.69,22,.42,30,.52,35,.47,38,.030,53,-.13,77,1.82,15,5.08,12,9.56,4
24,Washington State,11-2,10-2,.52,1.24,6,-.14,75,.98,18,.92,17,.124,20,.56,34,.42,84,2.36,67,6.32,57
25,Boise State,10-3,10-3,.49,.64,27,.34,34,1.01,17,.92,18,.138,15,.46,39,.60,65,2.57,61,6.21,60
26,South Carolina,7-6,6-6,.44,.69,21,.20,47,-.03,68,-.04,67,.005,67,.56,33,2.45,6,5.61,6,8.67,11
27,Iowa State,8-5,7-5,.44,.34,45,.62,25,.47,37,.50,37,.057,37,1.00,18,1.13,32,4.16,23,8.22,22
28,Utah,9-5,8-5,.42,.12,59,.67,22,.40,42,.59,33,.051,41,.54,35,.54,70,3.09,49,7.95,30
29,Ohio,9-4,8-4,.39,1.14,8,-.38,93,1.38,9,1.41,8,.187,6,1.55,8,.19,121,1.04,119,3.60,115
30,Vanderbilt,6-7,5-7,.39,.66,23,.10,52,.01,65,-.04,66,-.024,80,-.01,73,1.68,16,4.64,16,8.35,20
31,Appalachian State,11-2,10-2,.38,.03,64,.82,17,1.48,7,1.44,7,.147,13,1.56,7,.28,109,1.04,120,3.27,122
32,Oklahoma State,7-6,6-6,.37,.88,12,-.19,79,.14,55,.26,53,-.004,73,-.12,76,1.19,27,4.24,22,8.16,25
33,NC State,9-4,8-4,.37,.65,25,.08,57,.78,23,.86,22,.137,16,.31,52,1.14,31,2.81,53,5.72,70
34,Wisconsin,8-5,8-5,.35,.39,43,.37,32,.62,31,.54,36,.069,34,.66,30,.87,48,3.36,43,7.13,45
35,Syracuse,10-3,9-3,.34,.18,53,.50,27,.75,24,.87,20,.090,28,.12,66,1.23,26,3.19,47,6.20,61
36,Cincinnati,11-2,10-2,.33,.09,61,.71,21,1.21,11,1.09,14,.144,14,.87,21,.34,100,1.48,103,4.45,93
37,Stanford,9-4,8-4,.33,.47,37,.24,42,.35,45,.43,39,-.004,74,.50,37,.62,60,3.02,50,7.19,44
38,Michigan State,7-6,7-6,.30,-.53,101,1.26,4,.21,52,.20,56,.031,52,.07,70,1.01,40,4.05,26,8.38,18
