Rk,Team,Rec,FBS,FEI,OFEI,Rk,DFEI,Rk,NDE,Rk,NPD,Rk,NAY,Rk,NPP,Rk,ELS,Rk,GLS,Rk,ALS,Rk
1,Georgia,15-0,14-0,1.58,1.86,1,1.45,1,2.38,1,2.43,1,.292,1,2.43,1,2.26,6,5.96,2,10.22,1
2,Ohio State,11-2,11-2,1.23,1.84,3,.84,9,2.07,2,2.08,3,.268,3,2.31,3,1.97,9,4.42,19,7.95,26
3,Alabama,11-2,10-2,1.21,1.37,7,1.03,5,1.59,4,1.74,4,.206,6,2.08,5,1.85,14,5.06,7,8.41,15
4,Tennessee,11-2,10-2,1.18,1.80,4,.39,33,1.47,6,1.61,5,.142,13,1.53,11,2.08,8,4.73,14,8.05,21
5,Michigan,13-1,13-1,1.14,1.25,11,1.01,6,1.96,3,2.10,2,.269,2,2.33,2,1.47,23,4.06,32,7.65,34
6,Texas,8-5,8-5,.89,.94,18,.80,11,.96,20,1.10,12,.103,26,1.63,8,1.46,24,4.76,11,9.18,5
7,Penn State,11-2,11-2,.88,.84,21,1.05,4,1.51,5,1.48,6,.168,11,2.02,6,1.64,18,4.15,25,7.83,29
8,LSU,10-4,9-4,.86,1.36,9,.71,17,1.01,17,.80,26,.113,21,1.07,16,2.70,1,6.01,1,9.61,4
9,Florida State,10-3,9-3,.79,1.37,8,.34,36,1.31,7,1.27,8,.225,4,2.21,4,.78,57,3.25,49,7.30,42
10,Kansas State,10-4,9-4,.78,.93,19,.71,16,.70,29,.67,30,.074,36,.45,42,1.75,15,5.50,6,10.11,3
11,Utah,10-4,9-4,.77,.97,16,.56,24,1.12,12,1.08,13,.200,7,.26,50,1.15,33,4.09,29,7.99,23
12,TCU,13-2,12-2,.77,1.05,14,.54,25,.67,30,.69,29,.068,42,1.11,14,2.40,4,5.96,3,10.18,2
13,USC,11-3,11-3,.64,1.85,2,-.57,107,1.06,15,.96,16,.108,24,.45,41,1.01,44,3.84,37,7.97,25
14,Mississippi State,9-4,8-4,.64,.47,37,.76,13,.35,44,.31,43,.046,45,-.06,62,2.12,7,5.03,8,8.66,13
15,Oregon,10-3,9-3,.63,1.38,6,.11,48,1.15,9,1.11,11,.170,10,1.26,12,1.49,22,3.81,38,7.30,41
16,Oregon State,10-3,9-3,.60,.45,38,.82,10,.95,21,1.00,15,.107,25,.97,21,.88,50,3.51,46,7.29,43
17,Washington,11-2,10-2,.58,1.53,5,-.31,84,1.13,11,1.16,9,.160,12,.99,19,.78,56,2.85,59,6.32,62
18,Clemson,11-3,10-3,.57,.25,49,.84,8,.83,23,.92,19,.109,23,.69,32,1.18,32,3.77,40,7.72,33
19,Minnesota,9-4,8-4,.55,.53,34,.66,18,1.11,13,1.03,14,.126,18,.69,31,.63,70,2.60,62,6.07,65
20,Illinois,8-5,7-5,.53,-.02,65,1.06,3,.81,24,.73,27,.115,19,.48,39,1.00,45,3.20,53,6.94,53
21,Tulane,12-2,11-2,.51,.69,25,.52,28,1.13,10,1.12,10,.140,14,1.74,7,.60,71,2.87,58,6.94,52
22,Ole Miss,8-5,7-5,.49,1.08,13,.09,52,.52,36,.51,35,.072,37,.75,28,1.33,29,4.10,27,8.07,19
23,Notre Dame,9-4,9-4,.48,.44,39,.42,31,.73,28,.87,21,.137,16,.71,30,1.04,43,3.17,54,7.12,48
24,Louisville,8-5,8-5,.46,.10,57,.75,14,.57,35,.51,34,.077,35,.74,29,.66,64,3.29,48,7.81,31
25,Arkansas,7-6,6-6,.43,.77,23,.06,54,.10,57,.13,55,-.012,65,-.19,71,1.35,28,4.40,20,8.67,12
26,Iowa,8-5,7-5,.41,-.61,99,1.26,2,.15,53,.21,52,-.008,63,.14,55,1.51,21,3.90,36,7.32,40
27,Oklahoma,6-7,6-7,.38,.68,27,.19,45,.33,47,.32,42,.042,48,.64,33,1.26,31,4.31,22,8.44,14
28,Texas Tech,8-5,7-5,.38,.28,47,.52,26,.04,59,.05,59,-.017,67,-.62,96,1.11,35,4.38,21,8.88,8
29,Florida,6-7,5-7,.38,.79,22,-.03,59,-.17,73,-.25,78,-.033,76,.15,54,2.48,2,5.72,4,9.06,6
30,Maryland,8-5,8-5,.36,.38,40,.34,35,.39,41,.50,36,.027,52,.32,48,1.57,20,3.79,39,7.28,44
31,Wake Forest,8-5,7-5,.35,1.05,15,-.15,69,.64,31,.56,33,.071,39,.55,35,.63,69,2.97,56,7.17,47
32,UCLA,9-4,8-4,.35,1.25,10,-.28,78,.99,18,.87,22,.137,15,1.26,13,.80,55,2.93,57,6.22,63
33,South Carolina,8-5,7-5,.33,.24,50,-.02,58,-.30,80,-.11,69,-.048,82,-.10,66,1.87,13,4.50,17,8.06,20
34,Wisconsin,7-6,6-6,.31,.05,59,.62,21,.29,48,.23,50,.058,43,.42,43,1.07,40,3.55,45,7.46,38
35,UCF,9-5,8-5,.29,.59,32,-.05,61,.40,40,.45,38,.043,47,-.13,67,.45,78,2.56,63,6.86,55
36,Kentucky,7-6,6-6,.28,-.01,62,.66,19,.05,58,-.09,68,-.002,60,.06,57,1.97,10,4.72,15,8.19,16
37,Missouri,6-7,5-7,.27,-.16,74,.65,20,-.13,70,-.03,66,.001,58,-.10,64,1.97,11,4.61,16,7.92,28
38,Auburn,5-7,4-7,.27,.05,60,.52,29,-.67,101,-.58,93,-.054,84,-.40,83,2.44,3,5.56,5,8.83,10
39,Baylor,6-7,5-7,.27,.62,30,.05,56,.10,56,.02,62,.019,53,.05,59,1.05,42,3.98,35,8.13,17
40,Washington State,7-6,6-6,.27,.03,61,.32,37,.04,61,.22,51,-.018,68,-.45,86,.97,49,3.62,42,7.27,45
41,Duke,9-4,8-4,.26,.63,29,-.06,62,.78,26,.84,24,.098,27,.61,34,.23,102,1.45,89,4.99,74
42,Pittsburgh,9-4,8-4,.26,-.08,68,.60,22,.38,42,.39,41,.082,32,.37,45,.82,54,2.54,64,6.03,67
43,Fresno State,10-4,9-4,.24,.32,45,.20,43,.88,22,.85,23,.113,20,.89,23,.45,77,1.91,74,4.85,78
44,Texas A&M,5-7,4-7,.23,-.19,77,.47,30,-.28,78,-.19,74,-.065,90,.29,49,1.40,26,4.11,26,7.44,39
45,Air Force,10-3,9-3,.22,.20,53,.25,39,1.30,8,1.27,7,.213,5,.95,22,.15,122,.74,125,3.00,123
46,Iowa State,4-8,3-8,.20,-.31,85,.94,7,-.06,65,-.24,76,.071,38,-.01,60,1.10,36,4.09,30,8.08,18
47,Kansas,6-7,5-7,.19,1.09,12,-.52,104,-.21,75,-.30,83,-.061,86,.26,52,1.14,34,4.50,18,9.02,7
48,NC State,8-5,7-5,.18,-.58,96,.78,12,-.12,68,.05,61,-.004,62,-.57,93,.72,59,3.22,52,7.23,46
49,Syracuse,7-6,6-6,.17,.28,48,.11,49,.01,62,.01,64,-.030,74,.49,37,.85,51,3.58,44,7.59,36
50,Cincinnati,9-4,8-4,.17,-.23,79,.38,34,.18,51,.29,47,.013,55,.37,46,.40,84,2.16,69,5.89,69
51,Oklahoma State,7-6,6-6,.17,-.10,72,.40,32,-.25,77,-.17,72,-.024,70,-.57,94,1.08,38,4.00,34,8.04,22
52,James Madison,8-3,7-3,.17,-.09,69,.58,23,1.02,16,.94,17,.185,8,1.58,9,.18,110,.78,124,3.07,122
53,UTSA,11-3,10-3,.16,.60,31,-.14,68,.97,19,.93,18,.133,17,.80,26,.46,75,1.63,82,4.55,83
54,Western Kentucky,9-5,8-5,.16,.33,41,.09,51,1.07,14,.91,20,.175,9,1.55,10,.17,113,1.11,109,4.07,98
55,Troy,12-2,11-2,.16,-.27,81,.52,27,.57,34,.60,31,.070,40,1.09,15,.24,99,1.42,92,4.98,75
56,Memphis,7-6,6-6,.14,.19,54,.13,47,.42,39,.44,39,.082,31,.51,36,.41,83,2.08,70,5.65,71
57,SMU,7-6,6-6,.14,.86,20,-.50,100,.14,54,.07,58,.043,46,.06,58,.54,73,2.68,61,6.75,57
58,Houston,8-5,8-5,.13,.68,26,-.40,90,.28,49,.30,44,.015,54,.41,44,.31,92,2.04,73,6.08,64
59,Purdue,8-6,7-6,.13,.33,43,-.03,60,-.38,85,-.36,85,.000,59,-.65,97,1.60,19,4.76,12,8.87,9
60,Boise State,10-4,9-4,.12,.09,58,.22,42,.80,25,.83,25,.110,22,.98,20,.32,89,1.57,85,4.58,81
61,North Carolina,9-5,8-5,.10,.94,17,-.77,116,.00,64,.10,57,.011,56,-.17,69,.59,72,2.83,60,7.11,49
62,East Carolina,8-5,7-5,.09,.65,28,-.32,85,.45,38,.25,48,.079,33,.34,47,.28,95,1.88,76,5.69,70
63,Michigan State,5-7,5-7,.08,.30,46,-.20,75,-.40,86,-.44,87,-.079,95,-.37,81,1.94,12,4.77,10,7.81,30
64,BYU,8-5,7-5,.01,.76,24,-.61,108,.15,52,.05,60,.034,51,.89,24,.46,76,2.32,66,6.03,68
65,South Alabama,10-3,9-3,.00,-.11,73,.05,57,.64,32,.70,28,.070,41,.26,51,.18,111,.93,119,3.47,112
66,West Virginia,5-7,4-7,-.01,.49,36,-.52,101,-.73,105,-.74,104,-.094,104,-1.13,113,1.07,39,4.03,33,7.97,24
67,Marshall,9-4,7-4,-.04,-.80,119,.72,15,.25,50,.11,56,.037,50,.07,56,.21,105,1.16,106,4.09,96
68,Navy,4-8,4-7,-.06,-.36,86,.29,38,-.15,72,-.19,73,-.019,69,-1.02,110,.27,97,2.05,72,6.04,66
69,Appalachian State,6-6,4-6,-.07,.52,35,-.45,97,.33,46,.25,49,.079,34,.48,38,.13,127,1.10,110,4.08,97
70,Indiana,4-8,3-8,-.12,-.43,88,.08,53,-1.03,116,-.99,115,-.161,121,-1.36,121,1.67,17,4.21,23,7.59,37
71,Arizona,5-7,4-7,-.12,.53,33,-1.00,123,-.88,112,-.76,105,-.086,100,-.10,65,.99,46,3.61,43,6.90,54
