Rk,Team,Rec,FBS,FEI,OFEI,Rk,DFEI,Rk,NDE,Rk,NPD,Rk,NAY,Rk,NPP,Rk,ELS,Rk,GLS,Rk,ALS,Rk
1,Georgia,14-1,13-1,1.65,1.58,3,1.93,1,2.65,1,2.70,1,.310,1,3.33,1,2.23,2,5.72,2,9.78,2
2,Alabama,13-2,12-2,1.21,1.70,2,1.00,6,1.62,3,1.52,4,.225,3,1.64,5,2.74,1,6.22,1,10.10,1
3,Ohio State,11-2,11-2,1.17,2.08,1,.22,42,1.89,2,2.02,2,.282,2,2.85,2,1.18,29,4.11,20,8.11,16
4,Michigan,12-2,12-2,.99,1.16,5,.66,13,1.29,6,1.52,5,.169,7,1.52,6,1.98,6,4.43,14,8.22,13
5,Oklahoma State,12-2,11-2,.82,.51,38,1.24,2,1.10,9,1.07,12,.176,6,1.03,18,1.25,26,4.71,7,8.98,3
6,Notre Dame,11-2,11-2,.76,.75,20,.75,11,1.06,12,1.15,9,.094,26,.94,23,.89,46,3.39,39,7.60,29
7,Utah,10-4,9-4,.74,1.09,7,.51,21,1.24,7,1.20,7,.191,5,1.31,10,.92,45,3.38,40,7.86,18
8,Cincinnati,13-1,12-1,.72,.66,29,.86,8,1.53,4,1.53,3,.159,8,2.18,3,.95,43,2.64,59,6.09,66
9,Wisconsin,9-4,9-4,.69,.30,52,1.18,3,.88,19,.83,24,.156,9,1.29,12,1.19,28,4.31,16,8.62,6
10,Baylor,12-2,11-2,.69,.55,34,.85,9,.87,20,.86,20,.101,22,.90,26,1.29,25,4.60,9,8.55,7
11,Iowa State,7-6,6-6,.63,.80,19,.51,22,.85,21,.89,19,.133,15,1.34,9,.99,41,3.84,30,7.65,27
12,Ole Miss,10-3,9-3,.63,.96,14,.43,28,.65,33,.67,33,.072,36,.47,47,1.41,20,4.54,11,8.47,9
13,Texas A&M,8-4,7-4,.60,.21,59,.90,7,.73,28,.92,17,.068,38,1.14,16,1.09,32,3.22,41,6.32,63
14,Oklahoma,11-2,10-2,.58,1.06,8,.00,56,.53,41,.74,28,.032,53,.64,40,.99,40,3.85,29,7.76,23
15,Kentucky,10-3,9-3,.58,.94,15,.29,35,1.09,10,1.06,13,.143,12,1.19,15,1.24,27,3.18,46,6.58,57
16,Arkansas,9-4,8-4,.57,.75,21,.56,17,.63,34,.67,34,.057,44,.65,39,2.10,4,4.85,5,8.15,14
17,Kansas State,8-5,7-5,.56,.83,18,.57,16,.96,16,.78,26,.096,25,1.14,17,.92,44,3.65,34,7.57,31
18,Tennessee,7-6,6-6,.55,1.14,6,-.11,66,.33,54,.40,49,.056,45,.97,20,2.03,5,4.41,15,7.41,34
19,Purdue,9-4,9-4,.52,.62,31,.45,26,.53,42,.44,45,.098,24,.43,49,1.46,15,4.59,10,8.45,10
20,Penn State,7-6,6-6,.51,.12,65,.84,10,.44,46,.44,44,.016,62,.28,59,1.55,12,4.29,17,7.79,20
21,Auburn,6-7,5-7,.50,.63,30,.51,20,.17,60,.12,62,.017,60,-.01,70,2.11,3,4.99,4,8.50,8
22,Wake Forest,11-3,10-3,.50,1.00,10,-.07,62,.81,25,.94,16,.094,27,.37,54,.44,76,2.60,63,6.94,43
23,NC State,9-3,8-3,.50,.28,54,.67,12,.70,30,.66,35,.091,29,.77,32,.35,89,2.19,71,6.03,67
24,Air Force,10-3,9-3,.48,.99,12,.11,47,1.20,8,1.16,8,.205,4,.96,22,.26,108,1.77,90,5.49,78
25,Pittsburgh,11-3,10-3,.47,.34,47,.55,18,1.00,14,1.00,14,.142,13,1.28,13,.49,72,2.58,64,6.58,56
26,Boise State,7-5,7-5,.46,.15,64,.48,23,.46,45,.62,36,.061,41,.09,67,.54,65,2.61,62,6.58,55
27,Clemson,10-3,9-3,.45,-.23,84,1.04,4,.55,39,.71,31,.089,30,.67,36,1.42,18,3.68,33,7.26,36
28,Minnesota,9-4,9-4,.45,.45,40,.52,19,.82,24,.84,22,.150,11,.64,41,1.06,34,3.21,42,6.83,48
29,UCLA,8-4,8-4,.45,.99,11,-.13,69,.84,23,.84,23,.084,31,.74,34,.44,75,2.25,70,6.21,64
30,Michigan State,11-2,10-2,.43,.58,33,.14,46,.26,57,.34,52,-.015,73,.34,55,1.43,17,4.08,22,7.66,25
31,Nebraska,3-9,2-9,.42,.60,32,.61,15,.47,44,.29,56,.016,61,.88,29,1.63,9,4.61,8,7.79,21
32,Iowa,10-4,10-4,.38,-.34,90,1.01,5,.28,56,.32,54,.067,39,.40,52,1.33,22,4.52,12,8.70,5
33,Texas,5-7,5-7,.35,.54,35,.04,52,.07,68,.19,59,-.031,81,.01,69,1.12,31,4.10,21,7.69,24
34,Oregon,10-4,9-4,.34,.96,13,.03,53,.56,38,.43,46,.059,42,.92,25,1.32,24,4.15,18,8.28,12
35,Western Kentucky,9-5,8-5,.34,1.03,9,-.35,88,1.08,11,1.09,11,.140,14,1.42,7,.29,105,1.73,92,5.16,82
36,Florida,6-7,5-7,.33,.25,58,.47,24,.30,55,.35,51,.057,43,.66,38,1.81,7,3.83,31,7.01,41
37,BYU,10-3,9-3,.33,1.18,4,-.31,83,.71,29,.52,40,.065,40,.97,21,.64,60,2.84,54,6.64,53
38,Appalachian State,10-4,9-4,.31,.29,53,.28,36,.79,27,.76,27,.115,18,.85,30,.26,109,1.84,86,5.64,71
39,Arizona State,8-5,7-5,.30,.36,46,.37,29,.59,35,.46,43,.093,28,.90,27,.65,58,2.74,57,6.51,58
40,Louisiana,13-1,12-1,.29,.41,43,.08,50,.99,15,.98,15,.110,20,1.26,14,.26,110,1.50,102,4.59,100
41,Houston,12-2,11-2,.28,.16,63,.44,27,1.01,13,1.09,10,.127,16,.67,37,.43,79,1.92,83,5.15,83
42,Mississippi State,7-6,6-6,.26,.69,26,.34,33,.41,48,.21,58,.070,37,-.16,77,1.44,16,4.45,13,8.12,15
43,Army,9-4,8-4,.26,.68,27,-.09,65,.80,26,.82,25,.077,33,-.38,85,.53,66,2.32,69,5.62,73
44,LSU,6-7,5-7,.26,.31,51,.20,44,-.39,88,-.32,85,-.022,78,-.37,84,1.58,10,5.02,3,8.94,4
45,Louisville,6-7,5-7,.23,.67,28,-.22,77,.03,71,-.03,70,.018,59,.53,44,.77,49,3.52,37,7.66,26
46,Florida State,5-7,5-6,.23,.36,45,.22,43,.21,59,.05,67,-.011,71,.79,31,.66,56,3.08,49,6.87,45
47,Coastal Carolina,11-2,10-2,.22,.90,17,-.56,101,1.39,5,1.36,6,.152,10,1.73,4,.15,126,.49,130,2.14,130
48,Fresno State,10-3,9-3,.20,.08,68,.24,40,.69,32,.73,30,.099,23,.52,46,.33,96,1.71,94,4.82,93
49,UTSA,12-2,11-2,.20,.70,24,-.18,74,.85,22,.86,21,.126,17,.57,42,.22,118,1.38,112,4.77,95
50,Oregon State,7-6,6-6,.19,.72,23,-.42,95,.12,62,.14,61,-.011,69,.26,60,.52,69,2.63,61,6.80,49
51,Liberty,8-5,7-5,.18,.34,48,.10,48,.93,17,.90,18,.114,19,1.30,11,.32,98,1.52,100,4.51,101
