Rk,Team,Rec,FBS,FEI,OFEI,Rk,DFEI,Rk,NDE,Rk,NPD,Rk,NAY,Rk,NPP,Rk,ELS,Rk,GLS,Rk,ALS,Rk
52,Washington State,7-6,6-6,.17,.05,69,.45,25,.37,49,.34,53,-.002,68,.14,65,.46,73,2.49,66,6.68,50
53,Nevada,8-5,7-5,.17,.34,49,-.06,61,.47,43,.53,39,.047,47,.28,58,.42,81,2.12,75,5.64,72
54,Utah State,11-3,10-3,.16,.28,55,.02,55,.58,36,.61,37,.081,32,.18,62,.36,86,1.99,79,5.60,74
55,San Diego State,12-2,11-2,.15,-.52,106,.64,14,.34,53,.50,42,.027,57,.18,63,.55,64,2.45,67,5.94,68
56,Miami,7-5,6-5,.15,.34,50,.05,51,.09,64,.10,64,.028,56,.46,48,.97,42,3.17,47,6.67,52
57,Texas Tech,7-6,6-6,.14,.70,25,-.52,100,-.22,78,-.15,76,-.001,67,.53,45,1.06,35,3.99,24,7.62,28
58,Marshall,7-6,6-6,.13,.18,61,.16,45,.70,31,.69,32,.054,46,.94,24,.23,116,1.42,108,4.65,97
59,North Carolina,6-7,5-7,.12,.72,22,-.50,98,.07,69,.04,68,.014,63,.43,50,.64,59,2.91,51,6.85,46
60,SMU,8-4,7-4,.12,.52,37,-.31,84,.41,47,.55,38,.076,34,.29,56,.34,93,1.42,107,4.47,103
61,UAB,9-4,8-4,.11,.42,41,-.11,67,.37,50,.43,47,.028,55,.68,35,1.03,37,2.09,77,4.88,92
62,East Carolina,7-5,6-5,.07,.25,57,-.02,58,.24,58,.28,57,.044,48,-.46,87,.38,84,1.87,84,5.14,84
63,UCF,9-4,8-4,.06,.09,67,.27,37,.54,40,.52,41,.019,58,.75,33,.46,74,2.13,74,5.43,79
64,Illinois,5-7,5-7,.06,-.41,94,.35,30,-.36,86,-.22,81,-.064,88,-.43,86,.71,52,3.19,45,7.05,40
65,Virginia,6-6,5-6,.05,.94,16,-.78,111,-.03,72,-.06,72,.011,65,-.06,73,.58,63,2.77,56,6.46,59
66,West Virginia,6-7,5-7,.04,-.03,73,.34,32,-.13,75,-.18,79,-.059,87,-.48,89,1.09,33,4.06,23,7.90,17
67,California,5-7,4-7,.03,-.23,86,.24,41,.07,67,-.01,69,-.011,70,.39,53,.26,111,1.75,91,5.49,77
68,South Carolina,7-6,6-6,.01,-.46,99,.30,34,-.66,97,-.57,93,-.070,93,-.84,97,1.56,11,4.14,19,7.78,22
69,Washington,4-8,4-7,-.01,-.33,89,.35,31,-.04,73,-.04,71,-.018,74,.29,57,.66,57,2.52,65,5.90,69
70,Toledo,7-6,6-6,-.04,-.25,87,.25,39,.90,18,.74,29,.074,35,1.40,8,.34,91,.99,124,3.07,127
71,Tulsa,7-6,7-5,-.05,-.23,85,.26,38,.09,65,.15,60,.040,52,.20,61,1.14,30,2.88,52,5.54,75
72,Syracuse,5-7,4-7,-.09,.05,70,-.14,71,-.28,81,-.49,90,-.066,89,-.04,72,.50,71,2.64,60,6.40,61
73,USC,4-8,4-8,-.09,.37,44,-.70,107,-.56,94,-.56,92,-.013,72,-.92,101,.72,51,3.01,50,6.89,44
74,Virginia Tech,6-7,5-7,-.10,-.17,77,-.16,72,-.31,83,-.21,80,-.020,75,-.35,83,.43,78,2.09,78,5.77,70
75,Maryland,7-6,6-6,-.12,.47,39,-.60,104,-.41,89,-.59,94,-.076,94,-.12,75,1.33,23,3.74,32,7.26,35
76,Western Michigan,8-5,7-5,-.12,.41,42,-.39,92,.58,37,.41,48,.102,21,.11,66,.59,62,1.71,93,4.25,109
77,Georgia State,8-5,8-5,-.14,-.14,75,.02,54,.36,51,.32,55,-.024,79,-.01,71,.33,97,1.82,87,4.98,89
78,Missouri,6-7,5-7,-.15,.20,60,-.75,109,-.92,103,-.84,103,-.098,100,-.92,100,1.53,13,3.90,26,7.46,33
79,Wyoming,7-6,6-6,-.19,-.19,81,-.37,91,.06,70,.05,66,-.020,76,.42,51,.30,103,1.44,106,4.24,110
80,Boston College,6-6,5-6,-.19,-.39,93,-.02,57,-.19,77,-.18,78,-.031,83,-.53,92,.41,83,2.09,76,5.31,80
81,Miami (OH),7-6,6-6,-.20,-.18,79,-.25,79,.36,52,.36,50,.043,49,.56,43,.42,82,1.47,103,3.74,116
82,Central Michigan,9-4,8-4,-.20,-.27,88,-.26,80,.11,63,.12,63,.043,50,.15,64,.15,127,.90,125,3.73,117
83,Memphis,6-6,5-6,-.20,.26,56,-.36,89,.08,66,-.13,74,.012,64,.89,28,.18,123,1.51,101,4.90,91
84,TCU,5-7,4-7,-.21,.52,36,-1.01,116,-1.02,108,-1.02,110,-.088,99,-1.14,104,1.00,39,3.90,27,7.59,30
85,Colorado State,3-9,3-8,-.21,-.43,95,-.03,59,-.23,79,-.22,82,.030,54,-.16,76,.34,92,1.85,85,5.03,88
86,Navy,4-8,4-8,-.25,-.18,80,-.14,70,-.70,99,-.75,100,-.130,108,-1.70,116,.69,55,3.15,48,7.24,37
87,Stanford,3-9,3-9,-.26,-.22,82,-.42,94,-1.17,113,-.99,108,-.167,117,-1.18,106,.85,47,3.64,35,7.86,19
88,Colorado,4-8,3-8,-.27,-.66,114,-.12,68,-1.23,116,-1.13,114,-.215,121,-1.90,119,.70,53,3.21,44,7.18,38
89,Middle Tennessee,7-6,6-6,-.28,-.67,115,-.07,63,-.13,76,-.17,77,-.029,80,-.54,94,.19,122,1.25,117,4.06,115
90,Tulane,2-10,1-10,-.28,-.07,74,-.46,96,-.91,102,-.95,106,-.123,107,-.48,88,.62,61,2.86,53,6.67,51
91,Rutgers,5-8,4-8,-.31,-.80,119,-.04,60,-.99,105,-.80,102,-.105,104,-1.88,118,1.47,14,3.95,25,7.09,39
92,Hawaii,6-7,5-7,-.34,-.54,109,-.37,90,-.46,90,-.47,89,-.067,90,.06,68,.24,113,1.65,96,5.05,86
93,UTEP,7-6,6-6,-.37,-.34,91,-.21,76,.16,61,.06,65,.041,51,.97,19,.23,117,1.17,122,3.71,119
94,Eastern Michigan,7-6,6-6,-.37,-.03,72,-.95,115,-.32,84,-.13,75,-.077,95,-.52,91,.31,100,1.22,119,3.71,118
95,Florida Atlantic,5-7,4-7,-.37,-.49,102,-.19,75,-.24,80,-.29,83,-.038,85,-.19,79,.28,106,1.55,99,4.40,104
96,North Texas,6-7,5-7,-.37,-.47,101,-.27,81,-.33,85,-.36,86,.003,66,-.66,95,.15,128,1.22,120,4.33,107
97,Georgia Tech,3-9,2-9,-.39,-.17,78,-.83,112,-1.15,112,-1.13,113,-.143,112,-1.16,105,1.34,21,3.21,43,6.34,62
98,Northern Illinois,9-5,8-5,-.39,.10,66,-1.03,117,-.28,82,-.31,84,-.031,82,-1.00,103,.53,67,1.46,104,4.19,112
99,South Alabama,5-7,4-7,-.42,-.52,108,-.29,82,-.08,74,-.10,73,-.022,77,-.27,81,.31,102,1.39,111,3.55,120
100,Ball State,6-7,5-7,-.42,-.52,107,-.46,97,-.53,92,-.45,88,-.102,101,-.84,98,.24,115,1.24,118,4.37,105
101,Old Dominion,6-7,5-7,-.43,-.83,120,-.24,78,-.52,91,-.45,87,-.077,97,-.53,93,.27,107,1.42,109,4.35,106
102,Indiana,2-10,1-10,-.44,-.65,112,-.17,73,-1.60,122,-1.67,122,-.169,118,-1.39,110,1.66,8,4.83,6,8.41,11
103,Louisiana Tech,3-9,2-9,-.47,-.36,92,-.35,87,-.38,87,-.50,91,-.032,84,-.28,82,.24,114,1.41,110,4.18,113
104,Arizona,1-11,1-10,-.50,-.46,100,-.51,99,-1.37,118,-1.33,118,-.067,91,-1.49,113,.53,68,2.81,55,6.96,42
105,San Jose State,5-7,4-7,-.50,-1.04,125,.08,49,-.61,95,-.64,95,-.108,105,-.52,90,.15,129,1.21,121,4.47,102
106,South Florida,2-10,1-10,-.52,-.23,83,-1.11,120,-1.64,123,-1.51,119,-.212,120,-2.45,126,.51,70,2.66,58,6.43,60
107,UNLV,2-10,2-9,-.52,-.44,97,-.60,106,-1.01,107,-.98,107,-.161,114,-.96,102,.43,80,2.43,68,6.10,65
108,Northwestern,3-9,2-9,-.55,-.50,104,-.58,103,-1.20,115,-1.32,117,-.164,115,-1.50,114,1.04,36,3.62,36,6.84,47
109,Troy,5-7,4-7,-.57,-.72,116,-.34,86,-.55,93,-.66,96,-.056,86,-.10,74,.20,119,1.33,113,4.20,111
110,Georgia Southern,3-9,2-9,-.61,-.76,118,-.57,102,-1.08,110,-1.00,109,-.120,106,-1.40,111,.35,87,1.80,89,4.81,94
111,UL Monroe,4-8,3-8,-.62,-.64,111,-.60,105,-1.03,109,-1.06,111,-.138,111,-1.41,112,.35,88,1.96,80,5.19,81
112,Kent State,7-7,6-7,-.64,.17,62,-1.44,124,-.64,96,-.75,99,-.077,96,-.26,80,.32,99,1.31,114,4.12,114
113,Vanderbilt,2-10,2-9,-.65,-.44,96,-.73,108,-1.35,117,-1.53,120,-.226,126,-2.14,123,1.41,19,3.46,38,6.61,54
114,Buffalo,4-8,3-8,-.68,-.45,98,-1.09,119,-.70,100,-.67,97,-.068,92,-1.18,107,.19,120,.86,128,3.03,128
115,Texas State,4-8,4-7,-.73,-.72,117,-.83,113,-.83,101,-.68,98,-.133,109,-.81,96,.34,95,1.30,115,3.54,122
116,Arkansas State,2-10,1-10,-.76,-.50,105,-1.25,122,-1.37,119,-1.30,115,-.138,110,-1.81,117,.19,121,1.25,116,4.29,108
117,Rice,4-8,3-8,-.78,-.58,110,-.76,110,-1.20,114,-1.30,116,-.165,116,-1.93,120,.36,85,1.94,82,5.06,85
118,Bowling Green,4-8,3-8,-.79,-1.40,128,-.32,85,-.95,104,-.85,104,-.103,103,-.89,99,.30,104,1.16,123,3.37,125
119,Ohio,3-9,3-8,-.80,-.49,103,-1.09,118,-.67,98,-.79,101,-.079,98,-.18,78,.14,130,.69,129,2.90,129
120,Kansas,2-10,1-10,-.84,-.16,76,-1.57,126,-2.09,127,-2.22,127,-.253,127,-1.97,121,1.02,38,3.87,28,7.46,32
121,Southern Mississippi,3-9,2-9,-.84,-1.56,130,-.09,64,-1.09,111,-1.06,112,-.171,119,-2.22,124,.69,54,1.46,105,3.55,121
122,Charlotte,5-7,4-7,-.85,.00,71,-1.78,128,-.99,106,-.93,105,-.102,102,-1.29,108,.16,125,.87,127,3.27,126
123,New Mexico,3-9,2-9,-.86,-1.45,129,-.41,93,-1.58,121,-1.72,123,-.220,123,-2.03,122,.44,77,2.18,72,5.53,76
124,Duke,3-9,2-9,-.91,-.99,123,-.94,114,-1.53,120,-1.55,121,-.151,113,-2.25,125,.31,101,1.81,88,4.96,90
125,New Mexico State,2-10,1-10,-.93,-.65,113,-1.47,125,-1.75,124,-1.76,124,-.216,122,-3.08,130,.82,48,2.15,73,4.68,96
126,Connecticut,1-11,0-10,-1.17,-1.29,127,-1.38,123,-2.41,129,-2.41,129,-.303,129,-2.52,128,.34,90,1.94,81,5.04,87
127,Temple,3-9,2-9,-1.19,-.92,121,-1.17,121,-1.82,125,-2.15,126,-.221,125,-1.32,109,.34,94,1.56,98,4.63,98
128,Florida International,1-11,0-11,-1.26,-.98,122,-1.59,127,-1.91,126,-1.98,125,-.221,124,-1.52,115,.16,124,.90,126,3.40,124
129,Akron,2-10,1-10,-1.35,-1.01,124,-1.92,130,-2.36,128,-2.29,128,-.303,128,-2.52,127,.73,50,1.66,95,3.53,123
130,Massachusetts,1-11,1-9,-1.36,-1.15,126,-1.84,129,-2.57,130,-2.48,130,-.318,130,-2.83,129,.25,112,1.62,97,4.60,99
