Rk,Team,Rec,FBS,FEI,OFEI,Rk,DFEI,Rk,NDE,Rk,NPD,Rk,NAY,Rk,NPP,Rk,ELS,Rk,GLS,Rk,ALS,Rk
1,Alabama,13-1,12-1,1.52,1.55,3,1.63,1,2.33,1,2.49,1,.292,1,2.68,2,1.85,10,5.12,4,9.00,2
2,Texas A&M,11-2,9-2,1.22,2.02,1,.68,22,1.81,3,1.67,3,.236,2,1.89,5,1.80,11,4.64,11,8.15,22
3,Oregon,12-1,11-1,1.21,1.54,4,1.02,9,2.07,2,2.05,2,.187,5,1.77,6,1.08,37,3.92,33,7.76,31
4,Kansas State,11-2,10-2,1.01,1.06,9,.94,13,1.25,9,1.45,8,.122,19,.86,25,1.53,15,4.63,13,8.43,14
5,Georgia,12-2,11-2,.96,1.18,6,.94,12,1.62,4,1.64,4,.179,6,2.18,4,1.72,12,4.46,18,8.16,21
6,Florida,11-2,10-2,.84,.01,58,1.48,2,.65,30,.87,24,.056,41,.69,31,1.86,9,5.02,6,8.63,8
7,Notre Dame,12-1,12-1,.83,.68,19,1.14,6,1.22,10,1.13,11,.146,13,1.33,13,1.68,13,4.45,20,8.27,16
8,South Carolina,11-2,10-2,.81,.52,27,1.14,5,1.19,12,1.10,15,.106,21,1.22,17,1.36,23,4.36,23,7.93,26
9,Oklahoma,10-3,9-3,.79,1.14,7,.68,23,.94,21,.91,22,.131,17,.41,43,1.95,6,5.33,2,8.95,3
10,LSU,10-3,9-3,.78,.24,45,1.19,4,.69,28,.68,31,.105,22,.78,27,2.25,4,4.97,7,7.95,24
11,Oklahoma State,8-5,7-5,.76,.87,13,.65,27,.84,25,1.10,14,.100,24,1.38,12,1.17,34,4.19,27,8.34,15
12,Florida State,12-2,10-2,.73,.44,31,.97,11,1.35,8,1.43,9,.226,3,2.77,1,.58,62,2.35,60,6.00,58
13,Stanford,12-2,12-2,.68,.24,46,1.08,7,.74,27,.68,30,.095,25,.91,22,1.48,16,4.69,10,9.03,1
14,Clemson,11-2,10-2,.60,1.06,8,.05,57,1.05,18,1.06,18,.127,18,.51,38,.82,47,2.73,51,6.12,56
15,Wisconsin,8-6,7-6,.60,.59,24,.72,20,.93,22,.86,25,.134,15,1.45,10,.85,46,3.63,39,7.90,28
16,Oregon State,9-4,8-4,.60,.32,41,.77,17,.41,44,.52,35,.064,37,.65,33,1.37,21,4.46,17,8.56,11
17,Michigan,8-5,8-5,.58,.70,18,.51,35,.78,26,.89,23,.075,32,1.28,16,1.68,14,4.12,31,7.42,35
18,Texas,9-4,9-4,.57,.89,11,.26,47,.47,38,.41,41,.063,38,.52,37,1.47,17,4.87,8,8.88,5
19,Baylor,8-5,7-5,.57,1.55,2,-.35,82,.52,36,.40,44,.084,29,.88,23,1.28,29,4.45,19,8.60,9
20,USC,7-6,7-6,.50,.21,48,.59,30,.33,49,.46,38,.061,39,1.30,15,1.34,25,4.25,26,8.18,19
21,Ohio State,12-0,12-0,.50,.45,30,.66,25,1.06,16,1.06,19,.078,30,1.06,19,.59,61,2.64,56,6.12,55
22,Ole Miss,7-6,6-6,.49,.39,33,.76,18,.40,45,.42,40,.022,55,.44,41,2.30,3,5.03,5,8.10,23
23,Arizona State,8-5,7-5,.47,.38,34,.63,28,.85,24,.68,29,.147,12,1.20,18,1.03,40,3.12,43,6.45,50
24,Utah State,11-2,10-2,.46,.15,49,.71,21,1.44,6,1.54,6,.158,9,2.32,3,.37,83,1.75,80,4.42,86
25,BYU,8-5,7-5,.46,.00,60,.91,14,1.05,17,1.08,16,.156,10,.46,40,.70,55,2.93,48,6.25,52
26,Vanderbilt,9-4,8-4,.44,.09,55,.67,24,.52,35,.64,32,.059,40,.52,36,1.19,32,3.72,36,7.06,38
27,Nebraska,10-4,9-4,.42,.54,26,.54,33,.36,48,.44,39,.054,43,.54,35,1.19,33,4.54,15,8.91,4
28,Penn State,8-4,8-4,.41,.32,39,.79,16,1.12,14,1.12,12,.151,11,.74,28,.48,75,2.04,69,5.44,66
29,Northwestern,10-3,9-3,.41,.29,43,.31,43,.26,52,.40,46,-.007,68,-.10,68,.55,66,2.79,50,6.84,44
30,Boise State,11-2,11-2,.38,.31,42,.61,29,1.50,5,1.57,5,.195,4,1.67,8,.30,94,1.62,88,4.51,85
31,Cincinnati,10-3,8-3,.38,.36,35,.56,32,1.01,20,1.07,17,.088,28,1.45,11,.18,115,1.39,101,4.80,74
32,TCU,7-6,6-6,.37,-.27,71,1.03,8,.07,59,.08,59,.046,45,-.10,67,1.34,26,4.50,16,8.48,13
33,UCLA,9-5,9-5,.35,.27,44,.44,39,.48,37,.51,37,.076,31,.01,60,1.03,38,4.12,30,8.49,12
34,Fresno State,9-4,8-4,.34,.07,56,.84,15,1.18,13,1.04,20,.168,8,1.32,14,.76,51,1.98,71,4.54,84
35,Michigan State,7-6,7-6,.31,-.34,78,1.20,3,.46,41,.40,42,.064,36,.21,53,.99,43,3.88,35,7.95,25
36,Northern Illinois,12-2,11-2,.31,.66,20,-.01,61,1.37,7,1.49,7,.132,16,1.70,7,.33,87,1.08,109,3.39,120
37,Texas Tech,8-5,7-5,.31,.83,14,-.19,70,.15,56,.09,58,.037,49,.73,29,1.33,27,4.16,28,7.59,33
38,Arizona,8-5,7-5,.30,.88,12,-.19,71,.10,58,-.06,65,.027,52,.49,39,1.45,18,4.44,21,8.18,18
39,UCF,10-4,10-4,.30,.50,28,.10,54,1.11,15,1.19,10,.091,27,.86,26,.29,97,1.47,94,4.74,75
40,Syracuse,8-5,7-5,.30,.59,23,.08,55,.46,40,.40,45,.104,23,.39,44,.43,78,2.57,57,6.88,41
41,Missouri,5-7,4-7,.30,-.29,72,.66,26,-.82,97,-.85,99,-.096,95,-1.08,103,2.57,1,5.75,1,8.85,6
42,Mississippi State,8-5,7-5,.29,.15,50,.47,37,.25,53,.29,49,.005,64,.33,45,1.86,8,3.92,34,6.91,39
43,West Virginia,7-6,6-6,.28,1.02,10,-.40,85,-.06,64,-.11,68,-.026,75,.05,59,1.36,22,4.44,22,8.20,17
44,Iowa State,6-7,5-7,.26,-.04,62,.43,40,-.32,79,-.29,74,-.097,96,-.81,96,1.36,24,4.64,12,8.75,7
45,Pittsburgh,6-7,5-6,.23,.11,52,.46,38,.22,55,.22,53,.006,63,-.10,65,.57,63,2.49,58,6.02,57
46,San Jose State,11-2,10-2,.23,.40,32,.27,45,1.22,11,1.12,13,.170,7,1.51,9,.48,76,2.01,70,4.73,77
47,Georgia Tech,7-7,6-7,.21,.82,15,-.15,67,.43,42,.22,52,.045,46,-.11,69,1.01,41,3.52,40,7.52,34
48,Louisiana Tech,9-3,9-3,.20,1.28,5,-.86,110,1.05,19,.99,21,.136,14,.33,46,.79,50,1.72,81,3.69,115
49,Tennessee,5-7,4-7,.20,.78,16,-.33,80,-.13,69,-.19,70,.014,58,-.14,70,1.90,7,4.33,24,7.12,37
50,Louisville,11-2,10-2,.19,.75,17,.01,59,.86,23,.71,27,.094,26,.72,30,.51,71,2.15,66,5.53,64
51,San Diego State,9-4,8-4,.19,.10,53,.22,49,.65,32,.75,26,.031,51,.64,34,.31,90,1.68,84,4.63,81
52,Tulsa,11-3,10-3,.17,-.09,63,.53,34,.65,31,.62,33,.106,20,.69,32,.29,95,1.87,75,5.69,62
53,North Carolina,8-4,7-4,.17,.55,25,-.28,77,.67,29,.71,28,.069,33,.93,21,.14,124,1.05,111,4.12,99
54,Rutgers,9-4,8-4,.13,-.67,102,.97,10,.42,43,.27,50,-.002,66,.31,48,.24,105,1.70,83,5.33,69
55,Washington,7-6,6-6,.13,-.32,75,.56,31,-.18,72,-.21,72,-.046,79,-.67,89,1.42,19,4.30,25,7.92,27
56,Arkansas State,10-3,9-3,.11,.64,22,-.23,72,.62,33,.54,34,.036,50,.88,24,.75,52,1.80,78,4.57,82
57,Virginia Tech,7-6,6-6,.09,-.53,91,.76,19,-.01,61,.04,61,.011,60,.31,47,.56,64,2.72,53,6.81,45
58,Utah,5-7,4-7,.08,-.44,89,.26,46,-.44,81,-.34,77,-.048,80,-.66,88,.66,57,3.16,42,6.90,40
59,Arkansas,4-8,3-8,.07,.23,47,.06,56,-.53,87,-.60,89,-.017,73,.16,56,2.07,5,4.56,14,7.66,32
60,Miami,7-5,6-5,.03,.35,36,-.42,87,-.28,75,-.23,73,-.012,71,.22,51,.99,42,3.02,45,6.25,53
61,SMU,7-6,6-6,.00,-.37,84,.24,48,-.07,66,-.11,67,-.010,69,-.28,74,.95,44,2.71,55,5.70,61
62,Kent State,11-3,10-3,-.03,-.34,77,.17,51,.47,39,.52,36,.019,56,.29,49,.17,116,.91,121,3.59,118
63,NC State,7-6,6-6,-.05,-.58,95,.41,41,-.05,63,-.04,64,-.011,70,-.38,80,.56,65,2.29,62,5.65,63
64,UL Monroe,8-5,8-5,-.06,.33,38,-.34,81,.53,34,.38,47,.064,34,-.01,62,.25,103,1.18,106,4.15,98
65,Louisiana,9-4,8-4,-.06,.32,40,-.39,83,.40,46,.32,48,.010,61,.97,20,.61,60,1.83,76,4.28,94
66,Toledo,9-4,8-4,-.09,-.16,66,-.10,65,.11,57,.12,56,.018,57,-.55,82,.32,88,1.54,90,4.41,87
67,Nevada,7-6,6-6,-.11,.64,21,-.83,108,.29,51,.26,51,.052,44,-.04,64,.26,101,1.37,103,4.24,96
68,Iowa,4-8,3-8,-.11,-.62,99,.35,42,-.56,89,-.67,92,-.083,90,-.92,100,.53,69,2.71,54,6.57,49
69,California,3-9,2-9,-.14,-.35,83,-.09,63,-1.09,107,-1.01,103,-.142,107,-.65,86,1.31,28,4.15,29,7.84,29
70,Ball State,9-4,9-4,-.18,.10,54,-.67,100,-.13,70,.11,57,.042,48,-.46,81,.34,86,1.52,93,4.57,83
71,Purdue,6-7,5-7,-.20,-.34,79,.05,58,-.55,88,-.57,85,-.081,87,-.87,97,1.03,39,3.46,41,6.70,46
72,Western Kentucky,7-6,6-6,-.20,-.22,69,.00,60,.24,54,.19,54,.027,53,.26,50,.90,45,1.53,92,3.82,109
73,Indiana,4-8,3-8,-.21,.34,37,-.82,107,-.43,80,-.34,78,-.058,81,-.36,79,.50,73,2.29,64,5.49,65
74,Minnesota,6-7,5-7,-.22,-.56,94,.15,52,-.51,85,-.52,84,-.059,82,-.63,85,.62,59,2.89,49,6.64,47
75,Duke,6-7,5-7,-.23,.15,51,-.63,97,-.67,91,-.58,86,-.076,85,-1.69,116,.72,54,2.95,47,6.64,48
76,Bowling Green,8-5,7-5,-.23,-.69,103,.30,44,.33,50,.16,55,.054,42,.17,55,.41,80,1.44,99,3.66,116
77,Auburn,3-9,2-9,-.25,-.70,105,-.26,74,-1.69,120,-1.43,115,-.225,119,-1.63,114,2.38,2,5.29,3,8.18,20
78,Middle Tennessee,8-4,8-3,-.26,.00,61,-.58,94,-.05,62,-.02,62,.004,65,.01,61,.15,120,.96,119,3.64,117
79,Connecticut,5-7,5-7,-.27,-1.03,116,.51,36,-.23,73,-.30,75,.024,54,.21,52,.24,104,1.54,91,4.92,72
80,Rice,7-6,7-6,-.29,-.42,87,-.52,90,-.25,74,-.13,69,-.005,67,-.91,99,.20,107,1.04,113,3.86,107
81,Troy,5-7,5-7,-.30,-.15,65,-.40,84,.05,60,.06,60,.042,47,-.21,73,.16,118,.98,116,3.80,111
82,South Florida,3-9,2-9,-.31,-.38,85,-.24,73,-.80,96,-.78,97,-.091,93,-.28,75,.43,77,2.32,61,6.16,54
83,Virginia,4-8,3-8,-.32,-.66,101,.19,50,-.49,84,-.58,87,-.029,76,-.17,71,.26,100,1.93,72,5.83,59
84,Ohio,9-4,8-4,-.33,-.19,68,-.42,86,.37,47,.40,43,.064,35,.20,54,.18,112,.79,123,2.86,123
85,Maryland,4-8,3-8,-.33,-.91,113,.15,53,-.63,90,-.62,91,-.080,86,-.59,84,.50,72,2.13,67,5.39,67
