Rk,Team,Rec,FBS,FEI,OFEI,Rk,DFEI,Rk,NDE,Rk,NPD,Rk,NAY,Rk,NPP,Rk,ELS,Rk,GLS,Rk,ALS,Rk
1,Ohio State,13-1,13-1,1.66,2.10,3,1.40,2,2.76,1,2.81,1,.365,1,2.85,4,2.55,6,5.71,3,9.30,2
2,LSU,15-0,14-0,1.50,2.43,1,.98,8,2.44,4,2.43,4,.295,3,3.16,2,3.11,1,6.60,1,9.97,1
3,Alabama,11-2,10-2,1.42,2.39,2,.93,11,2.72,2,2.57,2,.294,4,3.11,3,1.69,20,4.09,24,7.42,35
4,Clemson,14-1,13-1,1.36,1.53,5,1.63,1,2.60,3,2.45,3,.332,2,3.37,1,1.93,15,3.85,30,7.74,23
5,Wisconsin,10-4,10-4,1.12,1.35,6,.93,12,1.52,7,1.46,7,.214,6,1.50,12,2.85,5,5.52,6,9.07,4
6,Georgia,12-2,11-2,.98,.79,21,1.24,4,1.29,12,1.40,8,.206,7,1.92,7,2.16,10,5.28,8,8.91,6
7,Auburn,9-4,8-4,.96,.54,33,1.24,3,.50,37,.63,33,.048,44,.45,40,2.96,4,6.11,2,9.14,3
8,Oregon,12-2,11-2,.96,.85,16,1.11,5,1.42,10,1.23,13,.152,12,1.42,13,1.53,27,4.40,18,8.32,12
9,Penn State,11-2,10-2,.93,.83,18,.86,13,1.03,20,1.19,14,.092,29,1.05,21,1.80,18,4.38,19,7.76,21
10,Utah,11-3,10-3,.91,.88,15,.95,9,1.47,9,1.36,9,.215,5,1.85,8,.87,67,3.39,48,7.68,26
11,Florida,11-2,9-2,.88,.94,13,.71,16,.92,24,.95,22,.143,14,1.41,14,1.68,21,4.11,23,7.55,29
12,Michigan,9-4,9-4,.85,.67,26,.83,14,.65,30,.76,28,.146,13,1.27,17,3.01,3,5.68,4,8.52,8
13,Notre Dame,11-2,11-2,.85,.67,25,1.07,6,1.52,6,1.53,6,.167,11,1.66,10,1.10,44,3.83,32,7.71,25
14,Oklahoma,12-2,11-2,.83,1.80,4,.01,58,1.14,15,1.17,16,.193,8,2.13,6,1.67,22,4.74,11,8.97,5
15,Minnesota,11-2,10-2,.68,1.31,7,.35,34,1.48,8,1.34,10,.187,10,1.53,11,1.47,28,3.64,42,6.69,54
16,Iowa,10-3,10-3,.68,.20,53,.94,10,.76,25,.90,25,.113,23,.96,24,1.57,26,4.34,20,7.92,17
17,Baylor,11-3,10-3,.67,.38,39,1.03,7,.95,23,.92,23,.082,32,1.37,15,1.46,29,4.60,12,8.27,13
18,Washington,8-5,7-5,.63,.38,40,.74,15,.73,28,.91,24,.065,34,.62,32,.91,61,3.18,53,7.21,40
19,Memphis,12-2,11-2,.62,1.17,8,.08,54,.96,22,1.04,17,.118,21,1.67,9,.73,76,3.05,60,7.23,39
20,Texas,8-5,8-5,.60,.99,9,.21,45,.57,34,.65,32,.022,59,-.03,65,1.94,14,4.94,9,8.65,7
21,Iowa State,7-6,6-6,.54,.82,19,.33,36,.52,36,.47,37,.099,28,1.03,22,1.33,34,4.52,13,8.37,11
